County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Petersburg Borough, Alaska",7.0,31.9,22.1,8.2,22.0,5.6,89.7,02,195
"Kusilvak Census Area, Alaska",14.8,53.6,16.6,2.7,3.3,1.5,77.7,02,158
"Maricopa County, Arizona",6.7,22.6,24.4,8.5,20.3,11.7,87.4,04,013
"Graham County, Arizona",9.9,29.9,30.2,10.3,9.7,5.6,85.6,04,009
"Santa Cruz County, Arizona",12.7,27.2,21.6,5.8,13.7,7.3,75.6,04,023
"La Paz County, Arizona",14.4,33.0,26.3,5.7,8.3,4.1,77.3,04,012
"Mohave County, Arizona",10.5,34.8,29.5,8.1,8.4,4.5,85.3,04,015
"Coconino County, Arizona",6.2,21.4,23.6,9.0,21.1,14.5,89.6,04,005
"Yavapai County, Arizona",7.0,25.7,29.6,9.8,15.0,10.2,90.3,04,025
"Greenlee County, Arizona",7.2,36.2,31.3,9.6,9.2,2.7,89.0,04,011
"Pinal County, Arizona",9.2,29.7,27.4,9.4,12.1,6.9,85.4,04,021
"Nevada County, Arkansas",8.9,43.8,19.6,8.0,10.5,4.9,86.8,05,099
"Cross County, Arkansas",11.0,41.5,19.4,6.4,8.4,7.0,82.8,05,037
"Dallas County, Arkansas",12.0,43.4,20.5,6.1,10.8,2.9,83.6,05,039
"Columbia County, Arkansas",10.1,39.9,19.3,5.2,13.0,7.6,85.0,05,027
"Saline County, Arkansas",6.8,31.5,24.3,8.5,16.8,9.2,90.4,05,125
"Van Buren County, Arkansas",10.0,43.9,21.5,6.3,8.1,6.0,85.8,05,141
"Izard County, Arkansas",8.5,37.8,23.0,10.6,9.9,3.9,85.1,05,065
"Independence County, Arkansas",9.0,35.8,23.0,8.0,12.1,6.8,85.8,05,063
"Logan County, Arkansas",10.0,45.0,21.4,6.6,8.3,3.8,85.1,05,083
"Grant County, Arkansas",6.3,44.2,21.5,7.5,11.6,6.7,91.5,05,053
"Franklin County, Arkansas",11.3,40.1,23.1,7.6,9.0,2.8,82.6,05,047
"Pike County, Arkansas",8.9,38.9,23.5,7.7,8.4,6.3,84.8,05,109
"Jefferson County, Arkansas",9.6,38.5,23.5,6.2,11.3,6.5,86.0,05,069
"Montgomery County, Arkansas",13.8,36.5,23.6,7.3,5.8,4.9,78.2,05,097
"Scott County, Arkansas",14.6,43.0,20.0,6.8,4.8,4.3,78.9,05,127
"Sebastian County, Arkansas",10.0,32.0,23.8,7.7,13.3,6.4,83.2,05,131
"Crawford County, Arkansas",9.7,37.4,24.2,8.2,10.5,4.8,85.2,05,033
"Chicot County, Arkansas",13.4,39.2,21.5,5.2,10.6,4.1,80.7,05,017
"Johnson County, Arkansas",12.5,41.2,17.6,4.7,10.3,5.5,79.4,05,071
"Lee County, Arkansas",19.5,40.8,18.8,4.4,6.7,2.2,73.0,05,077
"Camden County, Missouri",8.1,37.7,20.9,8.8,13.8,8.0,89.1,29,029
"Jefferson County, Missouri",8.5,31.8,25.2,11.7,13.5,6.6,88.8,29,099
"New Madrid County, Missouri",15.8,44.3,17.2,3.8,7.1,5.6,78.0,29,143
"Ralls County, Missouri",6.8,49.0,18.9,7.0,8.7,4.9,88.6,29,173
"Custer County, Montana",4.2,29.7,27.5,13.0,15.0,7.4,92.6,30,017
"Powder River County, Montana",3.6,28.4,32.7,7.2,21.7,4.7,94.8,30,075
"Roosevelt County, Montana",9.6,34.6,26.3,8.7,12.3,4.8,86.8,30,085
"Liberty County, Montana",5.0,23.8,24.9,9.8,11.7,4.8,75.0,30,051
"Richland County, Montana",4.7,38.1,24.2,11.0,13.9,5.1,92.3,30,083
"Toole County, Montana",7.9,39.1,23.2,8.4,12.4,2.1,85.2,30,101
"Daniels County, Montana",4.0,38.2,26.3,8.9,17.4,4.5,95.3,30,019
"Judith Basin County, Montana",3.0,33.4,22.4,10.8,23.8,4.8,95.3,30,045
"Deer Lodge County, Montana",7.8,37.7,24.8,9.9,13.0,4.4,89.8,30,023
"McCone County, Montana",4.4,41.1,25.6,10.4,14.9,1.3,93.2,30,055
"Rosebud County, Montana",9.1,32.1,25.3,11.7,13.6,4.4,87.1,30,087
"Dawson County, Montana",4.8,37.1,21.3,14.6,15.0,6.0,94.1,30,021
"Broadwater County, Montana",3.8,36.7,22.5,8.2,19.1,7.9,94.4,30,007
"Phillips County, Montana",7.3,35.8,27.0,6.1,14.9,5.6,89.4,30,071
"Blaine County, Nebraska",3.7,31.8,23.9,17.9,13.6,9.1,96.3,31,009
"Deuel County, Nebraska",7.5,33.4,30.3,10.3,11.8,4.0,89.8,31,049
"Logan County, Nebraska",5.8,28.0,28.7,16.2,18.1,1.5,92.6,31,113
"Thayer County, Nebraska",4.9,35.2,23.5,14.2,13.8,6.0,92.7,31,169
"Adams County, Nebraska",5.9,28.0,24.8,12.2,15.5,9.4,90.0,31,001
"Boone County, Nebraska",3.8,34.3,24.6,14.7,14.3,6.3,94.2,31,011
"Rock County, Nebraska",2.6,38.9,25.9,9.2,16.1,4.8,94.9,31,149
"Sherman County, Nebraska",4.0,38.8,25.8,10.3,12.5,5.7,93.0,31,163
"Howard County, Nebraska",2.8,37.4,25.0,10.0,15.5,5.0,92.8,31,093
"Gosper County, Nebraska",3.4,35.1,21.7,12.5,18.6,7.8,95.7,31,073
"Shelby County, Tennessee",7.7,27.5,23.2,6.3,18.8,12.3,88.2,47,157
"Henderson County, Tennessee",12.3,40.2,19.0,8.2,10.0,3.8,81.2,47,077
"Jefferson County, Tennessee",9.3,38.9,21.6,7.6,9.9,6.5,84.5,47,089
"Sequatchie County, Tennessee",10.5,39.2,19.9,8.8,9.1,5.4,82.5,47,153
"Carroll County, Tennessee",10.5,41.6,19.0,4.3,10.2,6.9,82.1,47,017
"Davidson County, Tennessee",6.9,22.7,19.2,6.4,25.4,14.9,88.6,47,037
"Perry County, Tennessee",16.5,35.5,20.5,6.7,6.5,5.0,74.2,47,135
"Meigs County, Tennessee",10.5,45.4,20.6,7.9,5.8,4.8,84.5,47,121
"Haywood County, Tennessee",12.7,45.1,19.6,4.8,7.3,5.3,82.1,47,075
"Montgomery County, Tennessee",5.4,29.1,26.6,9.6,18.3,9.0,92.5,47,125
"Grundy County, Tennessee",11.5,42.1,13.8,7.6,7.0,5.1,75.7,47,061
"Cocke County, Tennessee",13.1,45.4,16.9,5.5,6.8,4.0,78.6,47,029
"DeKalb County, Tennessee",13.2,42.2,15.8,6.3,10.6,5.0,79.9,47,041
"Lewis County, Tennessee",10.6,41.3,23.6,8.3,8.4,3.1,84.6,47,101
"Obion County, Tennessee",9.3,44.8,18.4,5.2,9.8,5.2,83.4,47,131
"Tipton County, Tennessee",9.1,38.5,24.2,7.5,10.2,6.5,86.9,47,167
"Dyer County, Tennessee",10.0,37.3,20.0,8.4,11.1,5.8,82.7,47,045
"Hamilton County, Tennessee",7.3,27.5,22.0,8.5,20.1,11.1,89.2,47,065
"Polk County, Tennessee",11.9,39.1,21.7,8.5,6.2,4.8,80.3,47,139
"White County, Tennessee",10.0,43.4,20.6,4.6,8.7,4.9,82.2,47,185
"Sullivan County, Tennessee",8.5,34.7,20.7,8.3,14.1,8.7,86.6,47,163
"Schoharie County, New York",7.1,36.9,18.3,12.0,12.9,9.4,89.6,36,095
"Fulton County, New York",9.5,35.7,19.9,14.0,9.5,8.3,87.4,36,035
"Rensselaer County, New York",5.9,29.1,17.9,14.5,17.3,12.9,91.6,36,083
"Franklin County, New York",8.9,37.6,18.3,11.5,9.4,10.0,86.8,36,033
"Queens County, New York",8.3,27.6,14.6,7.8,19.9,11.6,81.5,36,081
"Washington County, New York",8.0,38.2,18.4,10.7,11.6,8.8,87.7,36,115
"New York County, New York",6.0,12.4,9.8,4.0,31.4,29.4,87.0,36,061
