County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Wright County, Missouri",12.4,43.1,19.6,5.5,6.5,4.7,79.3,29,229
"Clay County, Missouri",5.2,29.0,23.2,8.6,21.7,10.2,92.7,29,047
"Dent County, Missouri",11.1,39.5,19.7,7.2,8.0,4.6,78.9,29,065
"Saline County, Missouri",9.1,39.0,21.5,5.3,11.6,7.2,84.6,29,195
"Worth County, Missouri",6.5,44.1,21.3,6.4,10.7,6.6,89.1,29,227
"Grundy County, Missouri",6.8,39.7,19.6,9.2,11.1,7.6,87.1,29,079
"Morgan County, Missouri",13.2,40.9,19.5,5.6,8.0,3.7,77.8,29,141
"Reynolds County, Missouri",16.9,42.1,19.2,5.5,6.4,2.7,76.0,29,179
"St. Louis County, Missouri",4.9,21.5,21.6,7.4,24.7,17.7,93.0,29,189
"Stone County, Missouri",10.0,38.9,25.2,5.8,11.6,5.3,86.7,29,209
"Barry County, Missouri",10.8,42.2,20.4,6.6,8.6,4.3,82.0,29,009
"Boone County, Missouri",4.2,20.4,19.5,7.0,26.1,20.6,93.7,29,019
"Cole County, Missouri",6.1,31.4,20.0,8.2,20.7,11.1,91.3,29,051
"Crawford County, Missouri",13.8,39.9,19.6,6.3,8.0,4.5,78.3,29,055
"Iron County, Missouri",13.3,40.7,20.9,7.8,6.9,4.4,80.8,29,093
"Livingston County, Missouri",9.6,41.3,16.6,8.3,13.6,6.2,86.0,29,117
"Moniteau County, Missouri",7.8,43.7,16.7,5.0,13.9,4.3,83.6,29,135
"Pemiscot County, Missouri",13.6,38.0,19.6,5.6,7.6,4.0,74.8,29,155
"Pettis County, Missouri",9.7,32.4,23.3,10.2,11.4,5.9,83.1,29,159
"Shannon County, Missouri",12.8,41.3,19.3,6.0,10.1,4.9,81.7,29,203
"Randolph County, Missouri",9.1,37.1,24.0,11.0,9.3,5.1,86.4,29,175
"Dunklin County, Missouri",15.6,37.8,18.5,6.2,6.9,4.6,73.9,29,069
"Franklin County, Missouri",8.4,33.7,23.6,10.2,12.7,7.0,87.2,29,071
"Howard County, Missouri",7.9,38.0,18.6,6.4,16.0,9.3,88.3,29,089
"Jackson County, Missouri",6.9,29.4,23.9,7.2,18.7,10.7,89.8,29,095
"Miller County, Missouri",9.6,43.0,19.9,6.3,10.4,5.2,84.9,29,131
"Putnam County, Missouri",8.0,40.2,20.5,9.4,12.4,6.1,88.5,29,171
"Taney County, Missouri",9.2,34.6,28.5,6.7,12.5,5.9,88.2,29,213
"Buchanan County, Missouri",8.5,36.4,24.7,5.6,13.8,6.7,87.2,29,021
"Caldwell County, Missouri",7.0,43.9,20.7,7.4,13.3,4.6,90.0,29,025
"Cass County, Missouri",5.5,34.5,24.8,7.8,16.3,9.0,92.5,29,037
"Clinton County, Missouri",5.9,38.4,27.1,8.5,13.3,5.3,92.5,29,049
"Dallas County, Missouri",11.5,42.0,20.7,5.5,8.6,4.6,81.4,29,059
"Hickory County, Missouri",13.0,42.6,21.6,7.8,6.5,3.3,81.8,29,085
"Lincoln County, Missouri",9.6,42.4,20.6,9.0,10.3,5.0,87.2,29,113
"Monroe County, Missouri",6.9,48.0,20.8,6.9,9.4,4.6,89.7,29,137
"Newton County, Missouri",9.4,34.3,24.5,8.4,12.0,6.5,85.6,29,145
"Pike County, Missouri",13.1,44.8,18.0,4.2,9.6,3.7,80.4,29,163
"St. Charles County, Missouri",4.1,25.6,23.3,9.3,23.8,12.4,94.3,29,183
"Cape Girardeau County, Missouri",6.7,31.8,22.9,5.6,18.8,11.0,90.2,29,031
"Shelby County, Missouri",4.8,47.0,24.6,5.0,9.5,4.5,90.6,29,205
"Webster County, Missouri",8.4,38.5,23.8,7.5,10.1,6.1,86.0,29,225
"Atchison County, Missouri",6.2,41.2,19.3,7.2,16.9,5.4,90.0,29,005
"Bates County, Missouri",10.6,44.4,21.2,6.0,8.3,5.5,85.3,29,013
"Benton County, Missouri",10.2,44.4,22.7,7.5,7.2,3.4,85.2,29,015
"Carter County, Missouri",13.2,33.1,27.4,7.2,8.3,3.8,79.9,29,035
"Dade County, Missouri",8.8,43.4,21.8,6.3,9.4,5.5,86.5,29,057
"Linn County, Missouri",7.5,48.8,18.1,6.8,9.4,5.2,88.2,29,115
"Howell County, Missouri",10.3,39.3,22.2,8.8,7.9,6.5,84.7,29,091
"Johnson County, Missouri",5.8,31.6,23.0,9.0,16.7,11.1,91.4,29,101
"Laclede County, Missouri",13.5,38.9,22.2,7.1,9.6,4.1,81.8,29,105
"Maries County, Missouri",10.1,41.9,19.3,7.4,9.6,4.4,82.6,29,125
"Phelps County, Missouri",7.7,33.2,19.0,7.0,15.2,12.7,87.0,29,161
"Platte County, Missouri",3.2,22.2,24.5,7.9,25.7,15.0,95.3,29,165
"St. Francois County, Missouri",13.2,36.1,24.2,8.1,8.6,5.2,82.2,29,187
"St. Louis city, Missouri",10.8,22.9,22.1,6.5,18.6,14.4,84.5,29,510
"Andrew County, Missouri",6.1,38.4,22.2,6.0,15.5,8.4,90.6,29,003
"Butler County, Missouri",11.7,36.7,22.3,8.5,9.6,6.0,83.2,29,023
"Carroll County, Missouri",9.0,45.6,17.6,5.4,10.5,6.8,85.9,29,033
"Virginia Beach city, Virginia",4.8,22.3,26.3,10.3,22.5,11.8,93.2,51,810
"Alleghany County, Virginia",10.4,38.0,21.7,8.4,10.5,5.8,84.5,51,005
"Galax city, Virginia",14.7,37.7,23.2,6.1,5.3,4.3,76.6,51,640
"Westmoreland County, Virginia",8.4,35.0,22.1,6.7,13.3,7.9,85.0,51,193
"Northumberland County, Virginia",7.5,31.2,24.8,6.6,16.3,10.7,89.7,51,133
"Pulaski County, Virginia",9.7,33.9,21.4,10.6,11.9,6.4,84.1,51,155
"Warren County, Virginia",9.9,37.7,20.0,8.1,13.4,6.7,85.9,51,187
"Danville city, Virginia",12.8,28.1,23.8,9.6,11.5,6.7,79.8,51,590
"Fredericksburg city, Virginia",5.5,25.0,18.8,5.1,25.1,17.2,91.3,51,630
"Amherst County, Virginia",11.5,34.9,20.4,8.6,12.2,6.7,82.7,51,009
"Bath County, Virginia",8.4,41.2,25.4,5.3,10.6,4.8,87.3,51,017
"Hopewell city, Virginia",12.0,36.7,22.1,7.7,9.5,4.9,80.9,51,670
"Newport News city, Virginia",7.2,27.8,27.3,9.4,15.1,9.6,89.2,51,700
"Frederick County, Virginia",7.7,31.2,19.9,8.2,17.6,11.2,88.1,51,069
"Lynchburg city, Virginia",7.6,25.5,21.4,8.0,19.6,13.7,88.2,51,680
"York County, Virginia",3.6,19.5,20.9,10.2,22.9,20.4,93.8,51,199
"Martinsville city, Virginia",13.1,29.2,22.5,9.1,11.3,7.0,79.1,51,690
"Nelson County, Virginia",7.8,34.0,15.5,6.7,14.7,15.4,86.4,51,125
"Pittsylvania County, Virginia",11.2,36.1,22.7,8.9,9.5,5.1,82.2,51,143
"Buena Vista city, Virginia",11.1,40.6,18.2,6.2,10.3,5.8,81.2,51,530
"Falls Church city, Virginia",1.5,6.5,8.3,3.0,37.4,42.8,98.0,51,610
"Petersburg city, Virginia",14.2,33.0,23.7,5.4,9.7,6.9,78.7,51,730
"Poquoson city, Virginia",3.2,25.0,22.1,7.9,24.0,15.8,94.8,51,735
"Fairfax city, Virginia",4.2,16.1,16.6,4.3,30.6,24.1,91.8,51,600
"Waynesboro city, Virginia",10.1,34.9,22.0,6.8,13.3,9.3,86.3,51,820
"Roanoke city, Virginia",8.9,31.8,21.7,8.8,14.5,8.4,85.2,51,770
"Suffolk city, Virginia",8.1,28.1,24.1,9.3,16.2,10.4,88.0,51,800
"Norfolk city, Virginia",8.8,26.5,26.1,8.3,16.0,10.6,87.5,51,710
