"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
6242,11.2,67565,Autauga County,2020,01,001
20189,8.9,71135,Baldwin County,2020,01,003
5548,25.5,38866,Barbour County,2020,01,005
3549,17.8,50907,Bibb County,2020,01,007
7525,13.1,55203,Blount County,2020,01,009
2552,30.8,33124,Bullock County,2020,01,011
3954,20.6,42268,Butler County,2020,01,013
15915,14.5,50259,Calhoun County,2020,01,015
5266,16.3,39318,Chambers County,2020,01,017
3827,14.7,50388,Cherokee County,2020,01,019
6094,13.9,52693,Chilton County,2020,01,021
2506,20.4,41649,Choctaw County,2020,01,023
4471,19.5,44178,Clarke County,2020,01,025
1818,14.2,44763,Clay County,2020,01,027
2099,14.2,50134,Cleburne County,2020,01,029
7303,13.9,54203,Coffee County,2020,01,031
7864,14.4,54185,Colbert County,2020,01,033
2701,22.9,34664,Conecuh County,2020,01,035
1808,17.4,46509,Coosa County,2020,01,037
6219,17.1,43544,Covington County,2020,01,039
2262,16.8,45927,Crenshaw County,2020,01,041
10381,12.5,51844,Cullman County,2020,01,043
7440,15.5,48493,Dale County,2020,01,045
9471,26.7,37679,Dallas County,2020,01,047
10778,15.2,47156,DeKalb County,2020,01,049
8972,11.5,62524,Elmore County,2020,01,051
6892,20.4,41212,Escambia County,2020,01,053
15650,15.6,47872,Etowah County,2020,01,055
2640,16.5,45937,Fayette County,2020,01,057
5357,17.2,40448,Franklin County,2020,01,059
5492,21.0,39882,Geneva County,2020,01,061
2210,27.9,33609,Greene County,2020,01,063
3166,21.9,41836,Hale County,2020,01,065
2743,16.2,51126,Henry County,2020,01,067
15534,14.8,54391,Houston County,2020,01,069
7777,15.3,46606,Jackson County,2020,01,071
92310,14.4,57802,Jefferson County,2020,01,073
2348,17.4,40204,Lamar County,2020,01,075
12630,13.9,52293,Lauderdale County,2020,01,077
5005,15.4,48924,Lawrence County,2020,01,079
28901,17.9,58963,Lee County,2020,01,081
10285,10.4,70850,Limestone County,2020,01,083
2083,21.9,37499,Lowndes County,2020,01,085
4543,27.9,37736,Macon County,2020,01,087
39100,10.5,67810,Madison County,2020,01,089
3370,18.3,43198,Marengo County,2020,01,091
4843,16.8,44333,Marion County,2020,01,093
14754,15.4,51417,Marshall County,2020,01,095
71398,17.6,50871,Mobile County,2020,01,097
4552,22.5,38812,Monroe County,2020,01,099
44058,20.4,49607,Montgomery County,2020,01,101
16995,14.4,55688,Morgan County,2020,01,103
2443,30.7,33712,Perry County,2020,01,105
4050,22.7,41870,Pickens County,2020,01,107
6101,19.7,43141,Pike County,2020,01,109
3933,17.5,46679,Randolph County,2020,01,111
11702,20.3,40821,Russell County,2020,01,113
9384,10.5,61973,St. Clair County,2020,01,115
15227,7.0,88444,Shelby County,2020,01,117
3338,29.2,32275,Sumter County,2020,01,119
12958,16.9,44802,Talladega County,2020,01,121
6004,15.2,46654,Tallapoosa County,2020,01,123
28776,14.4,56610,Tuscaloosa County,2020,01,125
10219,16.4,46519,Walker County,2020,01,127
2769,17.5,36346,Washington County,2020,01,129
2240,22.2,31909,Wilcox County,2020,01,131
4036,17.4,46453,Winston County,2020,01,133
514,15.1,79128,Aleutians East Borough,2020,02,013
443,8.1,92216,Aleutians West Census Area,2020,02,016
23200,8.3,84577,Anchorage Borough,2020,02,020
4567,25.3,52214,Bethel Census Area,2020,02,050
82,10.7,87032,Bristol Bay Borough,2020,02,060
441,7.0,84063,Chugach Census Area,2020,02,063
368,12.7,61215,Copper River Census Area,2020,02,066
127,6.4,80192,Denali Borough,2020,02,068
894,18.7,72334,Dillingham Census Area,2020,02,070
6565,7.2,76650,Fairbanks North Star Borough,2020,02,090
251,9.6,105044,Haines Borough,2020,02,100
271,12.7,55593,Hoonah-Angoon Census Area,2020,02,105
2510,8.1,89204,Juneau Borough,2020,02,110
6171,10.6,68448,Kenai Peninsula Borough,2020,02,122
1127,8.3,76780,Ketchikan Gateway Borough,2020,02,130
957,7.5,72028,Kodiak Island Borough,2020,02,150
2305,27.9,37566,Kusilvak Census Area,2020,02,158
261,17.6,54386,Lake and Peninsula Borough,2020,02,164
9365,8.7,89502,Matanuska-Susitna Borough,2020,02,170
1825,18.8,64309,Nome Census Area,2020,02,180
1025,11.1,94759,North Slope Borough,2020,02,185
1397,18.5,65194,Northwest Arctic Borough,2020,02,188
242,7.4,66096,Petersburg Borough,2020,02,195
975,15.9,53638,Prince of Wales-Hyder Census Area,2020,02,198
609,7.4,79363,Sitka Borough,2020,02,220
45,3.8,78421,Skagway Municipality,2020,02,230
805,11.7,64544,Southeast Fairbanks Census Area,2020,02,240
264,10.6,64643,Wrangell City and Borough,2020,02,275
79,12.4,68352,Yakutat Borough,2020,02,282
1029,20.5,43060,Yukon-Koyukuk Census Area,2020,02,290
22939,32.4,36319,Apache County,2020,04,001
17815,14.6,51171,Cochise County,2020,04,003
22540,17.2,57146,Coconino County,2020,04,005
8911,16.7,49280,Gila County,2020,04,007
5523,15.2,55419,Graham County,2020,04,009
776,8.4,67530,Greenlee County,2020,04,011
4405,20.8,41637,La Paz County,2020,04,012
520797,11.6,71799,Maricopa County,2020,04,013
32550,15.3,46678,Mohave County,2020,04,015
25532,23.3,46698,Navajo County,2020,04,017
154790,14.9,56551,Pima County,2020,04,019
50810,11.1,66992,Pinal County,2020,04,021
7810,16.8,44402,Santa Cruz County,2020,04,023
25610,10.8,58860,Yavapai County,2020,04,025
31745,15.2,54278,Yuma County,2020,04,027
2940,17.2,51186,Arkansas County,2020,05,001
3279,17.1,44677,Ashley County,2020,05,003
6013,14.4,44833,Baxter County,2020,05,005
25970,9.1,78678,Benton County,2020,05,007
5255,14.1,48153,Boone County,2020,05,009
2156,20.6,41578,Bradley County,2020,05,011
798,16.2,50865,Calhoun County,2020,05,013
3935,14.1,45397,Carroll County,2020,05,015
2467,26.8,35992,Chicot County,2020,05,017
3830,20.1,46464,Clark County,2020,05,019
2577,18.1,43723,Clay County,2020,05,021
3563,14.5,49964,Cleburne County,2020,05,023
1086,13.8,57697,Cleveland County,2020,05,025
3857,18.3,44925,Columbia County,2020,05,027
3273,15.8,47049,Conway County,2020,05,029
18130,16.8,51797,Craighead County,2020,05,031
9012,14.4,54534,Crawford County,2020,05,033
10671,22.9,47545,Crittenden County,2020,05,035
3357,21.2,40587,Cross County,2020,05,037
1244,19.5,34649,Dallas County,2020,05,039
2507,22.8,37421,Desha County,2020,05,041
3152,18.4,46787,Drew County,2020,05,043
