County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Maunabo Municipio, Puerto Rico",,,,,,,,72,095
"Peñuelas Municipio, Puerto Rico",,,,,,,,72,111
"Ponce Municipio, Puerto Rico",,,,,,,,72,113
"San Sebastián Municipio, Puerto Rico",,,,,,,,72,131
"Toa Alta Municipio, Puerto Rico",,,,,,,,72,135
"Toa Baja Municipio, Puerto Rico",,,,,,,,72,137
"Vieques Municipio, Puerto Rico",,,,,,,,72,147
"Aguada Municipio, Puerto Rico",,,,,,,,72,003
"Caguas Municipio, Puerto Rico",,,,,,,,72,025
"Cidra Municipio, Puerto Rico",,,,,,,,72,041
"Coamo Municipio, Puerto Rico",,,,,,,,72,043
"Luquillo Municipio, Puerto Rico",,,,,,,,72,089
"Barranquitas Municipio, Puerto Rico",,,,,,,,72,019
"San Lorenzo Municipio, Puerto Rico",,,,,,,,72,129
"Añasco Municipio, Puerto Rico",,,,,,,,72,011
"Ciales Municipio, Puerto Rico",,,,,,,,72,039
"Isabela Municipio, Puerto Rico",,,,,,,,72,071
"Jayuya Municipio, Puerto Rico",,,,,,,,72,073
"Las Piedras Municipio, Puerto Rico",,,,,,,,72,085
"Río Grande Municipio, Puerto Rico",,,,,,,,72,119
"Vega Alta Municipio, Puerto Rico",,,,,,,,72,143
"Vega Baja Municipio, Puerto Rico",,,,,,,,72,145
"Polk County, North Carolina",7.0,31.8,20.8,8.1,14.9,11.8,87.3,37,149
"Randolph County, North Carolina",14.8,35.2,19.8,8.1,10.2,3.6,76.8,37,151
"Stokes County, North Carolina",12.9,41.5,21.1,6.0,7.9,3.4,80.0,37,169
"Washington County, North Carolina",12.6,35.9,22.0,8.3,7.8,4.1,78.0,37,187
"Clay County, North Carolina",8.6,32.9,23.2,8.4,12.1,7.3,83.8,37,043
"Cumberland County, North Carolina",7.3,27.6,29.0,10.6,14.3,7.5,88.9,37,051
"Guilford County, North Carolina",8.2,26.3,21.3,6.7,22.2,10.6,87.1,37,081
"Jackson County, North Carolina",10.7,27.4,20.5,8.4,16.7,10.4,83.5,37,099
"Pasquotank County, North Carolina",12.2,29.4,23.1,9.2,12.4,7.4,81.5,37,139
"Robeson County, North Carolina",18.8,32.3,18.0,6.4,8.4,4.0,69.3,37,155
"Swain County, North Carolina",13.9,30.0,20.5,12.0,11.2,6.5,80.3,37,173
"Wake County, North Carolina",4.5,17.3,18.5,8.0,31.6,16.4,91.8,37,183
"Anson County, North Carolina",18.0,43.5,16.6,8.3,5.9,2.5,76.8,37,007
"McDowell County, North Carolina",13.0,36.1,18.4,10.5,9.1,4.8,78.9,37,111
"Franklin County, North Carolina",12.8,34.5,21.3,8.9,10.6,4.8,80.1,37,069
"Jones County, North Carolina",11.8,36.3,22.3,10.1,9.2,3.3,81.2,37,103
"Macon County, North Carolina",9.7,32.5,23.9,8.2,12.0,7.8,84.3,37,113
"Brunswick County, North Carolina",10.4,29.9,22.3,9.2,15.6,8.1,85.0,37,019
"Transylvania County, North Carolina",7.6,29.4,20.4,9.8,16.6,10.8,86.9,37,175
"Beaufort County, North Carolina",12.1,33.8,19.8,9.0,12.2,6.9,81.7,37,013
"Columbus County, North Carolina",14.4,33.1,23.9,10.0,8.2,3.4,78.6,37,047
"Lincoln County, North Carolina",11.7,29.9,23.7,8.8,14.4,5.3,82.1,37,109
"Montgomery County, North Carolina",16.0,28.7,19.5,9.3,9.7,4.8,72.0,37,123
"Orange County, North Carolina",5.4,15.9,14.1,5.5,24.7,29.9,90.1,37,135
"Richmond County, North Carolina",14.5,37.5,19.5,8.9,7.2,4.0,77.1,37,153
"Sampson County, North Carolina",14.9,34.0,20.0,8.2,9.1,3.5,74.8,37,163
"Surry County, North Carolina",14.8,29.6,21.1,8.8,10.3,4.6,74.3,37,171
"Avery County, North Carolina",11.5,31.9,20.0,10.3,13.4,5.9,81.5,37,011
"Buncombe County, North Carolina",7.9,25.7,21.5,8.7,20.7,11.4,87.9,37,021
"Cabarrus County, North Carolina",9.4,27.8,23.5,10.2,16.7,7.3,85.5,37,025
"Caswell County, North Carolina",17.2,37.3,22.1,7.1,6.0,3.4,75.8,37,033
"Davie County, North Carolina",10.1,33.0,19.3,8.6,15.8,7.5,84.1,37,059
"Davidson County, North Carolina",14.5,34.8,19.3,8.0,12.0,4.8,78.9,37,057
"Duplin County, North Carolina",15.8,31.0,20.8,8.4,7.4,3.2,71.0,37,061
"Durham County, North Carolina",7.8,18.7,17.4,6.4,24.6,19.8,86.9,37,063
"Hertford County, North Carolina",15.7,31.1,20.1,8.5,9.6,5.0,74.4,37,091
"Lee County, North Carolina",9.0,29.3,23.1,9.7,14.0,5.2,81.4,37,105
"New Hanover County, North Carolina",7.2,21.8,22.0,9.8,24.3,11.6,89.5,37,129
"Pender County, North Carolina",9.0,35.2,23.0,8.7,13.5,5.8,86.2,37,141
"Wayne County, North Carolina",11.2,30.4,25.1,9.5,10.8,5.2,81.1,37,191
"Scotland County, North Carolina",14.2,36.5,19.3,7.5,9.5,4.5,77.3,37,165
"Watauga County, North Carolina",6.8,20.3,20.5,8.2,21.9,17.4,88.3,37,189
"Halifax County, North Carolina",16.5,36.0,19.3,7.5,7.3,4.2,74.3,37,083
"Alamance County, North Carolina",11.4,29.4,21.7,8.8,15.1,6.4,81.4,37,001
"Tyrrell County, North Carolina",19.8,40.3,15.1,5.9,7.1,3.0,71.5,37,177
"Stark County, North Dakota",5.4,31.2,22.8,11.1,17.7,4.4,87.3,38,089
"Wells County, North Dakota",6.5,34.6,21.0,10.0,16.6,2.4,84.6,38,103
"Burke County, North Dakota",4.8,39.1,24.0,11.3,12.7,3.4,90.5,38,013
"Mountrail County, North Dakota",6.0,29.3,28.4,12.4,14.6,4.6,89.2,38,061
"Williams County, North Dakota",6.2,30.7,24.3,14.9,15.6,3.2,88.7,38,105
"Billings County, North Dakota",4.4,35.7,23.9,9.6,17.9,3.8,91.0,38,007
"Kidder County, North Dakota",6.8,30.2,23.3,8.4,13.3,3.3,78.4,38,043
"Cavalier County, North Dakota",5.2,30.6,23.5,15.0,13.6,3.2,85.9,38,019
"Grant County, North Dakota",4.0,38.1,18.8,14.5,11.6,3.6,86.7,38,037
"McHenry County, North Dakota",7.8,37.4,25.0,8.4,11.7,3.1,85.5,38,049
"Steele County, North Dakota",5.3,33.0,27.1,12.2,12.7,3.9,88.9,38,091
"Benson County, North Dakota",12.6,33.3,23.7,13.0,9.0,1.6,80.7,38,005
"LaMoure County, North Dakota",4.5,32.1,23.3,12.5,17.3,2.7,87.8,38,045
"Morton County, North Dakota",4.3,31.0,23.1,12.1,19.0,3.3,88.4,38,059
"Dunn County, North Dakota",4.9,34.3,23.2,13.1,14.0,2.6,87.3,38,025
"McIntosh County, North Dakota",5.2,30.9,17.6,7.4,11.0,5.1,72.0,38,051
"Nelson County, North Dakota",3.8,30.2,21.5,15.0,18.6,4.0,89.2,38,063
"Rolette County, North Dakota",12.0,24.0,22.7,17.3,10.5,7.0,81.5,38,079
"Walsh County, North Dakota",7.5,32.3,23.8,10.1,12.6,3.5,82.4,38,099
"Bottineau County, North Dakota",8.9,26.4,23.0,13.8,17.1,5.4,85.7,38,009
"Barnes County, North Dakota",5.3,32.9,21.0,8.0,19.6,7.8,89.4,38,003
"Grand Forks County, North Dakota",4.1,23.5,24.9,11.0,21.5,11.6,92.6,38,035
"McKenzie County, North Dakota",5.2,28.1,24.6,15.6,16.8,3.9,89.0,38,053
"McLean County, North Dakota",5.6,32.2,24.1,14.8,14.5,2.8,88.2,38,055
"Pierce County, North Dakota",6.6,32.2,24.1,11.8,12.1,3.1,83.3,38,069
"Renville County, North Dakota",5.7,26.9,32.2,13.3,14.6,3.2,90.3,38,075
"Bowman County, North Dakota",7.1,33.0,24.2,10.5,17.2,3.1,87.9,38,011
"Burleigh County, North Dakota",3.5,23.7,22.2,14.7,23.0,9.3,92.8,38,015
"Logan County, North Dakota",6.0,31.1,24.3,6.6,11.7,1.7,75.3,38,047
"Oliver County, North Dakota",5.8,33.3,27.1,9.9,12.9,3.4,86.7,38,065
"Stutsman County, North Dakota",6.7,35.7,18.1,8.7,18.1,5.2,85.8,38,093
"Ramsey County, North Dakota",6.2,25.7,25.1,13.3,16.2,5.1,85.4,38,071
"Foster County, North Dakota",5.1,33.8,21.6,13.6,17.9,1.4,88.3,38,031
"Griggs County, North Dakota",7.8,36.6,23.2,9.5,15.0,3.0,87.3,38,039
"Sheridan County, North Dakota",7.3,38.8,23.2,5.6,11.9,2.3,81.8,38,083
"Slope County, North Dakota",5.6,29.7,23.0,8.9,19.5,7.2,88.5,38,087
"Union County, Ohio",7.1,37.4,19.8,6.6,19.4,8.0,91.3,39,159
"Pike County, Ohio",14.4,43.8,15.5,6.2,7.0,5.6,78.0,39,131
"Paulding County, Ohio",10.7,49.8,16.5,9.0,5.8,5.3,86.4,39,125
"Hamilton County, Ohio",8.9,27.7,19.9,7.3,20.4,12.6,87.9,39,061
"Franklin County, Ohio",7.6,26.2,21.0,6.6,23.1,12.5,89.3,39,049
"Marion County, Ohio",11.8,43.8,20.5,7.4,6.9,5.5,84.0,39,101
"Tuscarawas County, Ohio",9.8,48.8,15.2,6.2,9.7,5.3,85.2,39,157
"Wayne County, Ohio",8.1,43.2,16.3,6.1,12.9,6.3,84.8,39,169
"Brown County, Ohio",13.7,47.7,16.2,6.6,6.6,3.8,80.9,39,015
"Butler County, Ohio",8.9,34.6,19.8,6.8,16.7,9.7,87.6,39,017
"Harrison County, Ohio",11.4,50.4,16.8,9.1,5.6,3.0,85.0,39,067
"Knox County, Ohio",7.7,42.4,19.7,6.2,12.9,7.1,88.2,39,083
"Licking County, Ohio",8.4,38.4,20.9,7.3,15.5,6.9,89.0,39,089
"Richland County, Ohio",11.1,41.7,20.0,8.2,9.7,5.4,85.0,39,139
"Vinton County, Ohio",17.1,45.2,16.2,6.7,5.7,2.2,76.0,39,163
"Carroll County, Ohio",11.6,48.5,17.8,5.7,7.6,4.4,84.1,39,019
"Hancock County, Ohio",7.2,38.1,20.2,8.3,15.3,8.9,90.8,39,063
"Clermont County, Ohio",8.8,35.1,19.6,7.3,16.8,8.5,87.4,39,025
"Fairfield County, Ohio",6.4,36.9,21.5,8.3,16.4,8.5,91.6,39,045
"Defiance County, Ohio",9.3,44.2,18.9,8.4,9.8,6.7,87.9,39,039
"Highland County, Ohio",14.3,44.2,18.4,7.6,6.6,3.8,80.6,39,071
"Henry County, Ohio",7.9,45.2,20.2,9.6,9.7,4.8,89.4,39,069
"Jefferson County, Ohio",8.9,44.2,18.7,10.3,8.7,5.4,87.3,39,081
"Portage County, Ohio",7.7,39.3,20.1,6.5,15.4,9.1,90.4,39,133
"Putnam County, Ohio",5.8,46.1,14.5,11.9,12.2,6.4,91.0,39,137
"Belmont County, Ohio",9.6,45.2,19.1,9.2,9.1,4.4,87.0,39,013
"Clinton County, Ohio",9.1,44.1,21.6,6.8,9.8,4.8,87.2,39,027
"Fayette County, Ohio",14.5,44.1,17.3,6.0,8.3,5.1,80.9,39,047
"Perry County, Ohio",11.8,48.6,18.3,7.2,5.7,3.7,83.6,39,127
"Pickaway County, Ohio",12.9,45.4,17.6,6.5,9.3,4.8,83.6,39,129
"Madison County, Ohio",11.8,40.1,19.7,8.5,11.5,4.9,84.7,39,097
"Muskingum County, Ohio",10.4,45.5,19.8,7.3,8.1,5.8,86.5,39,119
"Sandusky County, Ohio",8.4,42.1,22.3,9.8,8.3,5.1,87.6,39,143
"Van Wert County, Ohio",7.2,49.8,19.3,7.6,9.6,4.3,90.6,39,161
"Washington County, Ohio",8.2,44.8,19.9,8.6,10.0,5.0,88.2,39,167
"Auglaize County, Ohio",7.3,44.8,20.5,8.9,9.8,6.3,90.3,39,011
"Darke County, Ohio",10.8,48.5,18.8,7.7,6.3,4.5,85.9,39,037
"Ottawa County, Ohio",7.1,37.7,23.6,8.9,12.9,6.9,90.1,39,123
"Hardin County, Ohio",8.9,51.7,14.8,6.1,7.6,6.3,86.6,39,065
"Jackson County, Ohio",13.4,41.9,16.6,6.9,8.3,5.7,79.3,39,079
"Huron County, Ohio",8.3,49.8,17.6,7.1,7.8,4.5,86.9,39,077
"Athens County, Ohio",9.7,33.3,17.7,7.7,12.2,16.2,87.1,39,009
"Adams County, Ohio",14.0,46.4,14.1,5.5,6.2,4.7,76.9,39,001
"Medina County, Ohio",5.2,33.2,22.0,7.9,20.4,9.7,93.1,39,103
"Lucas County, Ohio",9.4,32.5,23.4,8.4,14.5,8.5,87.3,39,095
"Noble County, Ohio",16.3,51.4,13.7,6.0,4.8,3.1,79.0,39,121
"Seneca County, Ohio",9.2,44.3,18.9,8.6,9.8,6.2,87.8,39,147
"Stark County, Ohio",8.6,40.3,20.1,7.4,13.9,6.8,88.5,39,151
"Coshocton County, Ohio",9.8,49.7,17.1,7.3,7.7,3.8,85.7,39,031
"Delaware County, Ohio",3.0,20.4,18.3,7.2,32.6,17.4,95.9,39,041
"Geauga County, Ohio",4.4,27.4,20.3,7.9,21.1,13.2,89.9,39,055
"Hocking County, Ohio",10.6,44.7,19.5,9.3,7.4,4.7,85.6,39,073
"Lake County, Ohio",6.5,34.5,23.6,8.1,17.0,7.9,91.0,39,085
"Ross County, Ohio",12.4,43.5,18.8,7.4,8.7,5.3,83.7,39,141
"Cuyahoga County, Ohio",9.8,29.6,21.7,6.7,17.2,11.5,86.7,39,035
"Holmes County, Ohio",10.8,32.7,9.9,4.5,5.4,3.9,56.4,39,075
"Miami County, Ohio",10.1,38.6,21.0,8.2,12.5,7.3,87.5,39,109
"Monroe County, Ohio",9.2,52.5,16.8,7.6,6.0,3.0,85.9,39,111
"Trumbull County, Ohio",9.4,45.4,18.9,6.1,11.3,5.3,87.1,39,155
"Wood County, Ohio",5.5,33.0,19.8,9.5,18.5,11.6,92.5,39,173
"Ashland County, Ohio",9.7,43.0,16.8,8.2,11.3,7.1,86.4,39,005
"Dewey County, Oklahoma",8.2,40.6,20.7,4.5,15.7,4.4,85.9,40,043
"Harper County, Oklahoma",10.6,42.4,24.7,2.9,10.5,3.5,83.9,40,059
"Logan County, Oklahoma",9.6,34.3,24.7,5.2,16.2,6.9,87.2,40,083
"Tulsa County, Oklahoma",7.5,26.7,24.2,8.1,19.9,9.3,88.2,40,143
"Washington County, Oklahoma",8.2,33.7,21.8,6.9,19.1,7.1,88.6,40,147
"Harmon County, Oklahoma",11.5,28.1,23.8,5.9,14.5,3.8,76.1,40,057
"Haskell County, Oklahoma",14.3,38.0,18.4,9.1,9.4,2.5,77.4,40,061
"Okmulgee County, Oklahoma",12.1,36.9,22.3,10.6,9.3,4.3,83.4,40,111
"Osage County, Oklahoma",9.4,39.1,22.5,7.8,12.4,5.2,87.0,40,113
"Jefferson County, Oklahoma",17.6,43.8,19.1,3.0,8.6,2.6,77.1,40,067
"Garfield County, Oklahoma",9.5,35.9,22.0,5.5,16.4,6.7,86.5,40,047
"Garvin County, Oklahoma",11.6,45.5,17.9,3.9,10.9,4.6,82.8,40,049
"Pittsburg County, Oklahoma",12.7,36.8,22.0,7.8,10.2,5.0,81.9,40,121
"Pontotoc County, Oklahoma",9.8,31.1,23.5,3.4,15.5,11.8,85.3,40,123
"Roger Mills County, Oklahoma",9.5,35.2,25.2,6.4,12.1,9.1,88.0,40,129
"Woodward County, Oklahoma",10.5,37.2,25.9,3.8,14.2,3.2,84.3,40,153
"Cherokee County, Oklahoma",11.1,29.4,24.8,4.9,15.0,9.5,83.6,40,021
"Delaware County, Oklahoma",12.7,41.3,20.5,6.1,9.9,5.0,82.8,40,041
"Ellis County, Oklahoma",10.0,36.9,23.7,3.6,15.1,7.7,87.0,40,045
"Grady County, Oklahoma",10.9,37.7,24.8,6.1,11.7,4.9,85.3,40,051
"Payne County, Oklahoma",7.3,27.1,21.9,5.7,19.9,14.5,89.0,40,119
"Pottawatomie County, Oklahoma",11.6,37.0,23.7,7.4,11.5,5.1,84.8,40,125
"Creek County, Oklahoma",11.2,39.3,23.3,6.9,11.2,3.8,84.4,40,037
"Tillman County, Oklahoma",12.8,37.0,18.2,5.5,11.6,3.9,76.2,40,141
"Washita County, Oklahoma",10.9,42.0,21.0,4.8,11.2,5.2,84.1,40,149
"Cotton County, Oklahoma",10.2,42.6,21.1,5.5,10.6,4.6,84.3,40,033
"Kiowa County, Oklahoma",10.1,38.8,22.7,5.5,12.2,5.6,84.8,40,075
"Le Flore County, Oklahoma",12.4,37.7,21.9,8.6,6.9,4.6,79.7,40,079
"McCurtain County, Oklahoma",11.5,40.7,20.6,6.6,8.0,4.4,80.2,40,089
"Major County, Oklahoma",7.8,42.9,23.5,3.1,11.4,4.5,85.6,40,093
"Mayes County, Oklahoma",10.7,39.2,25.2,6.4,9.5,4.1,84.4,40,097
"Oklahoma County, Oklahoma",8.5,25.7,25.3,5.8,19.1,10.0,85.8,40,109
"Custer County, Oklahoma",10.0,31.0,24.0,4.7,14.5,8.9,83.1,40,039
"Love County, Oklahoma",12.3,43.2,19.4,4.4,10.7,4.0,81.7,40,085
"Beckham County, Oklahoma",12.2,38.0,21.1,6.5,10.9,4.4,80.9,40,009
"Choctaw County, Oklahoma",13.0,41.3,20.6,5.3,8.4,2.9,78.4,40,023
"Jackson County, Oklahoma",10.2,27.9,24.5,9.3,14.1,6.6,82.4,40,065
"Lincoln County, Oklahoma",11.3,43.5,23.3,5.6,9.0,4.0,85.3,40,081
"Pawnee County, Oklahoma",8.7,41.8,21.7,6.6,12.0,5.1,87.3,40,117
"Seminole County, Oklahoma",12.7,38.5,22.2,6.6,8.0,5.6,80.9,40,133
"Cimarron County, Oklahoma",9.7,32.9,20.7,6.1,16.1,2.7,78.5,40,025
"Blaine County, Oklahoma",12.3,36.9,22.1,6.3,11.3,4.6,81.2,40,011
"Coal County, Oklahoma",13.5,47.5,17.7,3.9,6.5,3.2,78.8,40,029
"Grant County, Oklahoma",8.1,37.6,25.0,6.2,13.2,8.0,90.1,40,053
"Kingfisher County, Oklahoma",10.9,34.3,24.0,7.1,12.2,7.4,84.9,40,073
"McClain County, Oklahoma",8.5,36.5,26.3,6.4,13.1,5.8,88.2,40,087
"Marshall County, Oklahoma",11.3,39.3,19.9,5.0,10.0,5.6,79.7,40,095
"Noble County, Oklahoma",7.9,40.0,22.9,6.2,13.4,5.5,88.0,40,103
"Nowata County, Oklahoma",12.3,43.0,23.8,5.2,8.9,2.4,83.2,40,105
"Rogers County, Oklahoma",7.6,33.8,24.7,8.9,15.5,6.7,89.6,40,131
"Sequoyah County, Oklahoma",13.4,40.8,20.6,6.9,8.9,3.9,81.1,40,135
"Alfalfa County, Oklahoma",11.4,39.5,22.7,3.4,12.5,5.9,84.0,40,003
"Woods County, Oklahoma",7.0,33.1,25.8,3.5,17.3,9.7,89.3,40,151
"Cleveland County, Oklahoma",6.8,27.0,25.6,7.3,19.6,11.4,90.9,40,027
"Okfuskee County, Oklahoma",12.6,39.4,20.8,8.6,7.7,3.6,80.1,40,107
