County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Childress County, Texas",6.9,40.1,22.1,7.9,11.6,5.2,86.9,48,075
"Comal County, Texas",4.6,25.5,23.4,8.1,22.9,10.5,90.5,48,091
"Houston County, Texas",11.3,37.3,23.7,7.0,10.9,3.6,82.5,48,225
"Navarro County, Texas",12.3,30.5,23.2,7.9,10.8,4.9,77.3,48,349
"Scurry County, Texas",8.8,30.7,28.8,6.5,10.1,5.2,81.3,48,415
"Stonewall County, Texas",10.1,37.5,21.2,6.0,11.4,4.2,80.3,48,433
"Bastrop County, Texas",9.7,30.4,25.9,6.4,12.0,5.9,80.7,48,021
"Bee County, Texas",16.3,33.1,22.7,7.1,6.3,3.4,72.6,48,025
"Crane County, Texas",9.8,30.4,25.6,3.5,9.4,3.4,72.2,48,103
"Rutland County, Vermont",6.3,34.2,18.8,8.6,18.1,11.0,90.7,50,021
"Orange County, Vermont",5.7,34.9,16.8,9.0,18.1,12.7,91.5,50,017
"Windsor County, Vermont",5.0,31.7,17.4,8.2,19.8,15.3,92.4,50,027
"Juncos Municipio, Puerto Rico",,,,,,,,72,077
"Adjuntas Municipio, Puerto Rico",,,,,,,,72,001
"Hormigueros Municipio, Puerto Rico",,,,,,,,72,067
"Naranjito Municipio, Puerto Rico",,,,,,,,72,105
"Arecibo Municipio, Puerto Rico",,,,,,,,72,013
"Florida Municipio, Puerto Rico",,,,,,,,72,054
"Moca Municipio, Puerto Rico",,,,,,,,72,099
"Salinas Municipio, Puerto Rico",,,,,,,,72,123
"Yauco Municipio, Puerto Rico",,,,,,,,72,153
"Cabo Rojo Municipio, Puerto Rico",,,,,,,,72,023
"Las Marías Municipio, Puerto Rico",,,,,,,,72,083
"Villalba Municipio, Puerto Rico",,,,,,,,72,149
"Aguada Municipio, Puerto Rico",,,,,,,,72,003
"Cidra Municipio, Puerto Rico",,,,,,,,72,041
"Luquillo Municipio, Puerto Rico",,,,,,,,72,089
"Orocovis Municipio, Puerto Rico",,,,,,,,72,107
"Trinity County, Texas",10.3,41.9,23.5,6.9,8.1,2.9,83.3,48,455
"Bandera County, Texas",8.8,29.2,25.7,8.3,15.4,7.2,85.8,48,019
"Ceiba Municipio, Puerto Rico",,,,,,,,72,037
"Isabela Municipio, Puerto Rico",,,,,,,,72,071
"Las Piedras Municipio, Puerto Rico",,,,,,,,72,085
"Vega Alta Municipio, Puerto Rico",,,,,,,,72,143
"Somerset County, Pennsylvania",8.6,49.3,13.8,8.1,9.9,5.4,86.5,42,111
"Madison County, Missouri",14.3,36.4,22.5,6.3,7.9,3.3,76.4,29,123
"Vernon County, Missouri",8.1,41.0,22.4,7.9,10.1,6.2,87.6,29,217
"Nodaway County, Missouri",5.3,41.2,21.6,4.7,14.0,10.0,91.4,29,147
"Chariton County, Missouri",10.5,49.2,15.3,6.0,9.6,5.4,85.5,29,041
"Wayne County, Missouri",16.1,36.6,21.8,5.9,7.7,3.0,74.9,29,223
"Scott County, Missouri",12.7,42.0,21.0,5.3,8.5,4.7,81.5,29,201
"Barton County, Missouri",7.7,39.5,23.4,7.4,12.1,4.6,86.9,29,011
"Cedar County, Missouri",10.6,42.4,21.8,5.2,9.4,4.8,83.6,29,039
"Gasconade County, Missouri",9.1,43.2,17.9,8.5,10.3,4.6,84.6,29,073
"Macon County, Missouri",8.5,43.8,20.7,7.7,10.3,5.2,87.6,29,121
"Oregon County, Missouri",11.3,39.6,23.3,7.6,6.7,4.3,81.6,29,149
"Ste. Genevieve County, Missouri",8.9,42.0,21.5,10.0,9.0,4.3,86.7,29,186
"Douglas County, Missouri",14.4,42.4,20.5,7.1,5.8,3.4,79.2,29,067
"Lawrence County, Missouri",11.8,38.7,22.6,5.8,11.8,5.0,83.9,29,109
"Pulaski County, Missouri",7.3,31.3,23.3,11.2,15.8,8.4,89.8,29,169
"Texas County, Missouri",12.2,43.8,21.3,4.6,8.9,4.1,82.6,29,215
"Callaway County, Missouri",9.9,38.3,20.3,6.7,14.3,6.1,85.7,29,027
"Cooper County, Missouri",7.7,41.4,20.0,7.2,13.9,5.6,88.1,29,053
"Gentry County, Missouri",7.0,43.5,20.5,6.3,13.1,5.5,88.9,29,075
"Mississippi County, Missouri",16.1,40.7,18.9,2.7,8.0,2.8,73.1,29,133
"Ozark County, Missouri",10.7,44.2,19.6,6.8,7.5,5.4,83.5,29,153
"Bollinger County, Missouri",13.2,45.4,20.1,3.5,7.4,2.6,79.1,29,017
