"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
6966,12.7,56580,Autauga County,2015,01,001
25941,12.9,52387,Baldwin County,2015,01,003
7380,32.0,31433,Barbour County,2015,01,005
4516,22.2,40767,Bibb County,2015,01,007
8399,14.7,50487,Blount County,2015,01,009
3544,39.6,28251,Bullock County,2015,01,011
5100,25.8,33868,Butler County,2015,01,013
22579,20.0,42091,Calhoun County,2015,01,015
7532,22.4,35560,Chambers County,2015,01,017
4961,19.4,39144,Cherokee County,2015,01,019
8787,20.2,42767,Chilton County,2015,01,021
3177,24.4,35089,Choctaw County,2015,01,023
5403,22.2,37317,Clarke County,2015,01,025
2436,18.4,38908,Clay County,2015,01,027
2797,18.9,42136,Cleburne County,2015,01,029
8196,16.2,46858,Coffee County,2015,01,031
9732,18.1,41171,Colbert County,2015,01,033
3560,28.3,29981,Conecuh County,2015,01,035
2118,20.3,36078,Coosa County,2015,01,037
8319,22.3,36355,Covington County,2015,01,039
2742,19.9,36759,Crenshaw County,2015,01,041
15694,19.4,39290,Cullman County,2015,01,043
8980,18.5,45294,Dale County,2015,01,045
14021,34.6,29682,Dallas County,2015,01,047
14481,20.6,37305,DeKalb County,2015,01,049
10609,14.0,53548,Elmore County,2015,01,051
8394,24.4,36840,Escambia County,2015,01,053
19146,19.0,42145,Etowah County,2015,01,055
3364,20.4,37085,Fayette County,2015,01,057
6609,21.1,38535,Franklin County,2015,01,059
5932,22.4,36289,Geneva County,2015,01,061
3175,37.7,25398,Greene County,2015,01,063
4224,28.5,35470,Hale County,2015,01,065
2894,17.0,42501,Henry County,2015,01,067
18829,18.3,43568,Houston County,2015,01,069
9516,18.4,40201,Jackson County,2015,01,071
115897,18.0,48415,Jefferson County,2015,01,073
3378,24.7,36520,Lamar County,2015,01,075
15642,17.3,43008,Lauderdale County,2015,01,077
6130,18.7,41771,Lawrence County,2015,01,079
31900,21.0,46442,Lee County,2015,01,081
12644,14.3,55060,Limestone County,2015,01,083
3640,35.2,31117,Lowndes County,2015,01,085
5588,32.2,29522,Macon County,2015,01,087
45877,13.3,59117,Madison County,2015,01,089
4596,23.3,35389,Marengo County,2015,01,091
5789,19.8,34977,Marion County,2015,01,093
18767,20.1,40599,Marshall County,2015,01,095
75204,18.4,42530,Mobile County,2015,01,097
6116,28.6,35163,Monroe County,2015,01,099
49457,22.8,42666,Montgomery County,2015,01,101
19250,16.4,47234,Morgan County,2015,01,103
3536,40.0,26218,Perry County,2015,01,105
4531,24.3,33160,Pickens County,2015,01,107
8066,25.9,34442,Pike County,2015,01,109
4154,18.7,37333,Randolph County,2015,01,111
13575,23.0,36124,Russell County,2015,01,113
