"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
7444,13.5,54487,Autauga County,2016,01,001
24005,11.7,56460,Baldwin County,2016,01,003
6787,29.9,32884,Barbour County,2016,01,005
4099,20.1,43079,Bibb County,2016,01,007
8033,14.1,47213,Blount County,2016,01,009
2841,32.6,34278,Bullock County,2016,01,011
4880,24.8,35409,Butler County,2016,01,013
19057,17.1,41778,Calhoun County,2016,01,015
6656,19.9,39530,Chambers County,2016,01,017
4273,16.8,41456,Cherokee County,2016,01,019
7960,18.3,44188,Chilton County,2016,01,021
2910,22.7,32691,Choctaw County,2016,01,023
6977,29.0,34061,Clarke County,2016,01,025
2495,18.9,38512,Clay County,2016,01,027
2527,17.2,43483,Cleburne County,2016,01,029
7271,14.4,48632,Coffee County,2016,01,031
8982,16.7,46572,Colbert County,2016,01,033
3464,28.1,29758,Conecuh County,2016,01,035
1801,17.5,36441,Coosa County,2016,01,037
7228,19.6,35010,Covington County,2016,01,039
2822,20.5,37374,Crenshaw County,2016,01,041
12133,14.9,41543,Cullman County,2016,01,043
9936,20.6,40523,Dale County,2016,01,045
13987,35.4,30488,Dallas County,2016,01,047
14362,20.5,37128,DeKalb County,2016,01,049
10316,13.5,54553,Elmore County,2016,01,051
8020,23.3,35096,Escambia County,2016,01,053
17624,17.5,40972,Etowah County,2016,01,055
3307,20.3,38403,Fayette County,2016,01,057
6272,20.1,37049,Franklin County,2016,01,059
5495,20.9,36976,Geneva County,2016,01,061
2845,34.0,26559,Greene County,2016,01,063
3495,23.7,35381,Hale County,2016,01,065
3159,18.7,41426,Henry County,2016,01,067
19878,19.4,42910,Houston County,2016,01,069
9007,17.5,41407,Jackson County,2016,01,071
98463,15.3,50109,Jefferson County,2016,01,073
2545,18.6,38358,Lamar County,2016,01,075
13739,15.2,44124,Lauderdale County,2016,01,077
5530,16.8,43107,Lawrence County,2016,01,079
28139,18.3,47749,Lee County,2016,01,081
11511,12.8,52181,Limestone County,2016,01,083
3252,31.7,32011,Lowndes County,2016,01,085
5183,30.0,30681,Macon County,2016,01,087
47081,13.5,61193,Madison County,2016,01,089
5003,25.8,34794,Marengo County,2016,01,091
5386,18.5,36386,Marion County,2016,01,093
19703,21.0,42117,Marshall County,2016,01,095
79364,19.5,45233,Mobile County,2016,01,097
5472,25.7,36639,Monroe County,2016,01,099
