County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Cheyenne County, Nebraska",3.8,29.4,29.5,11.2,17.4,6.5,94.0,31,033
"Dawson County, Nebraska",10.2,33.5,19.3,8.2,10.5,4.7,76.2,31,047
"Garfield County, Nebraska",3.2,44.1,29.8,7.9,9.9,2.9,94.7,31,071
"McPherson County, Nebraska",1.2,32.1,29.3,8.6,19.1,6.5,95.7,31,117
"Nance County, Nebraska",7.9,36.4,27.5,9.9,10.7,3.8,88.3,31,125
"Stanton County, Nebraska",3.4,33.9,24.2,15.6,15.1,4.3,93.0,31,167
"Valley County, Nebraska",4.1,42.9,23.2,9.6,13.4,4.0,93.1,31,175
"Churchill County, Nevada",8.4,33.6,31.0,8.7,9.3,5.1,87.7,32,001
"Douglas County, Nevada",4.5,25.9,31.0,10.5,16.3,9.3,93.0,32,005
"Pershing County, Nevada",14.4,35.1,25.9,5.7,7.2,4.6,78.6,32,027
"Eureka County, Nevada",7.1,31.5,31.4,2.9,14.9,8.0,88.7,32,011
"Humboldt County, Nevada",12.0,37.1,25.5,8.5,8.6,3.8,83.5,32,013
"White Pine County, Nevada",9.4,34.0,26.0,9.6,9.2,6.3,85.1,32,033
"Elko County, Nevada",10.7,28.0,28.7,9.0,12.0,5.5,83.2,32,007
"Nye County, Nevada",12.4,34.3,30.0,5.8,9.3,4.1,83.5,32,023
"Storey County, Nevada",6.9,30.2,34.6,7.3,13.1,7.7,92.8,32,029
"Clark County, Nevada",9.2,29.1,25.4,7.5,14.8,7.4,84.2,32,003
"Lyon County, Nevada",10.2,29.9,29.9,8.6,10.3,5.7,84.3,32,019
"Cheshire County, New Hampshire",5.9,34.0,18.9,7.8,18.9,11.9,91.7,33,005
"Grafton County, New Hampshire",5.9,28.5,17.4,7.9,20.7,16.8,91.3,33,009
"Rockingham County, New Hampshire",4.1,27.4,19.2,9.9,24.1,13.9,94.5,33,015
"Sullivan County, New Hampshire",6.9,37.1,17.5,8.2,17.5,9.9,90.2,33,019
"Hillsborough County, New Hampshire",5.3,27.5,18.4,9.5,22.7,12.8,90.9,33,011
"Coos County, New Hampshire",8.9,39.1,19.1,10.7,11.5,6.3,86.6,33,007
"Carroll County, New Hampshire",4.8,30.3,20.5,10.0,20.3,11.9,93.0,33,003
"Mercer County, New Jersey",6.8,25.6,16.0,5.9,20.7,19.1,87.3,34,021
"Cumberland County, New Jersey",13.5,39.2,17.3,6.3,9.9,3.9,76.6,34,011
"Somerset County, New Jersey",3.5,21.7,14.1,5.6,28.8,23.2,93.5,34,035
"Clay County, Nebraska",7.6,32.0,24.1,14.0,12.9,4.6,87.7,31,035
"Custer County, Nebraska",4.9,35.6,25.6,10.7,15.4,4.9,92.2,31,041
"Franklin County, Nebraska",5.3,37.6,27.5,8.8,14.2,3.5,91.7,31,061
"Hamilton County, Nebraska",3.3,31.6,26.8,11.2,17.4,7.4,94.4,31,081
"Jefferson County, Nebraska",7.3,43.0,21.7,11.6,9.4,3.8,89.5,31,095
"Keith County, Nebraska",3.6,31.5,25.6,13.2,14.4,7.6,92.3,31,101
"Loup County, Nebraska",4.2,41.7,26.8,10.9,11.4,3.0,93.8,31,115
"Perkins County, Nebraska",4.4,30.7,30.6,9.8,12.4,8.3,91.8,31,135
"Saunders County, Nebraska",4.0,33.1,22.5,12.9,16.4,8.1,93.1,31,155
"Scotts Bluff County, Nebraska",7.9,30.5,24.7,11.0,14.1,7.1,87.4,31,157
"Keya Paha County, Nebraska",3.5,44.3,23.0,8.8,12.8,3.0,92.0,31,103
"Kimball County, Nebraska",10.9,34.4,27.6,7.5,11.0,4.9,85.4,31,105
"Lincoln County, Nebraska",5.1,32.8,28.2,10.6,14.6,5.3,91.5,31,111
"Pierce County, Nebraska",2.4,38.4,22.7,12.6,16.6,3.9,94.2,31,139
"Sioux County, Nebraska",5.1,30.9,25.3,9.7,17.9,7.2,91.0,31,165
"Burt County, Nebraska",6.9,35.9,24.0,13.9,12.1,4.4,90.3,31,021
"Cass County, Nebraska",4.1,32.1,26.4,11.7,16.3,8.1,94.7,31,025
"Cuming County, Nebraska",5.1,37.4,20.0,13.1,13.7,4.5,88.6,31,039
"Dixon County, Nebraska",6.6,38.0,23.5,8.4,11.9,4.8,86.6,31,051
"Dundy County, Nebraska",3.5,33.0,27.7,10.8,16.1,5.7,93.3,31,057
"Grant County, Nebraska",0.2,39.5,25.5,11.5,13.7,4.9,95.1,31,075
"Greeley County, Nebraska",3.8,41.6,24.0,11.3,10.5,4.7,92.1,31,077
"Hall County, Nebraska",8.8,31.6,23.9,9.7,11.8,6.0,83.0,31,079
"Hayes County, Nebraska",5.6,28.8,27.5,13.0,14.9,4.0,88.2,31,085
"Otoe County, Nebraska",5.8,38.1,20.9,10.6,15.4,6.7,91.6,31,131
"Red Willow County, Nebraska",4.8,35.8,25.0,13.1,14.4,5.2,93.5,31,145
"Cedar County, Nebraska",3.7,42.1,21.6,12.8,12.5,4.0,93.1,31,027
"Dawes County, Nebraska",3.3,24.4,23.3,7.4,25.4,13.7,94.1,31,045
"Johnson County, Nebraska",7.5,42.6,21.7,10.2,8.9,4.3,87.7,31,097
"Clay County, South Dakota",2.5,28.9,18.1,5.6,24.0,19.1,95.7,46,027
"Day County, South Dakota",6.7,39.4,21.9,9.0,13.3,4.5,88.1,46,037
"Douglas County, South Dakota",4.7,37.5,19.2,8.3,13.5,4.7,83.1,46,043
"Hughes County, South Dakota",4.9,27.4,22.2,10.0,22.3,9.9,91.7,46,065
"McPherson County, South Dakota",5.1,28.5,26.7,7.4,14.2,2.7,79.5,46,089
"Sanborn County, South Dakota",4.3,40.4,18.4,15.4,11.4,4.8,90.3,46,111
"Sully County, South Dakota",5.2,35.6,19.7,9.4,22.8,3.6,91.1,46,119
"Hand County, South Dakota",5.1,38.2,22.8,7.8,14.5,5.8,89.0,46,059
"Lake County, South Dakota",3.5,33.3,21.7,9.5,20.5,7.9,93.0,46,079
