County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Escambia County, Florida",8.6,28.5,24.2,11.4,15.5,8.3,87.9,12,033
"Hernando County, Florida",10.1,38.4,23.6,9.1,10.6,4.9,86.5,12,053
"Hillsborough County, Florida",8.1,28.0,20.4,8.9,19.1,10.4,86.8,12,057
"Okaloosa County, Florida",6.2,27.2,25.9,10.4,16.4,11.0,90.9,12,091
"Taylor County, Florida",16.7,37.1,21.6,6.1,6.9,4.7,76.5,12,123
"Wakulla County, Florida",9.3,37.9,24.6,7.9,10.9,6.3,87.7,12,129
"Lumpkin County, Georgia",9.3,30.7,22.9,5.9,17.0,8.5,85.0,13,187
"McDuffie County, Georgia",16.6,36.7,17.8,6.4,8.3,5.3,74.6,13,189
"Miller County, Georgia",12.3,39.1,23.0,5.8,7.6,4.3,79.9,13,201
"Morgan County, Georgia",11.8,35.2,18.4,5.4,14.3,8.4,81.7,13,211
"Heard County, Georgia",20.3,38.9,18.0,7.5,5.6,2.6,72.7,13,149
"Oconee County, Georgia",6.8,19.8,21.9,6.4,22.0,21.1,91.3,13,219
"Dougherty County, Georgia",13.9,28.6,28.0,5.5,10.3,7.5,79.9,13,095
"Fannin County, Georgia",11.5,40.9,16.5,7.2,8.8,5.6,79.0,13,111
"Henry County, Georgia",7.7,30.9,24.0,8.6,17.8,8.2,89.5,13,151
"Houston County, Georgia",7.7,29.0,26.6,9.2,14.5,9.5,88.8,13,153
"Laurens County, Georgia",13.6,43.1,16.2,5.4,8.7,6.3,79.8,13,175
"Long County, Georgia",12.5,39.8,21.0,10.2,10.5,3.5,85.0,13,183
"Spalding County, Georgia",16.1,36.0,20.6,5.2,9.3,5.5,76.6,13,255
"Stephens County, Georgia",13.5,40.7,17.1,8.4,8.4,5.9,80.4,13,257
"Telfair County, Georgia",17.4,47.7,10.3,4.9,5.6,5.3,73.9,13,271
"Upson County, Georgia",15.1,37.1,24.0,5.1,6.2,5.2,77.6,13,293
"Washington County, Georgia",15.1,42.2,17.1,5.8,8.1,3.0,76.2,13,303
"Peach County, Georgia",10.8,32.3,24.5,6.8,11.9,7.3,82.7,13,225
"Pierce County, Georgia",12.7,38.9,21.9,5.0,6.4,5.4,77.6,13,229
"Pike County, Georgia",10.2,35.6,25.5,7.0,9.8,7.2,85.1,13,231
"Screven County, Georgia",12.6,41.3,17.0,7.6,8.1,4.8,78.9,13,251
"Tattnall County, Georgia",15.5,42.2,16.9,4.5,7.0,4.6,75.1,13,267
"Walker County, Georgia",13.8,36.6,22.2,6.2,9.6,4.4,79.1,13,295
"Gwinnett County, Georgia",6.3,23.5,20.5,9.0,23.1,10.9,87.0,13,135
"Charlton County, Georgia",17.3,39.6,20.1,5.2,5.4,3.9,74.3,13,049
"Bartow County, Georgia",12.6,38.7,19.8,6.1,9.7,6.2,80.4,13,015
"Douglas County, Georgia",8.3,31.3,24.0,7.4,16.2,8.3,87.2,13,097
"Jeff Davis County, Georgia",12.8,43.0,17.9,9.1,6.0,3.7,79.6,13,161
"Hancock County, Georgia",17.0,43.6,17.0,5.3,7.1,2.7,75.8,13,141
"Calhoun County, Georgia",21.3,34.8,18.5,3.8,7.7,3.8,68.6,13,037
"Troup County, Georgia",11.7,35.7,22.6,4.9,11.5,7.2,81.8,13,285
"Evans County, Georgia",13.9,38.9,17.6,5.6,8.7,5.4,76.2,13,109
"Marion County, Georgia",18.6,40.8,21.4,2.4,6.6,4.0,75.1,13,197
"Schley County, Georgia",18.6,33.7,18.1,7.0,8.9,5.3,73.0,13,249
"Bleckley County, Georgia",13.8,39.9,18.5,6.3,7.2,7.7,79.5,13,023
"Franklin County, Georgia",19.3,36.3,17.5,5.5,8.4,4.6,72.3,13,119
"Effingham County, Georgia",11.0,37.2,22.7,8.4,10.7,6.1,85.2,13,103
"Lamar County, Georgia",11.9,38.6,23.3,5.7,8.6,5.6,81.9,13,171
"Emanuel County, Georgia",15.7,39.3,19.4,6.2,7.1,4.5,76.5,13,107
"Quitman County, Georgia",16.9,40.2,24.3,4.6,2.9,0.3,72.3,13,239
"Jasper County, Georgia",10.6,41.5,20.5,8.2,8.0,5.3,83.6,13,159
"Lanier County, Georgia",14.6,30.0,23.1,11.3,6.3,5.7,76.4,13,173
"Liberty County, Georgia",6.4,32.2,29.6,8.9,13.7,6.5,90.9,13,179
"Mitchell County, Georgia",18.5,39.4,17.9,5.4,6.4,3.1,72.3,13,205
"Seminole County, Georgia",13.4,40.9,23.3,4.9,7.8,4.4,81.2,13,253
"Twiggs County, Georgia",21.3,41.5,14.4,3.5,7.5,3.3,70.3,13,289
"Polk County, Georgia",16.6,36.4,19.0,4.2,7.4,5.7,72.7,13,233
"Taylor County, Georgia",15.6,39.9,19.5,6.9,6.2,3.9,76.4,13,269
"Thomas County, Georgia",12.8,35.3,20.2,8.3,10.0,8.1,81.8,13,275
"Toombs County, Georgia",13.4,39.0,18.0,7.0,9.7,5.4,79.2,13,279
"Montgomery County, Georgia",11.2,45.4,14.1,7.2,8.9,6.6,82.3,13,209
"Oglethorpe County, Georgia",14.5,36.0,19.3,5.8,9.8,8.2,79.0,13,221
"Rockdale County, Georgia",8.4,29.0,24.0,7.2,17.4,8.6,86.2,13,247
"Wayne County, Georgia",11.2,41.7,22.6,5.6,7.1,4.3,81.3,13,305
"Wheeler County, Georgia",18.0,54.8,7.0,4.6,6.1,2.4,74.8,13,309
"Baldwin County, Georgia",11.9,36.7,20.0,6.0,10.1,9.0,81.7,13,009
"Harrison County, Indiana",8.8,43.8,21.5,7.4,9.8,5.1,87.6,18,061
"Wabash County, Indiana",8.9,42.7,19.9,6.6,10.0,7.0,86.1,18,169
"Jay County, Indiana",11.5,48.8,16.8,8.5,6.4,3.5,84.1,18,075
"Porter County, Indiana",6.3,35.2,21.6,9.2,16.2,9.1,91.4,18,127
"Spencer County, Indiana",10.1,44.0,17.9,9.1,8.7,6.9,86.5,18,147
"Tippecanoe County, Indiana",5.9,28.3,19.4,7.4,19.9,15.9,90.7,18,157
"Hamilton County, Indiana",2.6,16.4,18.2,6.6,35.3,19.8,96.3,18,057
"LaGrange County, Indiana",9.5,31.4,15.6,4.8,5.5,4.8,62.1,18,087
"Boone County, Indiana",4.4,28.3,16.5,7.7,23.7,17.2,93.5,18,011
"Montgomery County, Indiana",9.2,44.8,19.2,6.0,11.2,6.6,87.8,18,107
"Clark County, Indiana",9.3,35.4,23.6,8.3,12.7,6.2,86.2,18,019
"Clay County, Indiana",9.6,44.6,18.1,9.9,9.4,4.6,86.6,18,021
"Franklin County, Indiana",10.3,44.0,15.2,8.0,11.8,6.4,85.4,18,047
"Jackson County, Indiana",9.4,46.7,17.9,7.1,9.5,5.0,86.2,18,071
"Posey County, Indiana",5.9,39.5,22.6,9.4,13.2,7.3,92.1,18,129
"Vermillion County, Indiana",7.9,46.9,20.3,9.0,9.3,3.6,89.1,18,165
"Allen County, Indiana",7.0,30.2,23.1,9.4,17.4,8.9,89.0,18,003
"Floyd County, Indiana",8.6,34.5,23.0,7.9,15.2,7.4,88.0,18,043
"Johnson County, Indiana",6.0,34.7,20.1,9.4,18.0,8.8,91.0,18,081
"Gibson County, Indiana",7.2,39.9,22.4,11.7,11.8,4.3,90.1,18,051
"Orange County, Indiana",13.4,44.3,16.9,6.5,8.5,4.2,80.4,18,117
"Marshall County, Indiana",9.2,40.4,20.0,7.3,10.8,5.9,84.4,18,099
"Blackford County, Indiana",9.4,50.8,18.6,6.8,6.5,3.3,86.0,18,009
"Scott County, Indiana",13.3,40.7,19.8,6.7,8.0,3.5,78.7,18,143
"Elkhart County, Indiana",11.7,36.5,19.6,6.2,12.3,5.9,80.5,18,039
"Cass County, Indiana",10.4,42.9,19.8,6.7,9.1,4.6,83.1,18,017
"Bibb County, Georgia",12.7,32.7,20.9,6.3,14.4,8.2,82.4,13,021
"Wayne County, Indiana",12.0,39.0,19.6,7.4,10.1,7.3,83.4,18,177
"Butler County, Iowa",5.0,43.0,20.2,12.8,11.8,3.2,90.9,19,023
"Hamilton County, Iowa",6.8,34.4,25.5,11.7,13.8,4.3,89.7,19,079
"Union County, Iowa",5.9,38.1,25.9,11.0,13.0,3.5,91.5,19,175
"Worth County, Iowa",5.3,34.5,27.5,14.2,12.1,4.3,92.5,19,195
"Adair County, Iowa",5.9,43.0,19.5,11.9,12.9,3.4,90.7,19,001
"Chickasaw County, Iowa",6.2,45.5,19.3,10.2,10.0,3.8,88.8,19,037
"Dickinson County, Iowa",4.6,30.7,25.0,12.2,17.6,7.8,93.3,19,059
"Louisa County, Iowa",9.7,40.1,20.8,9.0,10.7,2.7,83.3,19,115
"Franklin County, Iowa",10.6,36.2,21.5,12.4,10.9,4.2,85.2,19,069
"Cedar County, Iowa",5.5,39.6,20.7,12.2,13.9,5.7,92.1,19,031
"Floyd County, Iowa",7.0,39.8,20.8,14.0,11.3,4.6,90.5,19,067
"Humboldt County, Iowa",6.1,38.0,22.5,11.8,14.1,4.1,90.5,19,091
"Washington County, Iowa",5.1,35.6,22.5,10.6,14.3,6.5,89.5,19,183
"Cherokee County, Iowa",5.7,37.3,23.6,11.1,15.0,4.5,91.6,19,035
"Des Moines County, Iowa",6.1,36.1,25.0,11.1,12.9,5.9,91.1,19,057
"Kossuth County, Iowa",4.5,38.4,22.4,13.1,13.8,4.6,92.2,19,109
"Muscatine County, Iowa",8.0,33.9,23.9,10.7,11.7,4.5,84.6,19,139
"Polk County, Iowa",5.0,25.8,21.3,9.8,24.8,10.1,91.8,19,153
"Keokuk County, Iowa",7.6,43.5,20.5,10.9,9.7,3.7,88.2,19,107
"Tama County, Iowa",6.6,39.2,22.4,12.1,11.8,4.4,89.9,19,171
"Union County, Kentucky",11.0,37.9,22.3,10.9,6.4,5.0,82.5,21,225
"Calloway County, Kentucky",8.0,32.0,21.0,5.5,15.8,11.9,86.1,21,035
"Banks County, Georgia",14.9,42.0,15.2,6.8,7.9,3.7,75.5,13,011
"Bulloch County, Georgia",9.0,30.1,22.0,6.1,15.8,11.9,85.9,13,031
"Clarke County, Georgia",9.3,22.1,18.8,4.7,19.9,19.6,85.1,13,059
"Clay County, Georgia",14.1,39.7,23.3,7.0,3.8,4.0,77.9,13,061
"Echols County, Georgia",10.4,42.8,20.7,5.5,3.7,2.0,74.7,13,101
"Glynn County, Georgia",9.4,28.9,23.5,8.1,15.7,10.3,86.6,13,127
"DeKalb County, Georgia",6.2,21.5,20.4,6.7,23.7,16.1,88.4,13,089
"Haralson County, Georgia",16.6,37.2,18.3,4.6,8.9,5.2,74.2,13,143
"Jackson County, Georgia",10.9,35.4,19.6,6.6,12.8,6.7,81.1,13,157
"Jefferson County, Georgia",17.1,43.3,17.2,4.4,6.0,2.8,73.8,13,163
"Jones County, Georgia",8.8,41.2,22.4,7.3,11.8,6.0,88.7,13,169
"Lincoln County, Georgia",13.1,45.4,18.1,7.1,6.5,4.9,82.1,13,181
"Murray County, Georgia",18.5,36.2,17.7,5.9,5.3,4.3,69.3,13,213
"Muscogee County, Georgia",9.8,27.9,27.1,7.8,14.2,8.4,85.4,13,215
"Pulaski County, Georgia",15.6,44.4,14.4,9.1,5.4,4.2,77.5,13,235
"Rabun County, Georgia",9.6,32.9,20.8,5.0,16.4,10.2,85.2,13,241
"Stewart County, Georgia",22.1,39.0,10.9,3.2,6.2,3.8,63.1,13,259
"Towns County, Georgia",7.2,38.6,18.2,7.3,12.0,10.7,86.8,13,281
"Treutlen County, Georgia",16.1,44.0,13.5,4.6,8.7,3.7,74.4,13,283
"Turner County, Georgia",16.8,34.2,17.8,10.2,5.3,4.5,72.1,13,287
"Atkinson County, Georgia",16.6,37.1,15.0,4.8,3.9,3.8,64.6,13,003
"Appling County, Georgia",14.0,42.9,14.2,7.0,8.2,4.6,76.8,13,001
"Brantley County, Georgia",17.4,45.7,19.8,5.0,3.7,2.7,76.8,13,025
"Ben Hill County, Georgia",15.6,38.9,20.9,7.2,6.7,3.1,76.9,13,017
"Catoosa County, Georgia",12.4,31.8,23.8,9.1,12.2,5.3,82.3,13,047
"Chattooga County, Georgia",19.7,38.3,16.7,6.3,5.4,2.3,69.0,13,055
"Columbia County, Georgia",5.9,24.4,22.1,10.7,20.5,13.6,91.3,13,073
"Floyd County, Georgia",13.3,31.2,21.4,7.1,10.0,8.2,77.9,13,115
"Forsyth County, Georgia",5.0,20.5,19.9,7.2,30.4,13.4,91.4,13,117
"Hart County, Georgia",14.4,38.3,19.4,7.1,10.2,5.3,80.3,13,147
"Lowndes County, Georgia",11.5,30.5,22.8,7.6,14.6,8.5,84.0,13,185
"Meriwether County, Georgia",17.6,40.0,20.3,3.8,6.0,2.9,73.0,13,199
"Putnam County, Georgia",10.2,38.7,19.7,7.5,11.9,6.7,84.5,13,237
"Sumter County, Georgia",14.3,34.1,19.3,4.3,10.3,8.2,76.2,13,261
"Warren County, Georgia",13.6,44.9,14.6,6.4,4.2,3.1,73.2,13,301
"Baker County, Georgia",14.1,44.8,14.7,9.0,6.9,4.0,79.5,13,007
"Butts County, Georgia",18.9,42.7,20.1,3.5,5.3,3.2,74.7,13,035
"Candler County, Georgia",13.4,40.6,17.8,5.4,9.9,4.7,78.5,13,043
"Carroll County, Georgia",13.0,35.7,20.4,5.4,11.3,6.9,79.7,13,045
"Early County, Georgia",14.2,37.7,17.7,8.3,6.8,6.2,76.7,13,099
"Crisp County, Georgia",12.4,35.7,21.8,6.6,10.0,5.5,79.5,13,081
"Coweta County, Georgia",8.4,32.8,21.3,6.9,17.5,9.3,87.8,13,077
"Cobb County, Georgia",4.9,19.7,20.6,6.8,29.0,14.7,90.8,13,067
"Dade County, Georgia",14.0,34.5,23.1,5.7,11.9,5.1,80.3,13,083
"Wilkes County, Georgia",15.4,40.4,16.9,4.4,8.5,6.0,76.2,13,317
"Brooks County, Georgia",16.5,36.8,23.6,5.6,7.8,3.6,77.4,13,027
"Gordon County, Georgia",15.0,34.7,18.7,5.8,8.4,5.8,73.4,13,129
"Elbert County, Georgia",14.1,46.0,17.0,3.9,6.7,4.6,78.3,13,105
"Colquitt County, Georgia",17.0,37.2,15.9,5.9,8.4,4.7,72.1,13,071
"Jenkins County, Georgia",16.2,38.0,14.2,7.4,10.0,3.1,72.6,13,165
"Newton County, Georgia",10.9,32.7,25.1,7.3,12.7,6.7,84.5,13,217
"Greene County, Georgia",12.9,37.0,14.7,5.5,12.1,9.4,78.7,13,133
"Dawson County, Georgia",9.6,30.6,23.9,6.8,18.6,5.8,85.8,13,085
"Clayton County, Georgia",10.7,31.8,24.3,7.6,12.3,5.7,81.7,13,063
"Hall County, Georgia",10.1,30.2,19.7,6.0,14.1,8.7,78.8,13,139
"Honolulu County, Hawaii",5.1,26.7,21.7,9.9,21.1,11.0,90.3,15,003
"Maui County, Hawaii",5.4,30.8,24.9,8.8,17.1,8.7,90.2,15,009
"Kalawao County, Hawaii",9.2,27.7,10.8,7.7,10.8,30.8,87.7,15,005
"Oneida County, Idaho",3.9,37.9,32.0,10.0,8.4,4.8,93.1,16,071
"Gem County, Idaho",8.8,37.4,27.5,5.8,11.6,4.1,86.3,16,045
"Valley County, Idaho",3.4,28.0,23.4,6.7,25.9,8.4,92.4,16,085
"Adams County, Idaho",5.6,37.2,26.5,7.1,13.8,8.1,92.8,16,003
"Woodbury County, Iowa",8.0,33.7,23.0,8.5,13.8,6.5,85.4,19,193
"Jackson County, Iowa",5.7,46.3,19.6,8.9,10.3,4.2,89.2,19,097
"Lee County, Iowa",7.0,41.4,22.5,10.3,10.7,5.1,90.0,19,111
"Warren County, Iowa",3.1,33.6,25.1,9.9,19.5,7.2,95.3,19,181
"Plymouth County, Iowa",3.6,37.5,24.5,9.6,14.9,6.0,92.5,19,149
"Clay County, Iowa",5.0,38.1,22.4,14.1,14.8,3.7,93.1,19,041
"Delaware County, Iowa",4.9,43.6,22.1,9.8,11.4,4.1,91.0,19,055
"Wayne County, Iowa",7.2,44.1,18.9,11.3,10.3,3.8,88.4,19,185
"Scott County, Iowa",5.3,27.6,22.3,10.8,21.1,10.5,92.3,19,163
"Sherman County, Kansas",7.5,33.2,27.4,12.5,11.2,4.5,88.9,20,181
"Thomas County, Kansas",4.5,25.6,26.6,11.5,16.9,11.0,91.6,20,193
"Morris County, Kansas",6.6,39.9,27.0,5.0,8.8,8.6,89.3,20,127
"Rooks County, Kansas",6.4,36.7,26.8,7.2,14.4,6.5,91.5,20,163
"Clark County, Kansas",4.4,27.6,28.6,9.6,20.4,5.9,92.1,20,025
"Harper County, Kansas",8.6,34.2,27.6,8.9,10.5,6.4,87.7,20,077
"Lyon County, Kansas",7.1,33.3,23.6,5.7,15.2,8.9,86.8,20,111
"Pawnee County, Kansas",7.8,31.0,27.4,8.7,13.7,9.2,90.0,20,145
"Comanche County, Kansas",5.3,29.8,32.1,6.4,15.5,8.4,92.1,20,033
"Gove County, Kansas",3.4,38.9,24.8,8.8,16.8,3.5,92.8,20,063
"Harvey County, Kansas",5.6,29.6,26.0,7.4,17.7,8.6,89.3,20,079
"Gray County, Kansas",8.6,29.5,18.3,9.4,16.2,4.0,77.3,20,069
"Chase County, Kansas",6.8,36.9,26.7,3.0,15.9,7.7,90.2,20,017
"Grant County, Kansas",10.3,29.4,21.6,7.3,14.0,3.8,76.0,20,067
"Logan County, Kansas",5.7,36.5,28.6,10.1,12.1,3.5,90.9,20,109
"Pottawatomie County, Kansas",3.8,32.4,24.4,8.6,19.5,9.8,94.6,20,149
"Butler County, Kansas",5.4,27.7,29.4,9.0,18.1,8.6,92.8,20,015
"Saline County, Kansas",7.4,33.2,25.4,6.6,14.9,9.0,89.0,20,169
"Wabaunsee County, Kansas",2.6,41.8,25.4,7.6,15.5,5.1,95.4,20,197
"Fayette County, Georgia",3.8,21.2,22.2,8.2,27.8,14.8,94.3,13,113
"Woodson County, Kansas",7.2,40.8,22.6,9.1,14.7,3.6,90.7,20,207
"Osborne County, Kansas",7.8,37.1,25.2,8.1,13.5,4.5,88.5,20,141
"Finney County, Kansas",11.9,25.0,19.9,7.9,11.5,6.4,70.6,20,055
"Kiowa County, Kansas",7.0,27.2,31.5,12.7,12.2,7.9,91.4,20,097
"Washington County, Kansas",4.8,38.7,24.9,10.7,12.4,3.8,90.3,20,201
"Morton County, Kansas",5.8,33.2,25.7,8.7,14.1,3.4,85.0,20,129
"Barton County, Kansas",8.6,32.1,26.0,9.6,12.9,5.4,86.0,20,009
"Doniphan County, Kansas",7.2,39.4,24.8,8.3,12.4,5.1,90.0,20,043
"Lane County, Kansas",5.7,32.8,26.1,9.4,17.3,5.4,90.9,20,101
"Marion County, Kansas",6.4,36.1,25.6,6.5,13.5,7.3,89.0,20,115
"Brown County, Kansas",6.3,41.4,24.3,7.1,10.8,7.4,90.9,20,013
"Riley County, Kansas",3.2,18.1,25.1,7.1,24.8,20.2,95.4,20,161
"Dickinson County, Kansas",6.5,38.8,25.2,8.2,12.5,6.0,90.8,20,041
"Garrard County, Kentucky",10.1,40.1,18.6,6.7,10.9,4.3,80.5,21,079
"Campbell County, Kentucky",7.8,31.9,20.5,7.7,17.7,10.8,88.5,21,037
"Grant County, Kentucky",11.8,42.4,22.7,6.3,7.6,3.3,82.4,21,081
"Logan County, Kentucky",12.1,39.0,18.0,6.0,8.2,5.1,76.3,21,141
"Mercer County, Kentucky",8.8,37.8,19.1,8.0,10.3,8.6,83.9,21,167
"Jackson County, Illinois",6.0,24.5,22.1,8.0,18.1,17.1,89.7,17,077
"Brown County, Illinois",13.1,36.7,24.2,8.4,9.3,2.9,81.5,17,009
"Marshall County, Illinois",6.1,42.3,22.8,8.7,12.7,4.3,90.8,17,123
"Christian County, Illinois",8.1,43.8,23.5,7.3,9.3,4.2,88.2,17,021
"Union County, Illinois",8.7,32.4,21.7,9.8,12.5,7.6,83.9,17,181
"Saline County, Illinois",9.6,31.8,27.6,10.9,10.2,4.4,84.9,17,165
