"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
5155,10.4,50375,Autauga County,2007,01,001
17500,10.3,49163,Baldwin County,2007,01,003
6442,26.1,30370,Barbour County,2007,01,005
3664,18.2,38907,Bibb County,2007,01,007
7329,13.1,43266,Blount County,2007,01,009
3155,34.0,24969,Bullock County,2007,01,011
4598,23.2,30460,Butler County,2007,01,013
18838,17.1,37478,Calhoun County,2007,01,015
5328,15.6,33904,Chambers County,2007,01,017
4565,18.9,37376,Cherokee County,2007,01,019
6978,16.7,39663,Chilton County,2007,01,021
3047,21.8,31508,Choctaw County,2007,01,023
5688,21.8,32627,Clarke County,2007,01,025
2092,15.5,36009,Clay County,2007,01,027
2248,15.4,38918,Cleburne County,2007,01,029
7559,16.5,36819,Coffee County,2007,01,031
8909,16.5,37530,Colbert County,2007,01,033
3213,24.7,27555,Conecuh County,2007,01,035
1627,15.1,34667,Coosa County,2007,01,037
7078,19.4,32490,Covington County,2007,01,039
2486,18.3,33156,Crenshaw County,2007,01,041
11267,14.2,39194,Cullman County,2007,01,043
7764,16.7,41214,Dale County,2007,01,045
12834,30.2,27647,Dallas County,2007,01,047
12357,18.4,35558,DeKalb County,2007,01,049
8040,11.3,49193,Elmore County,2007,01,051
7909,22.4,34615,Escambia County,2007,01,053
17608,17.4,35420,Etowah County,2007,01,055
2982,17.2,35957,Fayette County,2007,01,057
6040,20.1,30765,Franklin County,2007,01,059
4965,19.5,33734,Geneva County,2007,01,061
2844,31.3,25137,Greene County,2007,01,063
4061,24.0,31481,Hale County,2007,01,065
2931,17.9,35076,Henry County,2007,01,067
15067,15.7,40461,Houston County,2007,01,069
9226,17.6,36178,Jackson County,2007,01,071
97227,15.1,44908,Jefferson County,2007,01,073
2629,18.5,32893,Lamar County,2007,01,075
15580,18.1,37981,Lauderdale County,2007,01,077
5090,15.0,39248,Lawrence County,2007,01,079
21846,17.3,39719,Lee County,2007,01,081
8918,12.6,46753,Limestone County,2007,01,083
3785,30.0,28530,Lowndes County,2007,01,085
5888,29.6,27011,Macon County,2007,01,087
34347,11.3,52870,Madison County,2007,01,089
4206,20.0,32747,Marengo County,2007,01,091
5639,19.7,32752,Marion County,2007,01,093
16919,19.6,36931,Marshall County,2007,01,095
82315,20.8,37575,Mobile County,2007,01,097
5311,23.6,32367,Monroe County,2007,01,099
38724,18.1,41199,Montgomery County,2007,01,101
16111,14.2,43619,Morgan County,2007,01,103
3297,32.7,24132,Perry County,2007,01,105
4309,22.2,31497,Pickens County,2007,01,107
7772,27.0,25817,Pike County,2007,01,109
4542,20.9,34352,Randolph County,2007,01,111
10446,21.2,33546,Russell County,2007,01,113
8773,11.6,50046,St. Clair County,2007,01,115
12367,6.9,67031,Shelby County,2007,01,117
4532,35.0,23439,Sumter County,2007,01,119
13787,18.0,38644,Talladega County,2007,01,121
6746,17.1,35801,Tallapoosa County,2007,01,123
31208,18.6,41543,Tuscaloosa County,2007,01,125
12953,19.1,35497,Walker County,2007,01,127
3200,18.7,35810,Washington County,2007,01,129
4507,35.7,21325,Wilcox County,2007,01,131
3830,16.0,32986,Winston County,2007,01,133
450,16.9,56111,Aleutians East Borough,2007,02,013
487,10.2,61536,Aleutians West Census Area,2007,02,016
21634,8.0,67856,Anchorage Borough,2007,02,020
3609,21.4,39519,Bethel Census Area,2007,02,050
85,8.5,62945,Bristol Bay Borough,2007,02,060
117,6.4,64565,Denali Borough,2007,02,068
1064,21.5,49319,Dillingham Census Area,2007,02,070
7257,7.8,62155,Fairbanks North Star Borough,2007,02,090
261,11.4,47005,Haines Borough,2007,02,100
2151,7.1,75302,Juneau Borough,2007,02,110
5348,10.3,56648,Kenai Peninsula Borough,2007,02,122
1138,8.8,57202,Ketchikan Gateway Borough,2007,02,130
964,7.5,59010,Kodiak Island Borough,2007,02,150
290,18.9,40574,Lake and Peninsula Borough,2007,02,164
7731,9.5,64969,Matanuska-Susitna Borough,2007,02,170
2117,23.1,46942,Nome Census Area,2007,02,180
896,13.8,68589,North Slope Borough,2007,02,185
1572,21.2,50168,Northwest Arctic Borough,2007,02,188
987,17.9,42798,Prince of Wales-Outer Ketchikan Census Area,2007,02,201
730,8.4,58958,Sitka Borough,2007,02,220
423,13.9,44506,Skagway-Hoonah-Angoon Census Area,2007,02,232
914,13.5,52330,Southeast Fairbanks Census Area,2007,02,240
897,9.5,55428,Valdez-Cordova Census Area,2007,02,261
2073,27.3,30335,Wade Hampton Census Area,2007,02,270
592,9.9,53048,Wrangell-Petersburg Census Area,2007,02,280
102,15.1,49330,Yakutat Borough,2007,02,282
1377,23.7,32097,Yukon-Koyukuk Census Area,2007,02,290
22962,33.4,29976,Apache County,2007,04,001
19910,16.3,42995,Cochise County,2007,04,003
20087,16.2,48549,Coconino County,2007,04,005
9256,18.2,34761,Gila County,2007,04,007
7038,22.4,38798,Graham County,2007,04,009
862,11.2,50195,Greenlee County,2007,04,011
4720,23.8,29912,La Paz County,2007,04,012
495505,12.9,54733,Maricopa County,2007,04,013
26090,13.5,39669,Mohave County,2007,04,015
25481,23.4,38871,Navajo County,2007,04,017
140880,14.9,43721,Pima County,2007,04,019
35512,12.5,49906,Pinal County,2007,04,021
8578,20.1,35661,Santa Cruz County,2007,04,023
26335,12.6,44268,Yavapai County,2007,04,025
32904,17.8,39781,Yuma County,2007,04,027
3402,17.9,37344,Arkansas County,2007,05,001
4562,20.7,35263,Ashley County,2007,05,003
5129,12.4,35845,Baxter County,2007,05,005
22596,11.3,49064,Benton County,2007,05,007
6093,16.9,36704,Boone County,2007,05,009
2824,24.4,30150,Bradley County,2007,05,011
955,17.7,34847,Calhoun County,2007,05,013
4781,17.6,32060,Carroll County,2007,05,015
3744,32.4,24921,Chicot County,2007,05,017
4787,22.3,33887,Clark County,2007,05,019
2934,18.4,29131,Clay County,2007,05,021
4123,16.4,37277,Cleburne County,2007,05,023
1432,16.4,37648,Cleveland County,2007,05,025
5425,23.5,36981,Columbia County,2007,05,027
3826,18.7,36786,Conway County,2007,05,029
14425,16.3,39808,Craighead County,2007,05,031
10742,18.4,37353,Crawford County,2007,05,033
13223,25.7,35894,Crittenden County,2007,05,035
3798,20.7,33176,Cross County,2007,05,037
1659,21.2,31657,Dallas County,2007,05,039
3622,26.6,28119,Desha County,2007,05,041
4073,22.6,33810,Drew County,2007,05,043
14734,14.9,45370,Faulkner County,2007,05,045
3576,20.0,36367,Franklin County,2007,05,047
2357,20.3,30261,Fulton County,2007,05,049
17122,18.1,36299,Garland County,2007,05,051
1820,10.6,46977,Grant County,2007,05,053
6440,16.2,37724,Greene County,2007,05,055
4912,21.5,33686,Hempstead County,2007,05,057
4523,14.8,37704,Hot Spring County,2007,05,059
2505,18.4,32979,Howard County,2007,05,061
5096,15.1,36984,Independence County,2007,05,063
2598,21.3,31231,Izard County,2007,05,065
3594,23.8,29351,Jackson County,2007,05,067
18413,25.0,36293,Jefferson County,2007,05,069
3978,16.5,31586,Johnson County,2007,05,071
1875,24.6,28727,Lafayette County,2007,05,073
3654,22.5,31286,Lawrence County,2007,05,075
2882,31.8,24195,Lee County,2007,05,077
2721,26.8,30926,Lincoln County,2007,05,079
2435,19.3,33342,Little River County,2007,05,081
3891,17.6,34261,Logan County,2007,05,083
7019,11.2,47810,Lonoke County,2007,05,085
2613,17.1,34877,Madison County,2007,05,087
2804,17.1,31064,Marion County,2007,05,089
7780,18.7,37106,Miller County,2007,05,091
12895,28.2,31613,Mississippi County,2007,05,093
2322,27.2,27141,Monroe County,2007,05,095
1607,18.0,34925,Montgomery County,2007,05,097
1923,21.0,32306,Nevada County,2007,05,099
1794,21.7,28819,Newton County,2007,05,101
5904,22.9,33418,Ouachita County,2007,05,103
1658,16.2,37491,Perry County,2007,05,105
8078,37.2,26261,Phillips County,2007,05,107
1863,17.6,33892,Pike County,2007,05,109
6157,25.3,30581,Poinsett County,2007,05,111
3861,19.4,30935,Polk County,2007,05,113
9145,16.3,38770,Pope County,2007,05,115
1410,16.4,34975,Prairie County,2007,05,117
56915,15.5,44909,Pulaski County,2007,05,119
3083,17.4,32600,Randolph County,2007,05,121
7890,32.6,28318,St. Francis County,2007,05,123
10134,10.7,50849,Saline County,2007,05,125
2501,22.5,33884,Scott County,2007,05,127
1919,23.9,24515,Searcy County,2007,05,129
19183,16.1,40545,Sebastian County,2007,05,131
2957,18.4,33281,Sevier County,2007,05,133
4067,23.1,27176,Sharp County,2007,05,135
2487,21.1,27287,Stone County,2007,05,137
8046,19.0,37120,Union County,2007,05,139
2773,17.1,31924,Van Buren County,2007,05,141
28780,15.4,42909,Washington County,2007,05,143
