County,Unemployment Rate Percentage,State ID,County ID
"Benton County, Tennessee",9.1,47,005
"Warren County, Tennessee",6.8,47,177
"Washington County, Tennessee",5.3,47,179
"Weakley County, Tennessee",8.3,47,183
"Bledsoe County, Tennessee",8.4,47,007
"Campbell County, Tennessee",8.0,47,013
"Cannon County, Tennessee",6.6,47,015
"Houston County, Tennessee",6.6,47,083
"Maury County, Tennessee",6.2,47,119
"Polk County, Texas",8.5,48,373
"Refugio County, Texas",7.9,48,391
"Van Zandt County, Texas",5.9,48,467
"Caldwell County, Texas",3.4,48,055
"Wilbarger County, Texas",5.8,48,487
"Martin County, Texas",1.9,48,317
"Reagan County, Texas",3.9,48,383
"Yoakum County, Texas",7.5,48,501
"Hale County, Texas",6.4,48,189
"Shelby County, Texas",7.4,48,419
"Red River County, Texas",9.0,48,387
"Runnels County, Texas",3.2,48,399
"San Jacinto County, Texas",6.5,48,407
"Sutton County, Texas",5.9,48,435
"Tom Green County, Texas",3.8,48,451
"Upshur County, Texas",8.3,48,459
"Victoria County, Texas",5.1,48,469
"Waller County, Texas",7.8,48,473
"Wharton County, Texas",5.3,48,481
"Wichita County, Texas",4.8,48,485
"Wilson County, Texas",6.0,48,493
"Borden County, Texas",1.5,48,033
"Hockley County, Texas",7.4,48,219
"Marion County, Texas",10.7,48,315
"Maverick County, Texas",12.9,48,323
"Midland County, Texas",3.5,48,329
"Grayson County, Texas",6.5,48,181
"Live Oak County, Texas",3.8,48,297
"Llano County, Texas",8.3,48,299
"Palo Pinto County, Texas",7.9,48,363
"Fannin County, Texas",5.2,48,147
"Karnes County, Texas",4.1,48,255
"DeWitt County, Texas",6.5,48,123
"Brazos County, Texas",4.7,48,041
"Callahan County, Texas",3.5,48,059
"Cass County, Texas",7.3,48,067
"Gaines County, Texas",4.5,48,165
"Gregg County, Texas",4.8,48,183
"Gray County, Texas",4.9,48,179
"Madison County, Texas",3.1,48,313
"Lubbock County, Texas",4.8,48,303
"Jack County, Texas",3.6,48,237
"Kaufman County, Texas",6.5,48,257
"Kendall County, Texas",4.4,48,259
"Bosque County, Texas",5.2,48,035
"Floyd County, Texas",6.4,48,153
"Bexar County, Texas",6.1,48,029
"Bailey County, Texas",2.2,48,017
"Chambers County, Texas",6.5,48,071
"Baylor County, Texas",2.3,48,023
"Bell County, Texas",8.3,48,027
"Cameron County, Texas",8.0,48,061
"Denton County, Texas",4.5,48,121
"Deaf Smith County, Texas",5.0,48,117
"Galveston County, Texas",6.5,48,167
"El Paso County, Texas",7.0,48,141
"La Salle County, Texas",5.4,48,283
"Roberts County, Texas",2.4,48,393
"Terrell County, Texas",6.8,48,443
"Tyler County, Texas",9.5,48,457
"Uvalde County, Texas",5.9,48,463
"Wheeler County, Texas",5.6,48,483
"Bowie County, Texas",7.3,48,037
"Archer County, Texas",3.0,48,009
"Brewster County, Texas",7.1,48,043
"Kent County, Texas",1.6,48,263
"Hidalgo County, Texas",8.1,48,215
"Smith County, Texas",6.5,48,423
"Somervell County, Texas",2.8,48,425
"Crockett County, Texas",2.4,48,105
"Hardin County, Texas",4.4,48,199
"Haskell County, Texas",9.5,48,207
"Howard County, Texas",6.7,48,227
"Leon County, Texas",7.1,48,289
"Mills County, Texas",2.9,48,333
"Montague County, Texas",6.6,48,337
"Newton County, Texas",11.6,48,351
"Panola County, Texas",3.8,48,365
"Reeves County, Texas",8.0,48,389
"Sabine County, Texas",7.1,48,403
"Sherman County, Texas",1.5,48,421
"Monroe County, Alabama",21.6,01,099
"Lawrence County, Alabama",7.2,01,079
"Lee County, Alabama",5.7,01,081
"Marion County, Alabama",5.5,01,093
"Pickens County, Alabama",12.2,01,107
"Sumter County, Alabama",13.4,01,119
"Jefferson County, Alabama",7.7,01,073
"Choctaw County, Alabama",9.8,01,023
"Franklin County, Alabama",8.2,01,059
"Marengo County, Alabama",12.8,01,091
"Russell County, Alabama",9.7,01,113
"Cherokee County, Alabama",5.3,01,019
"Covington County, Alabama",10.7,01,039
"Crenshaw County, Alabama",6.4,01,041
"Dallas County, Alabama",13.7,01,047
"Lauderdale County, Alabama",6.6,01,077
"Lowndes County, Alabama",11.2,01,085
"Macon County, Alabama",14.5,01,087
"Limestone County, Alabama",7.1,01,083
"Shelby County, Alabama",4.3,01,117
"St. Clair County, Alabama",5.8,01,115
"Winston County, Alabama",9.4,01,133
"Baldwin County, Alabama",5.5,01,003
"Cullman County, Alabama",5.8,01,043
"Elmore County, Alabama",7.3,01,051
"Houston County, Alabama",7.6,01,069
"Jackson County, Alabama",7.7,01,071
"Talladega County, Alabama",10.0,01,121
"Tuscaloosa County, Alabama",6.7,01,125
"Washington County, Alabama",11.0,01,129
"Clay County, Alabama",6.4,01,027
"Coffee County, Alabama",6.0,01,031
"Morgan County, Alabama",6.5,01,103
"Pike County, Alabama",8.7,01,109
"Chilton County, Alabama",6.7,01,021
"Colbert County, Alabama",6.9,01,033
"Sherburne County, Minnesota",3.6,27,141
"Wadena County, Minnesota",5.8,27,159
"Benton County, Minnesota",4.2,27,009
"Carver County, Minnesota",2.4,27,019
"Freeborn County, Minnesota",4.1,27,047
"Itasca County, Minnesota",5.7,27,061
"McLeod County, Minnesota",3.0,27,085
"Pope County, Minnesota",3.0,27,121
"Ramsey County, Minnesota",5.5,27,123
"Stevens County, Minnesota",2.6,27,149
"Swift County, Minnesota",3.3,27,151
"Winona County, Minnesota",5.1,27,169
"Cottonwood County, Minnesota",5.1,27,033
"Scott County, Minnesota",3.5,27,139
"Dodge County, Minnesota",2.9,27,039
"Wabasha County, Minnesota",3.2,27,157
"Pipestone County, Minnesota",4.2,27,117
"Crow Wing County, Minnesota",3.5,27,035
"Norman County, Minnesota",3.3,27,107
"Wright County, Minnesota",3.6,27,171
"Nicollet County, Minnesota",3.8,27,103
"Douglas County, Minnesota",3.1,27,041
"Grant County, Minnesota",4.8,27,051
"Kittson County, Minnesota",2.6,27,069
"Le Sueur County, Minnesota",3.9,27,079
"Mahnomen County, Minnesota",9.2,27,087
"Chisago County, Minnesota",4.2,27,025
"Redwood County, Minnesota",3.0,27,127
"Yellow Medicine County, Minnesota",2.7,27,173
"Todd County, Minnesota",3.8,27,153
"Beltrami County, Minnesota",8.7,27,007
"Blue Earth County, Minnesota",4.5,27,013
"Houston County, Minnesota",3.1,27,055
"Lac qui Parle County, Minnesota",3.1,27,073
"Lake of the Woods County, Minnesota",3.8,27,077
"Otter Tail County, Minnesota",3.6,27,111
"Waseca County, Minnesota",3.2,27,161
"St. Louis County, Minnesota",5.1,27,137
"Anoka County, Minnesota",4.2,27,003
"Stearns County, Minnesota",4.5,27,145
"Dakota County, Minnesota",4.0,27,037
"Lincoln County, Minnesota",3.0,27,081
"Lyon County, Minnesota",3.6,27,083
"Marshall County, Minnesota",3.2,27,089
"Mille Lacs County, Minnesota",6.6,27,095
"Renville County, Minnesota",2.7,27,129
"Washington County, Minnesota",3.5,27,163
"Carlton County, Minnesota",3.9,27,017
"Cook County, Minnesota",2.6,27,031
"Kanabec County, Minnesota",5.2,27,065
"Hansford County, Texas",3.8,48,195
"Swisher County, Texas",5.9,48,437
"Hunt County, Texas",6.5,48,231
"Camp County, Texas",6.1,48,063
"Guadalupe County, Texas",4.5,48,187
"Clay County, Texas",7.2,48,077
"Hartley County, Texas",1.2,48,205
"Hill County, Texas",8.1,48,217
"Limestone County, Texas",10.3,48,293
"Nacogdoches County, Texas",8.6,48,347
"Parmer County, Texas",2.8,48,369
"Parker County, Texas",5.5,48,367
"Presidio County, Texas",9.8,48,377
"Val Verde County, Texas",6.6,48,465
"Culberson County, Texas",5.3,48,109
"Ector County, Texas",6.9,48,135
"Garza County, Texas",2.0,48,169
"Glasscock County, Texas",0.0,48,173
"Grimes County, Texas",5.5,48,185
"Travis County, Texas",4.5,48,453
"Collin County, Texas",4.3,48,085
"Angelina County, Texas",7.6,48,005
"Collingsworth County, Texas",7.1,48,087
"Cottle County, Texas",10.7,48,101
"Hays County, Texas",5.3,48,209
"Erath County, Texas",4.3,48,143
"Brazoria County, Texas",4.9,48,039
"Motley County, Texas",8.1,48,345
"Donley County, Texas",4.6,48,129
"Atascosa County, Texas",6.1,48,013
"Coleman County, Texas",5.1,48,083
"Nolan County, Texas",7.1,48,353
"Hudspeth County, Texas",5.7,48,229
"Medina County, Texas",5.3,48,325
"Ward County, Texas",6.1,48,475
"Henderson County, Texas",6.2,48,213
"Harrison County, Texas",7.2,48,203
"Menard County, Texas",5.1,48,327
"Lamar County, Texas",5.6,48,277
"Fayette County, Texas",1.5,48,149
"Williamson County, Texas",4.8,48,491
"Kimble County, Texas",6.4,48,267
"Hutchinson County, Texas",5.2,48,233
"Washington County, Texas",6.2,48,477
"Morris County, Texas",9.9,48,343
"Orange County, Texas",6.0,48,361
"Stephens County, Texas",4.7,48,429
"Winkler County, Texas",4.1,48,495
"Harris County, Texas",6.4,48,201
"Andrews County, Texas",4.5,48,003
"Burnet County, Texas",4.3,48,053
"Gillespie County, Texas",5.0,48,171
"Gonzales County, Texas",5.1,48,177
"Dallas County, Texas",5.9,48,113
"Lynn County, Texas",8.1,48,305
"McMullen County, Texas",26.3,48,311
"Young County, Texas",4.5,48,503
"Zapata County, Texas",12.4,48,505
"Johnson County, Texas",4.9,48,251
"Hood County, Texas",3.0,48,221
"Hopkins County, Texas",5.9,48,223
"Ochiltree County, Texas",7.6,48,357
"King County, Texas",6.0,48,269
"Knox County, Texas",5.1,48,275
"McLennan County, Texas",5.1,48,309
"Cherokee County, Texas",6.1,48,073
"Concho County, Texas",0.4,48,095
"Delta County, Texas",6.4,48,119
"Edwards County, Texas",5.1,48,137
"Eastland County, Texas",5.7,48,133
"Jones County, Texas",4.2,48,253
"Jeff Davis County, Texas",5.1,48,243
"Jim Hogg County, Texas",17.0,48,247
"Jim Wells County, Texas",5.3,48,249
"Montgomery County, Texas",4.9,48,339
"Dallam County, Texas",3.7,48,111
"Dimmit County, Texas",15.0,48,127
"Webb County, Texas",5.7,48,479
"Fort Bend County, Texas",5.3,48,157
"Armstrong County, Texas",1.8,48,011
"Castro County, Texas",4.2,48,069
"Irion County, Texas",6.9,48,235
"Kleberg County, Texas",9.7,48,273
"Willacy County, Texas",14.5,48,489
"Cooke County, Texas",5.2,48,097
"Crosby County, Texas",7.7,48,107
"Dawson County, Texas",6.7,48,115
"Fisher County, Texas",5.6,48,151
"Duval County, Texas",13.6,48,131
"Burleson County, Texas",6.7,48,051
"Blanco County, Texas",5.7,48,031
"Dale County, Alabama",10.4,01,045
"Hale County, Alabama",11.7,01,065
"Etowah County, Alabama",7.6,01,055
"DeKalb County, Alabama",5.1,01,049
"Escambia County, Alabama",13.7,01,053
"Lamar County, Alabama",7.9,01,075
"Randolph County, Alabama",5.8,01,111
"Butler County, Alabama",7.6,01,013
"Mobile County, Alabama",7.5,01,097
"Perry County, Alabama",11.8,01,105
"Walker County, Alabama",10.0,01,127
"Cleburne County, Alabama",7.8,01,029
"Conecuh County, Alabama",14.5,01,035
"Greene County, Alabama",14.8,01,063
"Barbour County, Alabama",12.4,01,005
"Bibb County, Alabama",8.2,01,007
"Bullock County, Alabama",12.1,01,011
"Calhoun County, Alabama",10.1,01,015
"Chambers County, Alabama",6.4,01,017
"Clarke County, Alabama",15.2,01,025
"Fayette County, Alabama",8.4,01,057
"Montgomery County, Alabama",7.6,01,101
"Marshall County, Alabama",6.5,01,095
"Blount County, Alabama",4.9,01,009
"Henry County, Alabama",6.7,01,067
"Madison County, Alabama",6.5,01,089
"Autauga County, Alabama",5.2,01,001
"Tallapoosa County, Alabama",9.2,01,123
"Geneva County, Alabama",8.9,01,061
"Wilcox County, Alabama",17.2,01,131
"Aleutians West Census Area, Alaska",1.9,02,016
"Bristol Bay Borough, Alaska",6.8,02,060
"Kodiak Island Borough, Alaska",5.3,02,150
"Northwest Arctic Borough, Alaska",20.1,02,188
"Bethel Census Area, Alaska",19.3,02,050
"North Slope Borough, Alaska",9.5,02,185
"Sitka City and Borough, Alaska",5.0,02,220
"Fairbanks North Star Borough, Alaska",8.0,02,090
"Ketchikan Gateway Borough, Alaska",7.0,02,130
"Matanuska-Susitna Borough, Alaska",9.8,02,170
"Nome Census Area, Alaska",16.6,02,180
"Dillingham Census Area, Alaska",11.4,02,070
"Haines Borough, Alaska",2.7,02,100
"Yakutat City and Borough, Alaska",6.5,02,282
"Juneau City and Borough, Alaska",4.8,02,110
"Lake and Peninsula Borough, Alaska",13.2,02,164
"Southeast Fairbanks Census Area, Alaska",12.5,02,240
"Yukon-Koyukuk Census Area, Alaska",19.7,02,290
"Anchorage Municipality, Alaska",5.8,02,020
"Aleutians East Borough, Alaska",2.4,02,013
"Denali Borough, Alaska",1.9,02,068
"Valdez-Cordova Census Area, Alaska",7.5,02,261
"Coosa County, Alabama",11.3,01,037
"Kenai Peninsula Borough, Alaska",8.6,02,122
"Hoonah-Angoon Census Area, Alaska",11.7,02,105
"Skagway Municipality, Alaska",7.9,02,230
"Prince of Wales-Hyder Census Area, Alaska",13.5,02,198
"Wrangell City and Borough, Alaska",7.0,02,275
"Petersburg Borough, Alaska",4.8,02,195
"Kusilvak Census Area, Alaska",28.8,02,158
"Pima County, Arizona",8.4,04,019
"Maricopa County, Arizona",6.0,04,013
"Gila County, Arizona",11.7,04,007
"Graham County, Arizona",12.2,04,009
"Santa Cruz County, Arizona",8.7,04,023
"Cochise County, Arizona",7.6,04,003
"La Paz County, Arizona",9.5,04,012
"Mohave County, Arizona",10.1,04,015
"Apache County, Arizona",14.1,04,001
"Coconino County, Arizona",8.3,04,005
"Yavapai County, Arizona",7.3,04,025
"Yuma County, Arizona",10.9,04,027
"Greenlee County, Arizona",7.6,04,011
"Navajo County, Arizona",16.3,04,017
"Pinal County, Arizona",7.8,04,021
"Nevada County, Arkansas",4.8,05,099
"Clay County, Arkansas",5.3,05,021
