"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
5366,10.7,51622,Autauga County,2008,01,001
17110,9.9,51957,Baldwin County,2008,01,003
6399,24.5,30896,Barbour County,2008,01,005
3753,18.5,41076,Bibb County,2008,01,007
7461,13.1,46086,Blount County,2008,01,009
3074,33.6,26980,Bullock County,2008,01,011
4415,22.3,31449,Butler County,2008,01,013
19441,17.6,39997,Calhoun County,2008,01,015
6320,18.7,35614,Chambers County,2008,01,017
4264,17.7,38028,Cherokee County,2008,01,019
7162,17.1,40292,Chilton County,2008,01,021
3177,22.9,30728,Choctaw County,2008,01,023
5334,20.6,34101,Clarke County,2008,01,025
2288,16.9,33032,Clay County,2008,01,027
2167,14.8,37742,Cleburne County,2008,01,029
7139,15.2,43145,Coffee County,2008,01,031
6861,12.7,39947,Colbert County,2008,01,033
3223,24.9,27068,Conecuh County,2008,01,035
1677,15.7,36050,Coosa County,2008,01,037
6852,18.9,33773,Covington County,2008,01,039
2569,18.9,34402,Crenshaw County,2008,01,041
11909,14.8,39276,Cullman County,2008,01,043
6966,15.0,42867,Dale County,2008,01,045
12678,29.9,27992,Dallas County,2008,01,047
12690,18.7,35377,DeKalb County,2008,01,049
8171,11.4,53296,Elmore County,2008,01,051
8490,24.1,32009,Escambia County,2008,01,053
16923,16.7,37264,Etowah County,2008,01,055
3430,19.8,34092,Fayette County,2008,01,057
5918,19.5,35248,Franklin County,2008,01,059
4544,17.8,32027,Geneva County,2008,01,061
2751,30.3,26001,Greene County,2008,01,063
4417,26.0,31091,Hale County,2008,01,065
3056,18.6,36453,Henry County,2008,01,067
14641,15.1,42523,Houston County,2008,01,069
8895,16.9,36597,Jackson County,2008,01,071
88637,13.8,46269,Jefferson County,2008,01,073
2564,18.2,32424,Lamar County,2008,01,075
14789,17.0,38592,Lauderdale County,2008,01,077
5068,15.0,40655,Lawrence County,2008,01,079
19990,15.5,41770,Lee County,2008,01,081
8878,12.1,46151,Limestone County,2008,01,083
3204,25.4,30225,Lowndes County,2008,01,085
6063,30.5,27314,Macon County,2008,01,087
35200,11.3,55324,Madison County,2008,01,089
4712,22.6,32381,Marengo County,2008,01,091
5581,19.6,31602,Marion County,2008,01,093
15736,18.0,36981,Marshall County,2008,01,095
74067,18.6,40951,Mobile County,2008,01,097
4855,21.8,34072,Monroe County,2008,01,099
37511,17.6,43297,Montgomery County,2008,01,101
14284,12.5,46284,Morgan County,2008,01,103
3165,31.7,26513,Perry County,2008,01,105
4932,25.6,31053,Pickens County,2008,01,107
6489,22.5,32284,Pike County,2008,01,109
3807,17.3,34185,Randolph County,2008,01,111
11599,23.3,28855,Russell County,2008,01,113
9745,12.6,48804,St. Clair County,2008,01,115
10728,5.8,71785,Shelby County,2008,01,117
4249,32.9,24221,Sumter County,2008,01,119
14305,18.7,35487,Talladega County,2008,01,121
7706,19.5,35293,Tallapoosa County,2008,01,123
29379,17.3,43744,Tuscaloosa County,2008,01,125
11839,17.4,36221,Walker County,2008,01,127
3113,18.2,37076,Washington County,2008,01,129
3815,30.2,23090,Wilcox County,2008,01,131
4337,18.3,32018,Winston County,2008,01,133
429,15.3,52786,Aleutians East Borough,2008,02,013
404,9.0,62849,Aleutians West Census Area,2008,02,016
19638,7.2,74396,Anchorage Borough,2008,02,020
3630,21.5,41755,Bethel Census Area,2008,02,050
74,7.8,67214,Bristol Bay Borough,2008,02,060
100,5.4,70720,Denali Borough,2008,02,068
960,19.6,50827,Dillingham Census Area,2008,02,070
7004,7.5,65473,Fairbanks North Star Borough,2008,02,090
235,10.4,48299,Haines Borough,2008,02,100
344,15.9,44050,Hoonah-Angoon Census Area,2008,02,105
2047,6.7,71313,Juneau Borough,2008,02,110
5380,10.3,54206,Kenai Peninsula Borough,2008,02,122
1129,8.7,58689,Ketchikan Gateway Borough,2008,02,130
1034,8.0,61525,Kodiak Island Borough,2008,02,150
254,17.2,43687,Lake and Peninsula Borough,2008,02,164
7808,9.3,71575,Matanuska-Susitna Borough,2008,02,170
1898,20.9,46892,Nome Census Area,2008,02,180
743,11.4,72499,North Slope Borough,2008,02,185
1225,16.5,57721,Northwest Arctic Borough,2008,02,188
839,15.2,44491,Prince of Wales-Outer Ketchikan Census Area,2008,02,201
677,7.8,61436,Sitka Borough,2008,02,220
31,3.5,61029,Skagway Municipality,2008,02,230
887,13.3,59124,Southeast Fairbanks Census Area,2008,02,240
790,8.5,58946,Valdez-Cordova Census Area,2008,02,261
2244,29.2,33033,Wade Hampton Census Area,2008,02,270
573,9.8,54274,Wrangell-Petersburg Census Area,2008,02,280
86,13.3,54401,Yakutat Borough,2008,02,282
1410,24.9,33900,Yukon-Koyukuk Census Area,2008,02,290
22913,33.2,31728,Apache County,2008,04,001
19628,16.0,44000,Cochise County,2008,04,003
20099,16.0,47933,Coconino County,2008,04,005
8224,16.1,38405,Gila County,2008,04,007
7084,21.4,40902,Graham County,2008,04,009
898,11.3,53654,Greenlee County,2008,04,011
5162,26.1,32973,La Paz County,2008,04,012
521208,13.4,56511,Maricopa County,2008,04,013
