County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Jefferson County, Idaho",11.2,28.7,27.2,10.9,12.0,4.5,(X),16,051
"Jerome County, Idaho",14.2,30.3,25.7,6.1,8.7,3.1,(X),16,053
"Kootenai County, Idaho",7.1,30.3,28.2,10.4,15.7,6.2,(X),16,055
"Latah County, Idaho",5.2,23.5,20.7,6.2,23.5,18.6,(X),16,057
"Lemhi County, Idaho",5.3,29.9,28.2,10.5,14.3,9.5,(X),16,059
"Lewis County, Idaho",6.4,39.7,26.4,11.1,11.0,3.1,(X),16,061
"Lincoln County, Idaho",11.8,35.2,25.3,5.8,8.1,4.2,(X),16,063
"Madison County, Idaho",3.3,19.1,28.2,15.7,19.5,11.6,(X),16,065
"Minidoka County, Idaho",10.2,32.8,24.1,8.7,7.0,3.6,(X),16,067
"Nez Perce County, Idaho",8.3,34.6,25.4,9.6,13.5,5.3,(X),16,069
"Oneida County, Idaho",5.2,34.6,29.2,11.2,10.8,5.3,(X),16,071
"Owyhee County, Idaho",11.1,34.3,21.6,7.7,9.0,1.6,(X),16,073
"Payette County, Idaho",11.8,37.0,23.1,7.5,9.7,4.8,(X),16,075
"Power County, Idaho",9.5,27.9,23.9,7.6,14.7,5.7,(X),16,077
"Shoshone County, Idaho",14.3,36.4,25.6,7.1,7.9,4.0,(X),16,079
"Teton County, Idaho",6.5,23.1,26.6,9.4,21.5,6.4,(X),16,081
"Twin Falls County, Idaho",10.1,29.9,26.9,10.1,11.5,5.1,(X),16,083
"Valley County, Idaho",5.2,31.3,23.1,5.6,21.1,10.5,(X),16,085
"Washington County, Idaho",11.1,32.3,26.1,4.2,12.6,4.8,(X),16,087
"Adams County, Illinois",7.2,39.2,21.5,7.0,14.6,6.7,(X),17,001
"Alexander County, Illinois",13.7,38.5,21.2,7.4,7.5,2.3,(X),17,003
"Bond County, Illinois",9.0,36.4,18.2,7.8,14.5,9.2,(X),17,005
"Boone County, Illinois",8.4,40.0,20.2,6.3,12.9,6.3,(X),17,007
"Brown County, Illinois",17.9,36.4,20.3,7.6,7.5,4.2,(X),17,009
"Bureau County, Illinois",7.8,41.5,21.5,9.0,10.2,5.7,(X),17,011
"Calhoun County, Illinois",7.1,44.1,18.8,8.7,7.8,5.5,(X),17,013
"Carroll County, Illinois",8.7,41.8,22.6,6.4,10.2,5.6,(X),17,015
"Cass County, Illinois",8.0,45.4,19.8,4.1,8.9,3.7,(X),17,017
"Champaign County, Illinois",5.2,24.5,19.4,7.8,20.3,20.1,(X),17,019
"Christian County, Illinois",11.1,41.9,21.4,7.3,9.3,4.0,(X),17,021
"Clark County, Illinois",7.8,40.2,21.1,11.3,9.4,5.0,(X),17,023
"Clay County, Illinois",8.3,42.0,17.3,10.5,9.7,5.9,(X),17,025
"Clinton County, Illinois",6.7,31.0,23.8,12.3,11.6,5.9,(X),17,027
"Coles County, Illinois",7.2,36.1,22.8,8.3,12.2,9.4,(X),17,029
"Cook County, Illinois",8.9,24.9,18.9,6.2,19.8,12.9,(X),17,031
"Crawford County, Illinois",7.9,37.6,23.3,11.9,10.0,3.7,(X),17,033
"Cumberland County, Illinois",6.4,41.7,20.9,11.9,7.7,5.4,(X),17,035
"DeKalb County, Illinois",6.5,30.6,23.7,8.2,16.7,10.8,(X),17,037
"De Witt County, Illinois",8.5,45.1,21.9,5.0,13.7,3.7,(X),17,039
"Douglas County, Illinois",8.2,37.5,22.4,6.7,10.9,5.2,(X),17,041
"DuPage County, Illinois",4.5,20.7,19.8,6.9,27.5,16.9,(X),17,043
"Edgar County, Illinois",8.3,42.0,20.2,8.4,12.3,5.1,(X),17,045
"Edwards County, Illinois",7.8,36.6,23.2,16.0,7.1,5.8,(X),17,047
"Effingham County, Illinois",5.9,37.6,19.4,11.9,14.2,5.2,(X),17,049
"Fayette County, Illinois",10.1,42.7,18.7,8.1,7.9,5.0,(X),17,051
"Ford County, Illinois",8.3,42.2,18.9,8.1,13.4,4.5,(X),17,053
"Franklin County, Illinois",10.5,34.9,25.5,10.0,9.2,4.2,(X),17,055
"Fulton County, Illinois",12.3,38.0,22.7,8.7,9.2,4.1,(X),17,057
"Gallatin County, Illinois",13.4,39.6,22.4,7.4,6.2,3.5,(X),17,059
"Greene County, Illinois",10.7,43.6,19.7,7.2,8.6,4.7,(X),17,061
"Grundy County, Illinois",6.7,36.1,26.3,10.6,12.3,5.3,(X),17,063
"Hamilton County, Illinois",10.1,36.8,20.9,11.0,6.1,3.9,(X),17,065
"Hancock County, Illinois",7.8,39.7,21.8,7.5,13.3,6.1,(X),17,067
"Hardin County, Illinois",11.1,31.2,25.6,10.3,8.1,2.3,(X),17,069
"Henderson County, Illinois",10.6,45.1,18.4,9.2,9.1,3.6,(X),17,071
"Henry County, Illinois",9.3,34.8,23.7,8.5,13.4,7.0,(X),17,073
