County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Irwin County, Georgia",19.5,37.2,16.8,7.1,4.1,5.2,70.3,13,155
"Jackson County, Georgia",13.0,36.6,18.2,6.4,10.1,7.6,78.9,13,157
"Jasper County, Georgia",15.9,40.8,18.4,5.8,7.6,5.6,78.3,13,159
"Jeff Davis County, Georgia",14.6,44.2,14.0,5.5,7.9,3.6,75.2,13,161
"Jefferson County, Georgia",16.6,44.0,15.7,4.2,6.2,2.5,72.6,13,163
"Jenkins County, Georgia",16.9,38.8,10.8,8.2,7.9,4.9,70.6,13,165
"Johnson County, Georgia",23.8,36.3,14.3,6.0,6.1,2.9,65.5,13,167
"Jones County, Georgia",9.3,38.4,21.9,7.8,11.3,5.9,85.4,13,169
"Lamar County, Georgia",16.4,42.0,19.5,5.0,5.9,3.8,76.2,13,171
"Lanier County, Georgia",16.7,37.8,20.7,9.0,5.5,3.9,76.8,13,173
"Laurens County, Georgia",13.4,42.0,15.8,5.9,9.3,6.6,79.6,13,175
"Lee County, Georgia",12.3,31.6,25.2,7.4,10.4,8.8,83.4,13,177
"Liberty County, Georgia",8.5,34.6,26.8,11.0,10.8,5.5,88.7,13,179
"Lincoln County, Georgia",12.9,42.3,18.4,7.0,6.4,3.3,77.4,13,181
"Long County, Georgia",17.1,40.0,25.6,4.0,7.6,1.5,78.7,13,183
"Lowndes County, Georgia",11.4,31.6,21.7,7.3,14.0,8.3,82.9,13,185
"Lumpkin County, Georgia",10.9,34.9,20.8,5.6,12.7,6.8,80.9,13,187
"McDuffie County, Georgia",19.4,35.7,16.4,6.4,7.3,4.3,70.1,13,189
"McIntosh County, Georgia",15.8,37.6,16.1,6.4,8.7,6.3,75.1,13,191
"Macon County, Georgia",18.4,36.6,15.2,5.0,5.9,4.8,67.5,13,193
"Madison County, Georgia",19.2,39.8,15.1,5.1,7.8,5.1,72.9,13,195
"Marion County, Georgia",13.0,50.5,17.7,5.2,3.9,2.9,80.2,13,197
"Meriwether County, Georgia",18.9,43.5,16.8,2.8,5.8,3.9,72.8,13,199
"Miller County, Georgia",15.0,39.0,18.7,6.3,5.5,4.0,73.4,13,201
"Mitchell County, Georgia",23.7,35.9,14.8,5.7,6.6,3.0,66.0,13,205
"Monroe County, Georgia",11.5,37.2,20.1,4.4,12.0,7.0,80.7,13,207
"Montgomery County, Georgia",12.4,41.8,15.1,9.0,9.9,5.5,81.3,13,209
"Morgan County, Georgia",13.1,33.8,16.1,5.2,15.2,8.6,78.9,13,211
"Murray County, Georgia",21.3,39.6,16.0,3.8,3.6,3.1,66.2,13,213
"Muscogee County, Georgia",11.0,29.4,25.3,7.5,13.4,8.3,83.8,13,215
"Newton County, Georgia",11.8,33.7,23.2,7.2,12.6,6.8,83.4,13,217
"Oconee County, Georgia",8.4,18.7,19.6,5.5,21.9,23.0,88.7,13,219
"Oglethorpe County, Georgia",18.1,34.6,24.0,5.4,5.6,6.1,75.7,13,221
