County,Unemployment Rate Percentage,State ID,County ID
"Childress County, Texas",5.2,48,075
"Comal County, Texas",4.9,48,091
"Houston County, Texas",6.4,48,225
"Navarro County, Texas",10.9,48,349
"Scurry County, Texas",3.3,48,415
"Stonewall County, Texas",6.9,48,433
"Bastrop County, Texas",9.8,48,021
"Bee County, Texas",7.0,48,025
"Crane County, Texas",5.2,48,103
"Rutland County, Vermont",6.6,50,021
"Orange County, Vermont",4.5,50,017
"Windsor County, Vermont",5.1,50,027
"Juncos Municipio, Puerto Rico",24.0,72,077
"Adjuntas Municipio, Puerto Rico",36.5,72,001
"Hormigueros Municipio, Puerto Rico",22.6,72,067
"Naranjito Municipio, Puerto Rico",21.9,72,105
"Arecibo Municipio, Puerto Rico",17.7,72,013
"Florida Municipio, Puerto Rico",15.7,72,054
"Moca Municipio, Puerto Rico",23.0,72,099
"Salinas Municipio, Puerto Rico",12.1,72,123
"Yauco Municipio, Puerto Rico",27.1,72,153
"Cabo Rojo Municipio, Puerto Rico",11.8,72,023
"Las Marías Municipio, Puerto Rico",4.6,72,083
"Villalba Municipio, Puerto Rico",25.9,72,149
"Aguada Municipio, Puerto Rico",25.1,72,003
"Cidra Municipio, Puerto Rico",13.7,72,041
"Luquillo Municipio, Puerto Rico",28.5,72,089
"Orocovis Municipio, Puerto Rico",31.2,72,107
"Trinity County, Texas",9.9,48,455
"Bandera County, Texas",4.8,48,019
"Ceiba Municipio, Puerto Rico",12.2,72,037
"Isabela Municipio, Puerto Rico",20.3,72,071
"Las Piedras Municipio, Puerto Rico",22.5,72,085
"Vega Alta Municipio, Puerto Rico",21.7,72,143
"Somerset County, Pennsylvania",6.9,42,111
"Madison County, Missouri",10.2,29,123
"Vernon County, Missouri",5.4,29,217
"Nodaway County, Missouri",7.2,29,147
"Chariton County, Missouri",3.8,29,041
"Wayne County, Missouri",9.5,29,223
"Scott County, Missouri",6.8,29,201
"Barton County, Missouri",6.5,29,011
"Cedar County, Missouri",10.5,29,039
"Gasconade County, Missouri",6.1,29,073
"Macon County, Missouri",8.7,29,121
"Oregon County, Missouri",7.1,29,149
"Ste. Genevieve County, Missouri",5.4,29,186
"Douglas County, Missouri",9.0,29,067
"Lawrence County, Missouri",7.0,29,109
"Pulaski County, Missouri",12.7,29,169
"Texas County, Missouri",8.1,29,215
"Callaway County, Missouri",5.1,29,027
"Cooper County, Missouri",5.7,29,053
"Gentry County, Missouri",6.3,29,075
"Mississippi County, Missouri",12.2,29,133
"Ozark County, Missouri",12.6,29,153
"Bollinger County, Missouri",4.0,29,017
"Knox County, Missouri",7.4,29,103
"Montgomery County, Missouri",9.4,29,139
"Stoddard County, Missouri",9.1,29,207
