County,Unemployment Rate Percentage,State ID,County ID
"Petersburg Borough, Alaska",4.3,02,195
"Kusilvak Census Area, Alaska",28.9,02,158
"Maricopa County, Arizona",5.5,04,013
"Graham County, Arizona",9.4,04,009
"Santa Cruz County, Arizona",8.3,04,023
"La Paz County, Arizona",8.0,04,012
"Mohave County, Arizona",8.9,04,015
"Coconino County, Arizona",7.5,04,005
"Yavapai County, Arizona",6.7,04,025
"Greenlee County, Arizona",6.9,04,011
"Pinal County, Arizona",7.8,04,021
"Nevada County, Arkansas",5.6,05,099
"Cross County, Arkansas",5.7,05,037
"Dallas County, Arkansas",4.9,05,039
"Columbia County, Arkansas",10.2,05,027
"Saline County, Arkansas",3.9,05,125
"Van Buren County, Arkansas",7.2,05,141
"Izard County, Arkansas",9.3,05,065
"Independence County, Arkansas",4.9,05,063
"Logan County, Arkansas",8.8,05,083
"Grant County, Arkansas",7.1,05,053
"Franklin County, Arkansas",3.0,05,047
"Pike County, Arkansas",4.5,05,109
"Jefferson County, Arkansas",10.0,05,069
"Montgomery County, Arkansas",5.7,05,097
"Scott County, Arkansas",10.3,05,127
"Sebastian County, Arkansas",4.9,05,131
"Crawford County, Arkansas",5.1,05,033
"Chicot County, Arkansas",9.7,05,017
"Johnson County, Arkansas",4.1,05,071
"Lee County, Arkansas",15.3,05,077
"Camden County, Missouri",6.5,29,029
"Jefferson County, Missouri",5.7,29,099
"New Madrid County, Missouri",8.7,29,143
"Ralls County, Missouri",4.5,29,173
"Custer County, Montana",2.0,30,017
"Powder River County, Montana",1.3,30,075
"Roosevelt County, Montana",12.0,30,085
"Liberty County, Montana",0.5,30,051
"Richland County, Montana",2.4,30,083
"Toole County, Montana",0.9,30,101
"Daniels County, Montana",1.6,30,019
"Judith Basin County, Montana",3.2,30,045
"Deer Lodge County, Montana",3.0,30,023
"McCone County, Montana",0.3,30,055
"Rosebud County, Montana",7.9,30,087
"Dawson County, Montana",1.5,30,021
"Broadwater County, Montana",6.1,30,007
"Phillips County, Montana",6.9,30,071
"Blaine County, Nebraska",0.0,31,009
"Deuel County, Nebraska",4.8,31,049
"Logan County, Nebraska",0.0,31,113
"Thayer County, Nebraska",1.1,31,169
"Adams County, Nebraska",3.3,31,001
"Boone County, Nebraska",1.7,31,011
"Rock County, Nebraska",0.4,31,149
"Sherman County, Nebraska",1.8,31,163
"Howard County, Nebraska",3.3,31,093
"Gosper County, Nebraska",2.9,31,073
"Shelby County, Tennessee",7.7,47,157
"Henderson County, Tennessee",7.8,47,077
"Jefferson County, Tennessee",5.9,47,089
"Sequatchie County, Tennessee",5.6,47,153
"Carroll County, Tennessee",6.0,47,017
"Davidson County, Tennessee",4.6,47,037
"Perry County, Tennessee",8.3,47,135
"Meigs County, Tennessee",9.4,47,121
"Haywood County, Tennessee",7.2,47,075
"Montgomery County, Tennessee",7.1,47,125
"Grundy County, Tennessee",8.5,47,061
"Cocke County, Tennessee",10.0,47,029
"DeKalb County, Tennessee",5.1,47,041
"Lewis County, Tennessee",3.7,47,101
"Obion County, Tennessee",6.3,47,131
"Tipton County, Tennessee",7.7,47,167
"Dyer County, Tennessee",7.7,47,045
"Hamilton County, Tennessee",5.5,47,065
"Polk County, Tennessee",8.1,47,139
"White County, Tennessee",7.9,47,185
"Sullivan County, Tennessee",6.2,47,163
"Schoharie County, New York",5.8,36,095
"Fulton County, New York",6.1,36,035
"Rensselaer County, New York",5.1,36,083
"Franklin County, New York",7.1,36,033
"Queens County, New York",6.2,36,081
"Washington County, New York",5.7,36,115
"New York County, New York",5.7,36,061
"Cayuga County, New York",5.4,36,011
"Rockland County, New York",5.5,36,087
"Niagara County, New York",5.3,36,063
"Essex County, New York",5.8,36,031
"Nassau County, New York",4.3,36,059
"Schuyler County, New York",5.5,36,097
"Chenango County, New York",5.7,36,017
"Jefferson County, New York",6.5,36,045
"Suffolk County, New York",4.7,36,103
"Wyoming County, New York",5.9,36,121
"Oswego County, New York",7.9,36,075
"Wayne County, New York",5.9,36,117
"Broome County, New York",6.6,36,007
"Erie County, New York",4.8,36,029
"Sullivan County, New York",7.7,36,105
"Lafayette County, Arkansas",5.8,05,073
"Phillips County, Arkansas",10.5,05,107
"Yell County, Arkansas",5.6,05,149
"Bradley County, Arkansas",8.0,05,011
