County,Unemployment Rate Percentage,State ID,County ID
"Linn County, Missouri",6.7,29,115
"Howell County, Missouri",8.1,29,091
"Johnson County, Missouri",7.9,29,101
"Laclede County, Missouri",9.3,29,105
"Maries County, Missouri",10.1,29,125
"Phelps County, Missouri",7.9,29,161
"Platte County, Missouri",6.1,29,165
"St. Francois County, Missouri",9.9,29,187
"St. Louis city, Missouri",14.2,29,510
"Andrew County, Missouri",5.9,29,003
"Butler County, Missouri",8.0,29,023
"Carroll County, Missouri",6.9,29,033
"Daviess County, Missouri",6.4,29,061
"Holt County, Missouri",4.7,29,087
"Marion County, Missouri",6.2,29,127
"Osage County, Missouri",3.5,29,151
"Ripley County, Missouri",13.5,29,181
"Warren County, Missouri",10.8,29,219
"Washington County, Missouri",13.7,29,221
"Christian County, Missouri",7.0,29,043
"DeKalb County, Missouri",6.8,29,063
"Harrison County, Missouri",8.4,29,081
"Lafayette County, Missouri",6.0,29,107
"Adair County, Missouri",7.1,29,001
"Scotland County, Missouri",2.6,29,199
"Sullivan County, Missouri",6.7,29,211
"Clark County, Missouri",5.1,29,045
"Jasper County, Missouri",8.7,29,097
"Lewis County, Missouri",7.8,29,111
"McDonald County, Missouri",8.5,29,119
"Perry County, Missouri",5.2,29,157
"Polk County, Missouri",11.2,29,167
"Ray County, Missouri",8.5,29,177
"Hill County, Montana",5.2,30,041
"Chouteau County, Montana",3.9,30,015
"Lincoln County, Montana",12.5,30,053
"Park County, Montana",6.1,30,067
"Treasure County, Montana",2.3,30,103
"Blaine County, Montana",7.1,30,005
"Sweet Grass County, Montana",4.5,30,097
"Teton County, Montana",5.6,30,099
"Prairie County, Montana",8.2,30,079
"Glacier County, Montana",16.0,30,035
"Fallon County, Montana",4.0,30,025
"Golden Valley County, Montana",6.2,30,037
"Silver Bow County, Montana",6.5,30,093
"Stillwater County, Montana",4.3,30,095
"Jefferson County, Montana",5.8,30,043
"Granite County, Montana",5.3,30,039
"Wheatland County, Montana",3.6,30,107
"Madison County, Montana",6.0,30,057
"Sheridan County, Montana",3.0,30,091
"Carter County, Montana",0.6,30,011
"Big Horn County, Montana",19.8,30,003
"Lake County, Montana",12.9,30,047
"Lewis and Clark County, Montana",6.1,30,049
"Pondera County, Montana",7.1,30,073
"Yellowstone County, Montana",4.9,30,111
"Missoula County, Montana",8.4,30,063
"Barron County, Wisconsin",8.0,55,005
