"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
7204,13.1,54366,Autauga County,2014,01,001
25696,13.0,49626,Baldwin County,2014,01,003
5943,25.4,34971,Barbour County,2014,01,005
3666,18.1,39546,Bibb County,2014,01,007
10000,17.5,45567,Blount County,2014,01,009
3179,35.1,26580,Bullock County,2014,01,011
4988,25.0,32512,Butler County,2014,01,013
23114,20.5,41123,Calhoun County,2014,01,015
7170,21.3,34116,Chambers County,2014,01,017
4768,18.6,38013,Cherokee County,2014,01,019
7874,18.1,41450,Chilton County,2014,01,021
3293,25.0,35049,Choctaw County,2014,01,023
6137,24.9,36620,Clarke County,2014,01,025
2592,19.5,35940,Clay County,2014,01,027
2527,17.0,40418,Cleburne County,2014,01,029
8407,16.8,46931,Coffee County,2014,01,031
9022,16.7,43057,Colbert County,2014,01,033
3846,30.6,29101,Conecuh County,2014,01,035
1976,18.8,34679,Coosa County,2014,01,037
7778,20.8,36149,Covington County,2014,01,039
2929,21.2,34445,Crenshaw County,2014,01,041
13809,17.2,39922,Cullman County,2014,01,043
10865,22.4,41940,Dale County,2014,01,045
14470,35.2,26602,Dallas County,2014,01,047
16856,24.0,36241,DeKalb County,2014,01,049
10867,14.4,54298,Elmore County,2014,01,051
8639,25.1,37077,Escambia County,2014,01,053
19291,19.0,39904,Etowah County,2014,01,055
3425,20.6,35664,Fayette County,2014,01,057
7222,23.1,33881,Franklin County,2014,01,059
6303,23.9,34425,Geneva County,2014,01,061
2819,33.2,26504,Greene County,2014,01,063
4182,28.1,33315,Hale County,2014,01,065
2925,17.3,39930,Henry County,2014,01,067
20643,20.1,40124,Houston County,2014,01,069
11440,22.0,36923,Jackson County,2014,01,071
125778,19.5,44852,Jefferson County,2014,01,073
2856,20.6,34553,Lamar County,2014,01,075
17041,18.7,41324,Lauderdale County,2014,01,077
5499,16.6,41574,Lawrence County,2014,01,079
37752,25.2,41256,Lee County,2014,01,081
11912,13.6,51175,Limestone County,2014,01,083
3285,31.4,30675,Lowndes County,2014,01,085
5649,32.1,28518,Macon County,2014,01,087
48750,14.2,58833,Madison County,2014,01,089
5071,25.6,32977,Marengo County,2014,01,091
5925,20.2,37707,Marion County,2014,01,093
20528,22.0,36536,Marshall County,2014,01,095
80016,19.6,42943,Mobile County,2014,01,097
5484,25.3,34733,Monroe County,2014,01,099
48844,22.5,43054,Montgomery County,2014,01,101
17665,15.0,45082,Morgan County,2014,01,103
4246,46.9,27403,Perry County,2014,01,105
4667,25.0,31933,Pickens County,2014,01,107
8237,26.4,31844,Pike County,2014,01,109
4512,20.4,36939,Randolph County,2014,01,111
12309,20.9,35585,Russell County,2014,01,113
12071,14.3,50571,St. Clair County,2014,01,115
19610,9.6,69432,Shelby County,2014,01,117
4692,38.1,25413,Sumter County,2014,01,119
17499,22.5,39999,Talladega County,2014,01,121
8633,21.3,36779,Tallapoosa County,2014,01,123
34553,18.0,46892,Tuscaloosa County,2014,01,125
15161,23.5,37245,Walker County,2014,01,127
3077,18.5,41321,Washington County,2014,01,129
3697,33.7,24035,Wilcox County,2014,01,131
4796,20.1,35528,Winston County,2014,01,133
544,16.2,55462,Aleutians East Borough,2014,02,013
549,9.9,68387,Aleutians West Census Area,2014,02,016
29207,10.0,75200,Anchorage Borough,2014,02,020
4166,23.8,45808,Bethel Census Area,2014,02,050
89,9.5,75364,Bristol Bay Borough,2014,02,060
133,7.1,69692,Denali Borough,2014,02,068
867,17.5,51082,Dillingham Census Area,2014,02,070
9011,9.5,67801,Fairbanks North Star Borough,2014,02,090
252,9.8,67260,Haines Borough,2014,02,100
397,19.1,51687,Hoonah-Angoon Census Area,2014,02,105
2500,7.9,80835,Juneau Borough,2014,02,110
6472,11.5,62532,Kenai Peninsula Borough,2014,02,122
1685,12.4,57776,Ketchikan Gateway Borough,2014,02,130
1146,8.3,67972,Kodiak Island Borough,2014,02,150
288,17.7,45570,Lake and Peninsula Borough,2014,02,164
10243,10.7,73981,Matanuska-Susitna Borough,2014,02,170
2509,26.1,47160,Nome Census Area,2014,02,180
1112,11.5,75682,North Slope Borough,2014,02,185
1771,23.2,65192,Northwest Arctic Borough,2014,02,188
276,8.8,56655,Petersburg Borough,2014,02,195
1105,17.4,43245,Prince of Wales-Hyder Census Area,2014,02,198
750,8.6,65765,Sitka Borough,2014,02,220
37,3.6,69170,Skagway Municipality,2014,02,230
949,13.8,59641,Southeast Fairbanks Census Area,2014,02,240
931,9.9,73998,Valdez-Cordova Census Area,2014,02,261
2845,35.7,30877,Wade Hampton Census Area,2014,02,270
280,11.9,52201,Wrangell City and Borough,2014,02,275
94,14.8,52595,Yakutat Borough,2014,02,282
1416,25.7,36708,Yukon-Koyukuk Census Area,2014,02,290
23458,33.1,32366,Apache County,2014,04,001
22879,18.7,45025,Cochise County,2014,04,003
27154,21.3,48653,Coconino County,2014,04,005
12683,24.4,37677,Gila County,2014,04,007
6907,20.0,46046,Graham County,2014,04,009
955,10.3,59416,Greenlee County,2014,04,011
4545,22.8,32533,La Paz County,2014,04,012
687643,17.1,53929,Maricopa County,2014,04,013
41178,20.8,37704,Mohave County,2014,04,015
30157,28.5,35457,Navajo County,2014,04,017
183590,18.7,45871,Pima County,2014,04,019
66073,17.6,49876,Pinal County,2014,04,021
10966,23.6,37465,Santa Cruz County,2014,04,023
33589,15.6,44145,Yavapai County,2014,04,025
44112,22.6,39700,Yuma County,2014,04,027
3735,20.4,36409,Arkansas County,2014,05,001
4707,22.7,36176,Ashley County,2014,05,003
6021,14.9,37873,Baxter County,2014,05,005
28436,11.9,57408,Benton County,2014,05,007
6206,16.9,39779,Boone County,2014,05,009
3012,27.4,32734,Bradley County,2014,05,011
902,18.0,39493,Calhoun County,2014,05,013
4909,17.9,36964,Carroll County,2014,05,015
3357,32.1,29541,Chicot County,2014,05,017
4285,21.5,38504,Clark County,2014,05,019
2981,19.9,33826,Clay County,2014,05,021
3831,15.2,40555,Cleburne County,2014,05,023
1393,16.6,43201,Cleveland County,2014,05,025
5363,24.1,37495,Columbia County,2014,05,027
3797,18.3,42348,Conway County,2014,05,029
21974,22.3,42851,Craighead County,2014,05,031
10152,16.6,43466,Crawford County,2014,05,033
13323,27.3,35455,Crittenden County,2014,05,035
3779,22.3,38597,Cross County,2014,05,037
1544,21.0,34018,Dallas County,2014,05,039
3325,27.3,33028,Desha County,2014,05,041
4249,24.0,36801,Drew County,2014,05,043
17140,14.7,51436,Faulkner County,2014,05,045
3066,17.5,40404,Franklin County,2014,05,047
2700,22.6,33347,Fulton County,2014,05,049
17929,18.7,40621,Garland County,2014,05,051
2382,13.3,46067,Grant County,2014,05,053
6994,16.3,42572,Greene County,2014,05,055
5383,24.4,33136,Hempstead County,2014,05,057
5815,18.7,37831,Hot Spring County,2014,05,059
2497,18.8,37336,Howard County,2014,05,061
6695,18.6,41085,Independence County,2014,05,063
2756,22.0,32744,Izard County,2014,05,065
