County,Unemployment Rate Percentage,State ID,County ID
"Fayette County, Illinois",5.7,17,051
"Logan County, Illinois",5.6,17,107
"Saline County, Illinois",7.6,17,165
"Lake County, Illinois",5.2,17,097
"Massac County, Illinois",4.4,17,127
"Cass County, Illinois",6.5,17,017
"Huntington County, Indiana",2.8,18,069
"White County, Indiana",4.0,18,181
"Jay County, Indiana",3.8,18,075
"Shelby County, Indiana",3.6,18,145
"Sullivan County, Indiana",4.9,18,153
"Tippecanoe County, Indiana",4.1,18,157
"Hamilton County, Indiana",2.8,18,057
"Bartholomew County, Indiana",4.2,18,005
"Fulton County, Indiana",4.2,18,049
"Noble County, Indiana",3.9,18,113
"Clark County, Indiana",4.9,18,019
"Hendricks County, Indiana",3.6,18,063
"Grant County, Indiana",7.2,18,053
"Jackson County, Indiana",4.3,18,071
"Owen County, Indiana",5.4,18,119
"Whitley County, Indiana",3.6,18,183
"Clinton County, Indiana",3.9,18,023
"Union County, Indiana",1.5,18,161
"Dearborn County, Indiana",3.7,18,029
"Lawrence County, Indiana",4.4,18,093
"Perry County, Indiana",3.0,18,123
"Posey County, Indiana",4.1,18,129
"Carroll County, Indiana",3.1,18,015
"Fountain County, Indiana",4.3,18,045
"Starke County, Indiana",5.0,18,149
"Greene County, Indiana",4.8,18,055
"Benton County, Iowa",3.0,19,011
"Dubuque County, Iowa",3.9,19,061
"Pocahontas County, Iowa",3.3,19,151
"Van Buren County, Iowa",5.2,19,177
"Adams County, Iowa",3.9,19,003
"Audubon County, Iowa",1.8,19,009
"Davis County, Iowa",3.0,19,051
"Ida County, Iowa",2.6,19,093
"Monroe County, Iowa",3.9,19,135
"Sioux County, Iowa",2.7,19,167
"Calhoun County, Iowa",2.3,19,025
"Cerro Gordo County, Iowa",4.0,19,033
"Hardin County, Iowa",1.8,19,083
"Lucas County, Iowa",3.4,19,117
"Palo Alto County, Iowa",1.4,19,147
"Henry County, Iowa",5.5,19,087
"Jasper County, Iowa",3.8,19,099
"Poweshiek County, Iowa",4.0,19,157
"Clayton County, Iowa",2.4,19,043
"Bremer County, Iowa",2.3,19,017
"Emmet County, Iowa",3.6,19,063
