County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Benton County, Tennessee",11.3,47.8,17.3,4.9,8.3,4.6,82.8,47,005
"Warren County, Tennessee",12.5,42.6,17.5,4.9,8.6,5.8,79.3,47,177
"Washington County, Tennessee",6.9,30.0,20.8,6.4,18.7,13.2,89.1,47,179
"Weakley County, Tennessee",10.3,39.2,20.1,3.9,13.4,7.5,84.0,47,183
"Bledsoe County, Tennessee",11.3,40.3,14.4,6.1,7.2,5.2,73.2,47,007
"Campbell County, Tennessee",14.7,41.2,17.2,5.2,7.4,4.4,75.3,47,013
"Cannon County, Tennessee",9.9,47.5,19.7,5.0,8.0,4.1,84.5,47,015
"Houston County, Tennessee",17.0,46.3,16.4,3.7,8.3,2.5,77.2,47,083
"Maury County, Tennessee",6.7,36.3,23.4,9.1,14.0,6.7,89.4,47,119
"Polk County, Texas",14.2,37.2,22.4,6.2,9.2,3.1,78.1,48,373
"Refugio County, Texas",10.1,34.2,24.1,9.5,8.9,3.2,79.8,48,391
"Van Zandt County, Texas",10.7,34.2,25.5,7.5,11.9,4.7,83.8,48,467
"Caldwell County, Texas",9.6,37.8,21.8,5.4,9.7,4.6,79.3,48,055
"Wilbarger County, Texas",12.1,30.5,24.8,8.7,11.5,3.7,79.2,48,487
"Martin County, Texas",13.4,32.3,19.1,5.7,13.8,6.8,77.7,48,317
"Reagan County, Texas",12.1,32.2,23.6,3.6,7.6,3.4,70.4,48,383
"Yoakum County, Texas",8.6,28.0,19.8,7.4,10.6,4.5,70.2,48,501
"Hale County, Texas",11.4,33.8,21.6,4.0,11.1,5.0,75.4,48,189
"Shelby County, Texas",15.0,34.0,21.0,5.2,10.7,4.6,75.5,48,419
"Red River County, Texas",11.1,39.1,24.1,6.4,10.5,3.3,83.3,48,387
"Runnels County, Texas",11.2,36.0,19.3,4.1,15.2,3.9,78.5,48,399
"San Jacinto County, Texas",11.0,48.5,20.7,3.7,7.5,2.6,82.9,48,407
"Sutton County, Texas",7.2,29.4,22.7,5.2,17.2,2.5,77.0,48,435
"Tom Green County, Texas",8.6,29.0,24.0,7.5,16.4,7.4,84.3,48,451
"Upshur County, Texas",10.8,33.8,25.8,7.0,11.8,5.0,83.5,48,459
"Victoria County, Texas",10.2,31.0,23.9,8.6,13.2,6.3,83.0,48,469
"Waller County, Texas",10.8,30.9,22.1,6.1,13.3,5.9,78.3,48,473
"Wharton County, Texas",10.3,32.5,23.8,7.6,9.5,5.5,78.9,48,481
"Wichita County, Texas",8.6,31.8,24.0,8.0,15.4,7.0,86.2,48,485
"Wilson County, Texas",8.9,35.3,22.3,7.8,13.3,6.2,84.8,48,493
"Borden County, Texas",5.0,26.9,21.8,7.0,27.8,11.0,94.5,48,033
"Hockley County, Texas",12.3,28.5,25.2,9.9,9.2,4.5,77.3,48,219
"Marion County, Texas",13.2,38.8,23.5,5.7,10.2,3.9,82.1,48,315
"Maverick County, Texas",15.0,21.0,19.2,7.2,8.7,3.1,59.2,48,323
"Midland County, Texas",9.5,25.5,24.1,7.2,19.5,7.4,83.7,48,329
"Grayson County, Texas",7.5,31.4,26.9,9.6,13.5,6.7,88.2,48,181
"Live Oak County, Texas",12.2,34.7,26.6,5.9,8.3,3.0,78.5,48,297
"Llano County, Texas",8.7,26.5,26.5,6.9,18.4,8.1,86.5,48,299
"Palo Pinto County, Texas",10.5,34.9,25.7,6.2,11.7,4.9,83.4,48,363
