County,Less than 9th Grade,9th to 12th Grade,High School Graduate,Some College,Associates Degree,Bachelors Degree,Graduate or Professional Degree,State ID,County ID
"Fayette County, Illinois",4.9,11.3,40.2,22.4,10.0,8.0,3.3,17,051
"Logan County, Illinois",3.2,8.1,35.3,24.1,9.4,13.9,6.1,17,107
"Saline County, Illinois",4.4,8.9,27.5,26.4,13.6,12.8,6.4,17,165
"Lake County, Illinois",4.9,4.4,20.8,18.2,6.3,26.5,18.8,17,097
"Massac County, Illinois",5.0,8.2,33.6,27.1,12.1,10.1,3.8,17,127
"Cass County, Illinois",5.0,11.0,43.1,18.8,7.1,10.8,4.3,17,017
"Huntington County, Indiana",2.5,5.6,41.3,20.8,9.6,13.0,7.1,18,069
"White County, Indiana",3.7,7.5,41.6,21.4,9.4,10.8,5.6,18,181
"Jay County, Indiana",3.6,8.4,48.9,18.4,9.3,7.3,4.1,18,075
"Shelby County, Indiana",3.5,9.1,42.4,18.3,7.9,12.7,6.0,18,145
"Sullivan County, Indiana",3.4,7.9,44.2,20.7,11.7,7.9,4.2,18,153
"Tippecanoe County, Indiana",2.7,5.7,25.4,20.0,7.5,21.4,17.4,18,157
"Hamilton County, Indiana",0.8,2.4,14.9,15.8,6.7,37.3,22.0,18,057
"Bartholomew County, Indiana",3.4,6.0,30.8,17.7,8.6,19.5,14.0,18,005
"Fulton County, Indiana",3.7,8.5,40.6,23.7,7.6,10.3,5.5,18,049
"Noble County, Indiana",7.6,8.8,42.0,18.8,9.1,9.7,4.0,18,113
"Clark County, Indiana",2.7,7.9,34.6,22.9,10.8,14.4,6.8,18,019
"Hendricks County, Indiana",1.8,4.2,27.5,20.2,9.2,24.8,12.2,18,063
"Grant County, Indiana",3.5,9.2,40.5,20.7,8.2,10.3,7.6,18,053
"Jackson County, Indiana",3.9,8.8,41.9,20.7,8.0,11.1,5.7,18,071
"Owen County, Indiana",4.1,10.5,44.4,21.3,6.6,8.1,5.0,18,119
"Whitley County, Indiana",2.0,6.2,39.2,19.9,12.0,14.2,6.5,18,183
"Clinton County, Indiana",5.7,8.7,43.2,18.5,7.6,11.0,5.4,18,023
"Union County, Indiana",2.4,10.2,43.4,19.8,5.7,11.5,7.0,18,161
"Dearborn County, Indiana",2.9,7.5,38.9,19.0,8.9,15.4,7.5,18,029
"Lawrence County, Indiana",3.5,8.2,42.3,19.5,10.7,9.7,6.1,18,093
"Perry County, Indiana",2.4,7.3,44.7,19.3,10.2,8.9,7.2,18,123
"Posey County, Indiana",1.5,5.1,38.2,22.1,11.2,15.5,6.4,18,129
"Carroll County, Indiana",2.9,8.7,40.8,22.1,8.9,12.2,4.4,18,015
"Fountain County, Indiana",2.8,8.2,43.7,21.4,9.0,9.8,5.1,18,045
"Starke County, Indiana",5.2,9.9,42.1,22.3,8.6,8.0,3.8,18,149
"Greene County, Indiana",3.3,8.8,41.1,21.3,10.7,9.7,5.1,18,055
"Benton County, Iowa",1.7,4.2,36.9,20.9,14.1,15.7,6.4,19,011
"Dubuque County, Iowa",2.2,5.1,32.7,19.5,9.7,19.8,11.0,19,061
"Pocahontas County, Iowa",2.2,5.6,39.4,23.6,14.2,11.9,3.1,19,151
