"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
7017,12.7,51441,Autauga County,2012,01,001
26177,13.9,48867,Baldwin County,2012,01,003
6892,29.0,30287,Barbour County,2012,01,005
4371,21.5,37392,Bibb County,2012,01,007
9264,16.2,44225,Blount County,2012,01,009
2848,32.3,25854,Bullock County,2012,01,011
5247,26.3,30605,Butler County,2012,01,013
24533,21.4,39212,Calhoun County,2012,01,015
7210,21.5,32320,Chambers County,2012,01,017
5027,19.6,37868,Cherokee County,2012,01,019
8701,20.1,39621,Chilton County,2012,01,021
2802,20.8,33390,Choctaw County,2012,01,023
5343,21.5,34606,Clarke County,2012,01,025
2521,19.1,34579,Clay County,2012,01,027
2712,18.6,38235,Cleburne County,2012,01,029
7650,15.1,45631,Coffee County,2012,01,031
8714,16.2,39771,Colbert County,2012,01,033
4036,31.3,27110,Conecuh County,2012,01,035
2276,21.0,32960,Coosa County,2012,01,037
7805,20.9,34017,Covington County,2012,01,039
2794,20.1,33648,Crenshaw County,2012,01,041
14851,18.7,37938,Cullman County,2012,01,043
9429,19.1,40125,Dale County,2012,01,045
15588,36.8,27400,Dallas County,2012,01,047
12711,18.1,37644,DeKalb County,2012,01,049
10396,13.8,52324,Elmore County,2012,01,051
9690,27.9,33588,Escambia County,2012,01,053
21508,21.0,35737,Etowah County,2012,01,055
2942,17.6,35720,Fayette County,2012,01,057
6116,19.5,33173,Franklin County,2012,01,059
6086,22.8,33347,Geneva County,2012,01,061
3011,34.1,24592,Greene County,2012,01,063
4198,27.9,31025,Hale County,2012,01,065
3275,19.2,37108,Henry County,2012,01,067
19414,19.0,40609,Houston County,2012,01,069
8610,16.4,39618,Jackson County,2012,01,071
120153,18.6,43967,Jefferson County,2012,01,073
3159,22.5,33940,Lamar County,2012,01,075
18344,20.2,41536,Lauderdale County,2012,01,077
6697,20.0,38524,Lawrence County,2012,01,079
32855,23.0,43182,Lee County,2012,01,081
10786,12.8,49616,Limestone County,2012,01,083
2862,26.6,28544,Lowndes County,2012,01,085
6209,33.1,27709,Macon County,2012,01,087
42183,12.6,57072,Madison County,2012,01,089
5339,26.5,31888,Marengo County,2012,01,091
6580,22.2,32237,Marion County,2012,01,093
20075,21.5,36960,Marshall County,2012,01,095
85452,21.0,39546,Mobile County,2012,01,097
4726,21.1,36221,Monroe County,2012,01,099
48003,21.7,41430,Montgomery County,2012,01,101
19176,16.2,44766,Morgan County,2012,01,103
3449,36.6,25215,Perry County,2012,01,105
4455,23.4,31433,Pickens County,2012,01,107
8369,26.7,32411,Pike County,2012,01,109
5069,22.8,35024,Randolph County,2012,01,111
13495,23.6,34310,Russell County,2012,01,113
13133,15.8,50989,St. Clair County,2012,01,115
17276,8.7,67244,Shelby County,2012,01,117
4608,36.5,24059,Sumter County,2012,01,119
18298,23.3,34785,Talladega County,2012,01,121
9551,23.5,36463,Tallapoosa County,2012,01,123
36795,19.5,41495,Tuscaloosa County,2012,01,125
13676,21.0,36600,Walker County,2012,01,127
3564,21.0,39173,Washington County,2012,01,129
4126,36.5,22126,Wilcox County,2012,01,131
6288,26.4,32663,Winston County,2012,01,133
496,15.7,51514,Aleutians East Borough,2012,02,013
497,9.3,69192,Aleutians West Census Area,2012,02,016
26220,9.0,71094,Anchorage Borough,2012,02,020
4820,27.6,41722,Bethel Census Area,2012,02,050
90,9.3,66178,Bristol Bay Borough,2012,02,060
115,6.2,66325,Denali Borough,2012,02,068
1035,20.7,47498,Dillingham Census Area,2012,02,070
8847,9.2,63979,Fairbanks North Star Borough,2012,02,090
300,11.8,49890,Haines Borough,2012,02,100
373,17.5,40371,Hoonah-Angoon Census Area,2012,02,105
2517,7.9,76967,Juneau Borough,2012,02,110
5986,10.8,60431,Kenai Peninsula Borough,2012,02,122
1454,10.7,61296,Ketchikan Gateway Borough,2012,02,130
1204,8.6,61498,Kodiak Island Borough,2012,02,150
288,17.5,44657,Lake and Peninsula Borough,2012,02,164
9357,10.1,68109,Matanuska-Susitna Borough,2012,02,170
2770,28.6,47022,Nome Census Area,2012,02,180
1474,15.4,69138,North Slope Borough,2012,02,185
1714,22.1,52945,Northwest Arctic Borough,2012,02,188
416,10.8,57728,Petersburg Census Area,2012,02,195
984,17.2,44721,Prince of Wales-Hyder Census Area,2012,02,198
763,8.6,61771,Sitka Borough,2012,02,220
40,4.2,65379,Skagway Municipality,2012,02,230
906,12.8,56456,Southeast Fairbanks Census Area,2012,02,240
913,9.5,65098,Valdez-Cordova Census Area,2012,02,261
2251,28.9,32860,Wade Hampton Census Area,2012,02,270
273,11.5,47373,Wrangell City and Borough,2012,02,275
94,14.1,47565,Yakutat Borough,2012,02,282
1298,22.6,33998,Yukon-Koyukuk Census Area,2012,02,290
23972,33.2,32886,Apache County,2012,04,001
23361,18.8,43017,Cochise County,2012,04,003
31093,24.6,45509,Coconino County,2012,04,005
11088,21.3,38267,Gila County,2012,04,007
8549,25.4,41080,Graham County,2012,04,009
1049,12.0,53312,Greenlee County,2012,04,011
4905,24.5,35236,La Paz County,2012,04,012
675704,17.4,51442,Maricopa County,2012,04,013
41750,21.1,34966,Mohave County,2012,04,015
31803,30.3,34662,Navajo County,2012,04,017
192483,19.9,44745,Pima County,2012,04,019
63509,17.7,50362,Pinal County,2012,04,021
11621,24.8,36660,Santa Cruz County,2012,04,023
32855,15.7,43397,Yavapai County,2012,04,025
42191,21.9,39072,Yuma County,2012,04,027
3420,18.4,37907,Arkansas County,2012,05,001
4315,20.3,39276,Ashley County,2012,05,003
7172,17.7,35315,Baxter County,2012,05,005
31121,13.5,52717,Benton County,2012,05,007
7817,21.2,35848,Boone County,2012,05,009
2888,25.7,31940,Bradley County,2012,05,011
983,19.2,36216,Calhoun County,2012,05,013
5467,20.0,34096,Carroll County,2012,05,015
3964,37.0,26911,Chicot County,2012,05,017
5343,26.6,34482,Clark County,2012,05,019
3466,22.4,32642,Clay County,2012,05,021
4302,16.9,41337,Cleburne County,2012,05,023
1475,17.2,41338,Cleveland County,2012,05,025
5598,24.5,35024,Columbia County,2012,05,027
4801,22.9,35832,Conway County,2012,05,029
16913,17.6,42437,Craighead County,2012,05,031
13261,21.7,39367,Crawford County,2012,05,033
11851,24.0,36588,Crittenden County,2012,05,035
3459,19.9,35839,Cross County,2012,05,037
1738,23.0,30984,Dallas County,2012,05,039
3408,27.4,30298,Desha County,2012,05,041
4378,24.7,33682,Drew County,2012,05,043
16451,14.4,49843,Faulkner County,2012,05,045
3310,18.6,39763,Franklin County,2012,05,047
2847,23.5,31988,Fulton County,2012,05,049
18889,19.8,39617,Garland County,2012,05,051
2223,12.5,47421,Grant County,2012,05,053
8223,19.4,38771,Greene County,2012,05,055
6401,29.0,32292,Hempstead County,2012,05,057
5801,18.6,41754,Hot Spring County,2012,05,059
2686,19.9,33049,Howard County,2012,05,061
7036,19.5,37818,Independence County,2012,05,063
3125,24.6,29663,Izard County,2012,05,065
4151,26.7,30604,Jackson County,2012,05,067
16684,23.9,36346,Jefferson County,2012,05,069
4550,18.0,34322,Johnson County,2012,05,071
2085,28.5,28857,Lafayette County,2012,05,073
4069,25.0,29229,Lawrence County,2012,05,075
3271,38.6,26046,Lee County,2012,05,077
3421,32.9,36222,Lincoln County,2012,05,079
2399,18.8,35406,Little River County,2012,05,081
4499,20.9,33850,Logan County,2012,05,083
8574,12.4,51212,Lonoke County,2012,05,085
3290,21.2,33428,Madison County,2012,05,087
3499,21.4,31516,Marion County,2012,05,089
8822,20.9,38225,Miller County,2012,05,091
11437,25.6,34058,Mississippi County,2012,05,093
2112,27.3,29032,Monroe County,2012,05,095
2212,24.0,32779,Montgomery County,2012,05,097
2252,25.7,32107,Nevada County,2012,05,099
2169,27.1,29316,Newton County,2012,05,101
5457,21.9,32749,Ouachita County,2012,05,103
1713,16.8,40119,Perry County,2012,05,105
8008,39.0,26013,Phillips County,2012,05,107
2504,22.7,33144,Pike County,2012,05,109
6684,27.9,32248,Poinsett County,2012,05,111
4655,23.0,31749,Polk County,2012,05,113
10523,17.9,40206,Pope County,2012,05,115
1797,21.6,36191,Prairie County,2012,05,117
70751,18.6,44819,Pulaski County,2012,05,119
3779,21.6,33870,Randolph County,2012,05,121
7666,32.3,32932,St. Francis County,2012,05,123
10771,9.7,57787,Saline County,2012,05,125
2646,24.4,30630,Scott County,2012,05,127
2248,28.4,26330,Searcy County,2012,05,129
25049,20.0,38730,Sebastian County,2012,05,131
4203,24.8,32662,Sevier County,2012,05,133
4103,24.4,30076,Sharp County,2012,05,135
3040,24.3,28442,Stone County,2012,05,137
8025,19.9,40026,Union County,2012,05,139
3315,19.8,35876,Van Buren County,2012,05,141
39193,19.3,41856,Washington County,2012,05,143
14564,19.4,40950,White County,2012,05,145
1964,28.1,29184,Woodruff County,2012,05,147
4645,21.6,38322,Yell County,2012,05,149
200101,13.1,70209,Alameda County,2012,06,001
217,19.3,46336,Alpine County,2012,06,003
4425,13.3,51388,Amador County,2012,06,005
47341,21.8,40748,Butte County,2012,06,007
6249,14.1,50962,Calaveras County,2012,06,009
2835,13.4,49871,Colusa County,2012,06,011
118696,11.1,74208,Contra Costa County,2012,06,013
5979,24.2,37305,Del Norte County,2012,06,015
16708,9.3,68446,El Dorado County,2012,06,017
263134,28.2,41563,Fresno County,2012,06,019
4777,17.3,41201,Glenn County,2012,06,021
28883,22.0,39837,Humboldt County,2012,06,023
38189,22.8,38185,Imperial County,2012,06,025
2139,11.8,45748,Inyo County,2012,06,027
195433,23.7,45599,Kern County,2012,06,029
28388,21.5,45464,Kings County,2012,06,031
15790,25.1,35437,Lake County,2012,06,033
5405,22.4,47480,Lassen County,2012,06,035
1873522,19.1,52929,Los Angeles County,2012,06,037
33785,23.3,42054,Madera County,2012,06,039
21058,8.5,88654,Marin County,2012,06,041
3260,18.4,43166,Mariposa County,2012,06,043
18375,21.3,41088,Mendocino County,2012,06,045
62055,24.2,42552,Merced County,2012,06,047
1772,19.6,36724,Modoc County,2012,06,049
1626,11.5,53067,Mono County,2012,06,051
73768,18.1,56038,Monterey County,2012,06,053
13111,9.7,65698,Napa County,2012,06,055
11579,11.9,54230,Nevada County,2012,06,057
396951,13.0,71866,Orange County,2012,06,059
32697,9.1,69521,Placer County,2012,06,061
2833,14.9,46450,Plumas County,2012,06,063
398252,17.8,52416,Riverside County,2012,06,065
279494,19.5,52617,Sacramento County,2012,06,067
7201,12.8,60577,San Benito County,2012,06,069
415927,20.4,50603,San Bernardino County,2012,06,071
465651,15.1,60235,San Diego County,2012,06,073
120702,14.9,72093,San Francisco County,2012,06,075
127598,18.5,50431,San Joaquin County,2012,06,077
36010,14.0,58427,San Luis Obispo County,2012,06,079
61857,8.4,81568,San Mateo County,2012,06,081
67314,16.3,60683,Santa Barbara County,2012,06,083
195277,10.8,91195,Santa Clara County,2012,06,085
35647,13.9,65799,Santa Cruz County,2012,06,087
30171,17.1,44477,Shasta County,2012,06,089
415,13.7,45157,Sierra County,2012,06,091
9244,21.2,36597,Siskiyou County,2012,06,093
58170,14.2,61976,Solano County,2012,06,095
58592,12.1,59855,Sonoma County,2012,06,097
103926,20.1,46324,Stanislaus County,2012,06,099
17710,18.8,46524,Sutter County,2012,06,101
13980,22.3,38577,Tehama County,2012,06,103
2887,21.7,35162,Trinity County,2012,06,105
132911,29.7,40197,Tulare County,2012,06,107
7438,14.8,46624,Tuolumne County,2012,06,109
96062,11.6,71043,Ventura County,2012,06,111
33838,17.1,51040,Yolo County,2012,06,113
16075,22.4,41599,Yuba County,2012,06,115
67494,14.9,55695,Adams County,2012,08,001
3662,24.4,37731,Alamosa County,2012,08,003
70578,12.0,60525,Arapahoe County,2012,08,005
1749,14.6,46127,Archuleta County,2012,08,007
708,19.4,37775,Baca County,2012,08,009
1313,31.7,33540,Bent County,2012,08,011
41787,14.2,66894,Boulder County,2012,08,013
3706,6.4,81040,Broomfield County,2012,08,014
2289,13.8,44651,Chaffee County,2012,08,015
223,12.2,51093,Cheyenne County,2012,08,017
859,9.6,65359,Clear Creek County,2012,08,019
2033,24.7,31970,Conejos County,2012,08,021
984,27.4,26075,Costilla County,2012,08,023
1563,51.2,30460,Crowley County,2012,08,025
663,16.2,46744,Custer County,2012,08,027
5179,17.5,41208,Delta County,2012,08,029
120890,19.5,50455,Denver County,2012,08,031
289,14.5,39254,Dolores County,2012,08,033
12865,4.3,98426,Douglas County,2012,08,035
4899,9.5,69870,Eagle County,2012,08,037
1424,6.1,81528,Elbert County,2012,08,039
82170,13.1,55312,El Paso County,2012,08,041
7433,19.4,40809,Fremont County,2012,08,043
6676,11.9,54088,Garfield County,2012,08,045
462,8.5,61447,Gilpin County,2012,08,047
1405,9.9,56191,Grand County,2012,08,049
2345,16.0,49861,Gunnison County,2012,08,051
79,10.0,50177,Hinsdale County,2012,08,053
1544,24.0,31574,Huerfano County,2012,08,055
212,15.7,43190,Jackson County,2012,08,057
49867,9.3,67401,Jefferson County,2012,08,059
187,13.1,40216,Kiowa County,2012,08,061
1045,14.3,44059,Kit Carson County,2012,08,063
1149,15.9,45504,Lake County,2012,08,065
6307,12.5,55888,La Plata County,2012,08,067
41513,13.7,56132,Larimer County,2012,08,069
