"All ages in Poverty, Count Estimate","All ages in Poverty, Rate Estimate",Median Household Income Estimate,County,Year,State ID,County ID
4681,10.5,42463,Autauga County,2000,01,001
13855,9.7,41283,Baldwin County,2000,01,003
5847,22.2,26612,Barbour County,2000,01,005
3561,17.8,31776,Bibb County,2000,01,007
6193,12.0,36863,Blount County,2000,01,009
2850,28.6,21400,Bullock County,2000,01,011
4343,20.7,25763,Butler County,2000,01,013
16561,15.1,32604,Calhoun County,2000,01,015
5558,15.4,30505,Chambers County,2000,01,017
3710,15.6,31436,Cherokee County,2000,01,019
6082,15.3,33650,Chilton County,2000,01,021
2931,18.8,26388,Choctaw County,2000,01,023
5247,19.1,28734,Clarke County,2000,01,025
2003,14.3,28940,Clay County,2000,01,027
2050,14.4,31551,Cleburne County,2000,01,029
6177,14.4,34561,Coffee County,2000,01,031
7128,13.1,33227,Colbert County,2000,01,033
3157,22.8,23683,Conecuh County,2000,01,035
1701,14.5,29926,Coosa County,2000,01,037
6463,17.6,27531,Covington County,2000,01,039
2590,19.1,27345,Crenshaw County,2000,01,041
9880,12.8,33441,Cullman County,2000,01,043
7261,15.3,32824,Dale County,2000,01,045
11175,24.4,24944,Dallas County,2000,01,047
9641,14.8,31087,DeKalb County,2000,01,049
7493,12.1,41233,Elmore County,2000,01,051
6798,18.6,28942,Escambia County,2000,01,053
15796,15.5,31490,Etowah County,2000,01,055
2815,15.5,30362,Fayette County,2000,01,057
5205,16.9,28341,Franklin County,2000,01,059
4651,18.4,27382,Geneva County,2000,01,061
2667,26.8,21163,Greene County,2000,01,063
3667,21.7,26400,Hale County,2000,01,065
2636,16.3,31049,Henry County,2000,01,067
13246,15.0,35287,Houston County,2000,01,069
7158,13.3,33289,Jackson County,2000,01,071
83078,12.8,37094,Jefferson County,2000,01,073
2487,16.1,29396,Lamar County,2000,01,075
10913,12.7,34032,Lauderdale County,2000,01,077
4845,14.0,33794,Lawrence County,2000,01,079
15943,14.2,32678,Lee County,2000,01,081
7893,12.2,38984,Limestone County,2000,01,083
3268,24.3,24089,Lowndes County,2000,01,085
5992,27.6,22274,Macon County,2000,01,087
27718,10.1,45736,Madison County,2000,01,089
4568,20.5,28060,Marengo County,2000,01,091
5039,16.9,28247,Marion County,2000,01,093
11726,14.3,32470,Marshall County,2000,01,095
67590,17.1,34685,Mobile County,2000,01,097
4501,18.8,29802,Monroe County,2000,01,099
34081,16.0,36918,Montgomery County,2000,01,101
12269,11.1,39515,Morgan County,2000,01,103
3490,31.0,20969,Perry County,2000,01,105
4146,20.1,27065,Pickens County,2000,01,107
6206,21.8,26317,Pike County,2000,01,109
3656,16.7,29048,Randolph County,2000,01,111
8366,17.1,28641,Russell County,2000,01,113
8240,12.8,37513,St. Clair County,2000,01,115
9417,6.4,59451,Shelby County,2000,01,117
4096,28.6,20582,Sumter County,2000,01,119
12981,16.9,31457,Talladega County,2000,01,121
6346,15.7,30941,Tallapoosa County,2000,01,123
23817,15.1,34294,Tuscaloosa County,2000,01,125
10388,14.9,30313,Walker County,2000,01,127
3055,17.0,31797,Washington County,2000,01,129
3923,30.6,18813,Wilcox County,2000,01,131
4304,17.6,28366,Winston County,2000,01,133
314,12.6,42703,Aleutians East Borough,2000,02,013
347,6.1,56365,Aleutians West Census Area,2000,02,016
17188,6.7,56690,Anchorage Borough,2000,02,020
3554,22.2,33353,Bethel Census Area,2000,02,050
70,5.9,53828,Bristol Bay Borough,2000,02,060
85,4.8,53087,Denali Borough,2000,02,068
867,17.9,41007,Dillingham Census Area,2000,02,070
5654,7.0,50354,Fairbanks North Star Borough,2000,02,090
237,10.2,41018,Haines Borough,2000,02,100
1746,5.8,59650,Juneau Borough,2000,02,110
4337,8.9,47255,Kenai Peninsula Borough,2000,02,122
974,7.2,50278,Ketchikan Gateway Borough,2000,02,130
982,7.2,50879,Kodiak Island Borough,2000,02,150
290,17.3,35025,Lake and Peninsula Borough,2000,02,164
5367,8.8,49562,Matanuska-Susitna Borough,2000,02,170
1553,17.3,38310,Nome Census Area,2000,02,180
565,7.8,58694,North Slope Borough,2000,02,185
1119,15.5,42821,Northwest Arctic Borough,2000,02,188
850,14.5,38336,Prince of Wales-Outer Ketchikan Census Area,2000,02,201
568,6.8,50624,Sitka Borough,2000,02,220
261,7.8,40209,Skagway-Hoonah-Angoon Census Area,2000,02,232
962,17.3,38244,Southeast Fairbanks Census Area,2000,02,240
776,7.8,49124,Valdez-Cordova Census Area,2000,02,261
2028,28.8,27567,Wade Hampton Census Area,2000,02,270
539,8.3,46203,Wrangell-Petersburg Census Area,2000,02,280
65,8.5,43150,Yakutat Borough,2000,02,282
1142,18.1,28867,Yukon-Koyukuk Census Area,2000,02,290
20549,30.8,24244,Apache County,2000,04,001
18906,16.7,32903,Cochise County,2000,04,003
17891,15.6,38249,Coconino County,2000,04,005
8925,17.8,31295,Gila County,2000,04,007
6428,21.3,29860,Graham County,2000,04,009
801,9.7,41181,Greenlee County,2000,04,011
3995,20.7,25986,La Paz County,2000,04,012
322120,10.2,47024,Maricopa County,2000,04,013
24294,15.4,31515,Mohave County,2000,04,015
23508,24.3,28868,Navajo County,2000,04,017
109374,13.0,37461,Pima County,2000,04,019
27242,15.8,35134,Pinal County,2000,04,021
8465,21.7,31123,Santa Cruz County,2000,04,023
20372,12.0,34241,Yavapai County,2000,04,025
33890,21.4,31297,Yuma County,2000,04,027
3288,16.2,31544,Arkansas County,2000,05,001
3913,16.5,32937,Ashley County,2000,05,003
4811,12.7,30215,Baxter County,2000,05,005
14681,9.3,41729,Benton County,2000,05,007
5025,14.8,31247,Boone County,2000,05,009
2526,20.6,25755,Bradley County,2000,05,011
808,14.5,29539,Calhoun County,2000,05,013
3934,15.4,28571,Carroll County,2000,05,015
3677,27.8,22590,Chicot County,2000,05,017
3566,16.6,29388,Clark County,2000,05,019
2764,16.0,26822,Clay County,2000,05,021
3420,14.2,31930,Cleburne County,2000,05,023
1218,14.1,33790,Cleveland County,2000,05,025
4560,18.7,29039,Columbia County,2000,05,027
3163,15.7,31857,Conway County,2000,05,029
11382,14.0,34523,Craighead County,2000,05,031
7465,13.8,34181,Crawford County,2000,05,033
10705,21.1,30179,Crittenden County,2000,05,035
3525,18.2,29655,Cross County,2000,05,037
1667,19.4,27176,Dallas County,2000,05,039
3311,22.1,25464,Desha County,2000,05,041
3176,17.3,29483,Drew County,2000,05,043
9090,10.7,39355,Faulkner County,2000,05,045
2758,15.6,31050,Franklin County,2000,05,047
2254,19.6,26153,Fulton County,2000,05,049
12872,14.7,32292,Garland County,2000,05,051
1673,10.1,38555,Grant County,2000,05,053
4991,13.4,31818,Greene County,2000,05,055
4346,18.7,28583,Hempstead County,2000,05,057
4223,13.9,32069,Hot Spring County,2000,05,059
2166,15.5,29424,Howard County,2000,05,061
4772,14.2,32860,Independence County,2000,05,063
2292,18.3,26219,Izard County,2000,05,065
3318,20.3,26168,Jackson County,2000,05,067
14915,18.9,31358,Jefferson County,2000,05,069
3674,16.4,28734,Johnson County,2000,05,071
1866,22.4,25404,Lafayette County,2000,05,073
3100,18.0,28053,Lawrence County,2000,05,075
3206,30.0,21654,Lee County,2000,05,077
2664,24.1,29129,Lincoln County,2000,05,079
2116,15.9,30243,Little River County,2000,05,081
3465,15.7,29078,Logan County,2000,05,083
5521,10.3,40728,Lonoke County,2000,05,085
2394,16.7,29116,Madison County,2000,05,087
2788,17.2,27222,Marion County,2000,05,089
7189,18.0,31402,Miller County,2000,05,091
10124,20.0,28370,Mississippi County,2000,05,093
2399,24.4,23713,Monroe County,2000,05,095
1575,17.2,28448,Montgomery County,2000,05,097
1795,18.5,27880,Nevada County,2000,05,099
1810,21.4,25526,Newton County,2000,05,101
5054,18.0,29344,Ouachita County,2000,05,103
1454,14.2,31585,Perry County,2000,05,105
7234,28.3,22769,Phillips County,2000,05,107
1767,16.0,28609,Pike County,2000,05,109
4825,19.1,27541,Poinsett County,2000,05,111
3682,18.4,26308,Polk County,2000,05,113
7897,14.8,33481,Pope County,2000,05,115
1433,15.2,30590,Prairie County,2000,05,117
44131,12.4,38328,Pulaski County,2000,05,119
3079,17.1,28314,Randolph County,2000,05,121
6775,25.7,26282,St. Francis County,2000,05,123
7037,8.4,43528,Saline County,2000,05,125
2108,19.4,27204,Scott County,2000,05,127
1935,23.7,22166,Searcy County,2000,05,129
15381,13.4,35003,Sebastian County,2000,05,131
2739,17.5,30074,Sevier County,2000,05,133
3419,19.9,25155,Sharp County,2000,05,135
2142,18.9,23708,Stone County,2000,05,137
7145,16.1,31442,Union County,2000,05,139
2821,17.5,27102,Van Buren County,2000,05,141
19998,12.7,35612,Washington County,2000,05,143
9705,14.9,32865,White County,2000,05,145
2003,23.3,23251,Woodruff County,2000,05,147
3252,15.5,29079,Yell County,2000,05,149
128341,8.8,55551,Alameda County,2000,06,001
210,17.7,39640,Alpine County,2000,06,003
3110,9.9,42701,Amador County,2000,06,005
34558,17.2,31963,Butte County,2000,06,007
4424,10.8,41460,Calaveras County,2000,06,009
2830,15.1,35623,Colusa County,2000,06,011
64682,6.7,64040,Contra Costa County,2000,06,013
5129,21.8,30166,Del Norte County,2000,06,015
11651,7.3,52155,El Dorado County,2000,06,017
164786,20.6,34930,Fresno County,2000,06,019
4614,17.8,32321,Glenn County,2000,06,021
19614,15.9,32098,Humboldt County,2000,06,023
32846,24.7,31651,Imperial County,2000,06,025
2127,11.9,36377,Inyo County,2000,06,027
119920,18.6,36446,Kern County,2000,06,029
22992,20.5,34724,Kings County,2000,06,031
9432,15.8,29935,Lake County,2000,06,033
4312,17.5,37358,Lassen County,2000,06,035
1513575,15.9,42045,Los Angeles County,2000,06,037
24688,20.9,35248,Madera County,2000,06,039
14058,5.9,72301,Marin County,2000,06,041
2197,13.0,35151,Mariposa County,2000,06,043
12575,14.7,36240,Mendocino County,2000,06,045
43940,20.3,34474,Merced County,2000,06,047
1772,19.7,28859,Modoc County,2000,06,049
1167,9.0,44382,Mono County,2000,06,051
50439,12.9,47073,Monterey County,2000,06,053
8802,7.1,52262,Napa County,2000,06,055
7444,8.0,46777,Nevada County,2000,06,057
264914,9.3,55654,Orange County,2000,06,059
14779,5.6,59153,Placer County,2000,06,061
2290,11.1,38225,Plumas County,2000,06,063
199491,12.5,43558,Riverside County,2000,06,065
160507,12.9,44796,Sacramento County,2000,06,067
4870,8.9,56191,San Benito County,2000,06,069
257613,15.0,40950,San Bernardino County,2000,06,071
302668,10.9,48363,San Diego County,2000,06,073
70347,9.2,55761,San Francisco County,2000,06,075
87187,15.1,40633,San Joaquin County,2000,06,077
25292,10.7,42498,San Luis Obispo County,2000,06,079
35396,5.1,70492,San Mateo County,2000,06,081
48031,12.4,46908,Santa Barbara County,2000,06,083
111287,6.7,74705,Santa Clara County,2000,06,085
26163,10.6,53787,Santa Cruz County,2000,06,087
24195,14.7,34991,Shasta County,2000,06,089
372,10.6,37770,Sierra County,2000,06,091
7235,16.7,30589,Siskiyou County,2000,06,093
32756,8.4,53954,Solano County,2000,06,095
32332,7.1,53193,Sonoma County,2000,06,097
67042,14.6,40054,Stanislaus County,2000,06,099
11146,14.1,38698,Sutter County,2000,06,101
9605,17.2,31575,Tehama County,2000,06,103
2138,16.8,28752,Trinity County,2000,06,105
85424,23.2,32253,Tulare County,2000,06,107
6426,12.7,38770,Tuolumne County,2000,06,109
67425,8.9,57164,Ventura County,2000,06,111
20196,12.0,42670,Yolo County,2000,06,113
11550,19.3,30954,Yuba County,2000,06,115
33377,8.9,48307,Adams County,2000,08,001
2851,20.3,30538,Alamosa County,2000,08,003
29023,5.8,55359,Arapahoe County,2000,08,005
1379,13.2,38241,Archuleta County,2000,08,007
773,17.5,29274,Baca County,2000,08,009
1139,23.1,28252,Bent County,2000,08,011
22770,7.8,58601,Boulder County,2000,08,013
1735,11.5,35706,Chaffee County,2000,08,015
276,12.6,37620,Cheyenne County,2000,08,017
563,6.0,54838,Clear Creek County,2000,08,019
1992,23.9,25296,Conejos County,2000,08,021
1014,28.5,21135,Costilla County,2000,08,023
1180,34.1,26953,Crowley County,2000,08,025
486,13.6,36205,Custer County,2000,08,027
3912,14.2,33356,Delta County,2000,08,029
72609,13.1,41657,Denver County,2000,08,031
280,15.2,32126,Dolores County,2000,08,033
3343,1.7,91210,Douglas County,2000,08,035
2617,6.0,61760,Eagle County,2000,08,037
1070,5.1,66082,Elbert County,2000,08,039
45310,8.7,48991,El Paso County,2000,08,041
5730,15.2,34504,Fremont County,2000,08,043
3518,7.8,48713,Garfield County,2000,08,045
264,5.5,53910,Gilpin County,2000,08,047
916,7.3,47958,Grand County,2000,08,049
1507,11.4,37898,Gunnison County,2000,08,051
84,10.6,37815,Hinsdale County,2000,08,053
1497,21.9,26176,Huerfano County,2000,08,055
223,14.5,33178,Jackson County,2000,08,057
26952,5.1,60357,Jefferson County,2000,08,059
194,12.8,32811,Kiowa County,2000,08,061
971,13.2,35066,Kit Carson County,2000,08,063
851,11.0,38487,Lake County,2000,08,065
4603,10.7,41490,La Plata County,2000,08,067
18923,7.5,49758,Larimer County,2000,08,069
2750,18.4,28730,Las Animas County,2000,08,071
743,15.3,33205,Lincoln County,2000,08,073
2429,12.8,34724,Logan County,2000,08,075
12791,11.0,37138,Mesa County,2000,08,077
102,12.4,36124,Mineral County,2000,08,079
1293,9.9,43186,Moffat County,2000,08,081
3812,16.2,33305,Montezuma County,2000,08,083
4279,12.6,36303,Montrose County,2000,08,085
3452,12.9,35648,Morgan County,2000,08,087
3749,19.1,29939,Otero County,2000,08,089
306,8.0,43707,Ouray County,2000,08,091
951,6.2,54396,Park County,2000,08,093
511,11.6,34253,Phillips County,2000,08,095
660,4.4,62190,Pitkin County,2000,08,097
2598,18.5,30905,Prowers County,2000,08,099
20493,14.6,33673,Pueblo County,2000,08,101
582,10.1,40409,Rio Blanco County,2000,08,103
2236,18.5,32646,Rio Grande County,2000,08,105
1250,6.2,53966,Routt County,2000,08,107
1330,21.7,24912,Saguache County,2000,08,109
99,17.6,30564,San Juan County,2000,08,111
571,8.3,49270,San Miguel County,2000,08,113
338,12.9,29763,Sedgwick County,2000,08,115
1497,6.1,57200,Summit County,2000,08,117
1301,6.2,52304,Teller County,2000,08,119
574,11.9,33193,Washington County,2000,08,121
18919,10.0,42555,Weld County,2000,08,123
1284,13.2,34613,Yuma County,2000,08,125
54215,6.2,63762,Fairfield County,2000,09,001
70959,8.4,49461,Hartford County,2000,09,003
8790,4.8,56215,Litchfield County,2000,09,005
7126,4.7,60706,Middlesex County,2000,09,007
71499,8.8,49428,New Haven County,2000,09,009
16035,6.4,49365,New London County,2000,09,011
5988,4.6,60190,Tolland County,2000,09,013
8817,8.2,45270,Windham County,2000,09,015
13638,10.8,41057,Kent County,2000,10,001
36505,7.4,55205,New Castle County,2000,10,003
17231,10.9,38934,Sussex County,2000,10,005
91435,16.3,40606,District of Columbia,2000,11,001
30721,14.7,32724,Alachua County,2000,12,001
2782,13.6,39070,Baker County,2000,12,003
18576,12.7,35547,Bay County,2000,12,005
3663,16.5,32889,Bradford County,2000,12,007
43944,9.2,40673,Brevard County,2000,12,009
162841,9.8,42690,Broward County,2000,12,011
2367,21.1,27027,Calhoun County,2000,12,013
12783,9.0,36087,Charlotte County,2000,12,015
14709,12.3,31358,Citrus County,2000,12,017
9925,6.9,48988,Clay County,2000,12,019
23348,8.9,47792,Collier County,2000,12,021
8824,16.2,31293,Columbia County,2000,12,023
5918,19.4,29950,DeSoto County,2000,12,027
2708,21.2,26372,Dixie County,2000,12,029
81570,10.5,41326,Duval County,2000,12,031
40144,14.8,34355,Escambia County,2000,12,033
4676,8.8,40435,Flagler County,2000,12,035
1543,16.3,27746,Franklin County,2000,12,037
8015,18.7,30650,Gadsden County,2000,12,039
2191,16.4,30708,Gilchrist County,2000,12,041
1539,15.5,30379,Glades County,2000,12,043
2219,18.6,30014,Gulf County,2000,12,045
2637,24.2,26032,Hamilton County,2000,12,047
5636,22.2,29693,Hardee County,2000,12,049
6832,19.5,33012,Hendry County,2000,12,051
14450,10.9,32963,Hernando County,2000,12,053
12338,14.2,29864,Highlands County,2000,12,055
117305,11.6,40987,Hillsborough County,2000,12,057
3480,20.6,27831,Holmes County,2000,12,059
10723,9.4,40063,Indian River County,2000,12,061
6989,17.1,29700,Jackson County,2000,12,063
2095,17.7,32924,Jefferson County,2000,12,065
1217,20.6,30008,Lafayette County,2000,12,067
22852,10.4,37354,Lake County,2000,12,069
42593,9.4,39262,Lee County,2000,12,071
27553,12.1,38791,Leon County,2000,12,073
6010,17.5,27724,Levy County,2000,12,075
1174,20.7,29274,Liberty County,2000,12,077
3335,19.7,26987,Madison County,2000,12,079
25232,9.4,38732,Manatee County,2000,12,081
35148,13.6,32532,Marion County,2000,12,083
10951,8.7,43625,Martin County,2000,12,085
391594,17.4,33228,Miami-Dade County,2000,12,086
7461,9.6,42447,Monroe County,2000,12,087
4911,8.4,46814,Nassau County,2000,12,089
15684,9.4,41706,Okaloosa County,2000,12,091
5722,16.7,29896,Okeechobee County,2000,12,093
99353,10.9,42656,Orange County,2000,12,095
21174,11.8,38309,Osceola County,2000,12,097
108668,9.5,42008,Palm Beach County,2000,12,099
38024,10.8,34233,Pasco County,2000,12,101
88723,9.8,37179,Pinellas County,2000,12,103
63420,13.2,35438,Polk County,2000,12,105
13280,19.1,27839,Putnam County,2000,12,107
9312,7.3,52244,St. Johns County,2000,12,109
24404,12.5,36172,St. Lucie County,2000,12,111
11828,9.9,42626,Santa Rosa County,2000,12,113
23817,7.3,42265,Sarasota County,2000,12,115
27536,7.4,50122,Seminole County,2000,12,117
7129,14.9,31730,Sumter County,2000,12,119
5684,16.3,30044,Suwannee County,2000,12,121
3178,17.8,30702,Taylor County,2000,12,123
1881,19.9,33779,Union County,2000,12,125
48592,11.1,35278,Volusia County,2000,12,127
2753,12.2,37761,Wakulla County,2000,12,129
6070,14.9,32368,Walton County,2000,12,131
3640,18.3,28503,Washington County,2000,12,133
2834,16.4,30384,Appling County,2000,13,001
1663,21.9,27171,Atkinson County,2000,13,003
1807,18.2,28055,Bacon County,2000,13,005
963,23.5,29118,Baker County,2000,13,007
6303,17.0,33916,Baldwin County,2000,13,009
1810,12.2,38833,Banks County,2000,13,011
4563,9.5,44961,Barrow County,2000,13,013
7494,9.5,44315,Bartow County,2000,13,015
3262,19.1,28013,Ben Hill County,2000,13,017
2762,17.3,30379,Berrien County,2000,13,019
25587,17.2,35142,Bibb County,2000,13,021
1698,15.3,34492,Bleckley County,2000,13,023
2418,16.4,31359,Brantley County,2000,13,025
3614,22.4,26829,Brooks County,2000,13,027
2373,9.8,48921,Bryan County,2000,13,029
9996,18.6,30512,Bulloch County,2000,13,031
4755,21.0,28200,Burke County,2000,13,033
2389,12.9,38850,Butts County,2000,13,035
1364,27.1,24792,Calhoun County,2000,13,037
4171,9.8,42320,Camden County,2000,13,039
2021,22.2,26298,Candler County,2000,13,043
10803,12.2,39354,Carroll County,2000,13,045
5219,9.6,40685,Catoosa County,2000,13,047
1776,19.2,28509,Charlton County,2000,13,049
33422,14.8,37669,Chatham County,2000,13,051
1289,12.4,39205,Chattahoochee County,2000,13,053
3464,14.3,30960,Chattooga County,2000,13,055
8088,5.4,62119,Cherokee County,2000,13,057
16595,17.5,29996,Clarke County,2000,13,059
954,28.6,22295,Clay County,2000,13,061
29072,11.9,42108,Clayton County,2000,13,063
1422,21.6,27259,Clinch County,2000,13,065
44572,7.1,57156,Cobb County,2000,13,067
7225,19.8,30440,Coffee County,2000,13,069
8085,19.4,28615,Colquitt County,2000,13,071
5833,6.4,57066,Columbia County,2000,13,073
2979,18.8,28186,Cook County,2000,13,075
7586,8.1,54113,Coweta County,2000,13,077
1814,14.7,37180,Crawford County,2000,13,079
5162,23.8,26928,Crisp County,2000,13,081
1733,11.8,35742,Dade County,2000,13,083
1592,9.5,48455,Dawson County,2000,13,085
5800,21.1,28800,Decatur County,2000,13,087
73097,11.0,47744,DeKalb County,2000,13,089
3289,18.8,28168,Dodge County,2000,13,091
2335,22.6,28615,Dooly County,2000,13,093
19457,21.0,30850,Dougherty County,2000,13,095
7868,8.3,50377,Douglas County,2000,13,097
2927,24.3,26098,Early County,2000,13,099
795,20.7,26834,Echols County,2000,13,101
3647,9.3,47497,Effingham County,2000,13,103
3121,15.3,29830,Elbert County,2000,13,105
4952,23.1,25215,Emanuel County,2000,13,107
2297,22.5,26259,Evans County,2000,13,109
2843,14.0,31033,Fannin County,2000,13,111
3576,3.8,73388,Fayette County,2000,13,113
11670,13.3,36003,Floyd County,2000,13,115
4786,4.4,73008,Forsyth County,2000,13,117
2796,13.9,32906,Franklin County,2000,13,119
110482,13.8,46547,Fulton County,2000,13,121
3185,13.2,34813,Gilmer County,2000,13,123
362,14.1,30740,Glascock County,2000,13,125
9511,14.0,38822,Glynn County,2000,13,127
5006,11.1,39195,Gordon County,2000,13,129
4484,19.0,29007,Grady County,2000,13,131
2516,17.3,33086,Greene County,2000,13,133
34972,5.6,61996,Gwinnett County,2000,13,135
3982,11.2,36905,Habersham County,2000,13,137
